#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P76364	uniprotkb:P0A9X4	intact:EBI-1126877|uniprotkb:O07991|uniprotkb:O07994	intact:EBI-371008|uniprotkb:P13519|uniprotkb:P76678|uniprotkb:Q2M8W3	psi-mi:cbea_ecoli(display_long)|uniprotkb:cbeA(gene name)|psi-mi:cbeA(display_short)|uniprotkb:Antitoxin CbeA(gene name synonym)|uniprotkb:Antitoxin YeeU(gene name synonym)|uniprotkb:yeeU(gene name synonym)|uniprotkb:JW1986(locus name)|uniprotkb:b2004(locus name)	psi-mi:mreb_ecoli(display_long)|uniprotkb:mreB(gene name)|psi-mi:mreB(display_short)|uniprotkb:envB(gene name synonym)|uniprotkb:rodY(gene name synonym)|uniprotkb:b3251(locus name)|uniprotkb:JW3220(locus name)	psi-mi:"MI:0096"(pull down)	Masuda et al. (2012)	pubmed:22515815|imex:IM-17992	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6384173|imex:IM-17992-1	intact-miscore:0.54
uniprotkb:P76364	uniprotkb:P0A9A6	intact:EBI-1126877|uniprotkb:O07991|uniprotkb:O07994	intact:EBI-370963|uniprotkb:P06138|uniprotkb:P77857|uniprotkb:P78047	psi-mi:cbea_ecoli(display_long)|uniprotkb:cbeA(gene name)|psi-mi:cbeA(display_short)|uniprotkb:Antitoxin CbeA(gene name synonym)|uniprotkb:Antitoxin YeeU(gene name synonym)|uniprotkb:yeeU(gene name synonym)|uniprotkb:JW1986(locus name)|uniprotkb:b2004(locus name)	psi-mi:ftsz_ecoli(display_long)|uniprotkb:ftsZ(gene name)|psi-mi:ftsZ(display_short)|uniprotkb:sfiB(gene name synonym)|uniprotkb:sulB(gene name synonym)|uniprotkb:b0095(locus name)|uniprotkb:JW0093(locus name)	psi-mi:"MI:0096"(pull down)	Masuda et al. (2012)	pubmed:22515815|imex:IM-17992	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6384214|imex:IM-17992-2	intact-miscore:0.54
uniprotkb:P76364	uniprotkb:P0A9X4	intact:EBI-1126877|uniprotkb:O07991|uniprotkb:O07994	intact:EBI-371008|uniprotkb:P13519|uniprotkb:P76678|uniprotkb:Q2M8W3	psi-mi:cbea_ecoli(display_long)|uniprotkb:cbeA(gene name)|psi-mi:cbeA(display_short)|uniprotkb:Antitoxin CbeA(gene name synonym)|uniprotkb:Antitoxin YeeU(gene name synonym)|uniprotkb:yeeU(gene name synonym)|uniprotkb:JW1986(locus name)|uniprotkb:b2004(locus name)	psi-mi:mreb_ecoli(display_long)|uniprotkb:mreB(gene name)|psi-mi:mreB(display_short)|uniprotkb:envB(gene name synonym)|uniprotkb:rodY(gene name synonym)|uniprotkb:b3251(locus name)|uniprotkb:JW3220(locus name)	psi-mi:"MI:0027"(cosedimentation)	Masuda et al. (2012)	pubmed:22515815|imex:IM-17992	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6384554|imex:IM-17992-3	intact-miscore:0.54
uniprotkb:P0A9X4	uniprotkb:P0A9X4	intact:EBI-371008|uniprotkb:P13519|uniprotkb:P76678|uniprotkb:Q2M8W3	intact:EBI-371008|uniprotkb:P13519|uniprotkb:P76678|uniprotkb:Q2M8W3	psi-mi:mreb_ecoli(display_long)|uniprotkb:mreB(gene name)|psi-mi:mreB(display_short)|uniprotkb:envB(gene name synonym)|uniprotkb:rodY(gene name synonym)|uniprotkb:b3251(locus name)|uniprotkb:JW3220(locus name)	psi-mi:mreb_ecoli(display_long)|uniprotkb:mreB(gene name)|psi-mi:mreB(display_short)|uniprotkb:envB(gene name synonym)|uniprotkb:rodY(gene name synonym)|uniprotkb:b3251(locus name)|uniprotkb:JW3220(locus name)	psi-mi:"MI:0027"(cosedimentation)	Masuda et al. (2012)	pubmed:22515815|imex:IM-17992	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:1126"(self interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6384598|imex:IM-17992-4	intact-miscore:0.59
uniprotkb:P0A9A6	uniprotkb:P0A9A6	intact:EBI-370963|uniprotkb:P06138|uniprotkb:P77857|uniprotkb:P78047	intact:EBI-370963|uniprotkb:P06138|uniprotkb:P77857|uniprotkb:P78047	psi-mi:ftsz_ecoli(display_long)|uniprotkb:ftsZ(gene name)|psi-mi:ftsZ(display_short)|uniprotkb:sfiB(gene name synonym)|uniprotkb:sulB(gene name synonym)|uniprotkb:b0095(locus name)|uniprotkb:JW0093(locus name)	psi-mi:ftsz_ecoli(display_long)|uniprotkb:ftsZ(gene name)|psi-mi:ftsZ(display_short)|uniprotkb:sfiB(gene name synonym)|uniprotkb:sulB(gene name synonym)|uniprotkb:b0095(locus name)|uniprotkb:JW0093(locus name)	psi-mi:"MI:0027"(cosedimentation)	Masuda et al. (2012)	pubmed:22515815|imex:IM-17992	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:1126"(self interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6384758|imex:IM-17992-5	intact-miscore:0.94
uniprotkb:P0A9A6	uniprotkb:P76364	intact:EBI-370963|uniprotkb:P06138|uniprotkb:P77857|uniprotkb:P78047	intact:EBI-1126877|uniprotkb:O07991|uniprotkb:O07994	psi-mi:ftsz_ecoli(display_long)|uniprotkb:ftsZ(gene name)|psi-mi:ftsZ(display_short)|uniprotkb:sfiB(gene name synonym)|uniprotkb:sulB(gene name synonym)|uniprotkb:b0095(locus name)|uniprotkb:JW0093(locus name)	psi-mi:cbea_ecoli(display_long)|uniprotkb:cbeA(gene name)|psi-mi:cbeA(display_short)|uniprotkb:Antitoxin CbeA(gene name synonym)|uniprotkb:Antitoxin YeeU(gene name synonym)|uniprotkb:yeeU(gene name synonym)|uniprotkb:JW1986(locus name)|uniprotkb:b2004(locus name)	psi-mi:"MI:0027"(cosedimentation)	Masuda et al. (2012)	pubmed:22515815|imex:IM-17992	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6384795|imex:IM-17992-6	intact-miscore:0.54
uniprotkb:P51020	uniprotkb:P77580	intact:EBI-1116093|uniprotkb:P77787|uniprotkb:Q2MC72	intact:EBI-1116083|uniprotkb:Q2MC73	psi-mi:hoa_ecoli(display_long)|uniprotkb:4-hydroxy-2-keto-pentanoic acid aldolase(gene name synonym)|uniprotkb:mhpE(gene name)|psi-mi:mhpE(display_short)|uniprotkb:4-hydroxy-2-oxopentanoate aldolase(gene name synonym)|uniprotkb:b0352(locus name)|uniprotkb:JW0343(locus name)	psi-mi:acdh_ecoli(display_long)|uniprotkb:Acetaldehyde dehydrogenase [acetylating](gene name synonym)|uniprotkb:mhpF(gene name)|psi-mi:mhpF(display_short)|uniprotkb:mhpE(gene name synonym)|uniprotkb:b0351(locus name)|uniprotkb:JW0342(locus name)	psi-mi:"MI:0096"(pull down)	Lee et al. (2006)	pubmed:16782065|imex:IM-20202	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-2123422|imex:IM-20202-1	intact-miscore:0.40
uniprotkb:P0AE06	uniprotkb:P31224	intact:EBI-875601|uniprotkb:P31223|uniprotkb:Q2MBW4	intact:EBI-551006|uniprotkb:Q2MBW5	psi-mi:acra_ecoli(display_long)|uniprotkb:acrA(gene name)|psi-mi:acrA(display_short)|uniprotkb:lir(gene name synonym)|uniprotkb:mtcA(gene name synonym)|uniprotkb:b0463(locus name)|uniprotkb:JW0452(locus name)|uniprotkb:AcrAB-TolC multidrug efflux pump subunit AcrA(gene name synonym)|uniprotkb:Acridine resistance protein A(gene name synonym)	psi-mi:acrb_ecoli(display_long)|uniprotkb:acrB(gene name)|psi-mi:acrB(display_short)|uniprotkb:acrE(gene name synonym)|uniprotkb:b0462(locus name)|uniprotkb:JW0451(locus name)|uniprotkb:AcrAB-TolC multidrug efflux pump subunit AcrB(gene name synonym)|uniprotkb:Acridine resistance protein B(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kawabe et al. (2000)	pubmed:10920254|imex:IM-19097	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-2123440|imex:IM-19097-1	intact-miscore:0.40
uniprotkb:P0ABM1	uniprotkb:P69490	intact:EBI-2123469|uniprotkb:P33929|uniprotkb:Q2MAP4	intact:EBI-1128007|uniprotkb:P33928|uniprotkb:Q2MAP6	psi-mi:ccmc_ecoli(display_long)|uniprotkb:ccmC(gene name)|psi-mi:ccmC(display_short)|uniprotkb:yejT(gene name synonym)|uniprotkb:yejU(gene name synonym)|uniprotkb:Cytochrome c-type biogenesis protein CcmC(gene name synonym)|uniprotkb:b2199(locus name)|uniprotkb:JW2187(locus name)	psi-mi:ccme_ecoli(display_long)|uniprotkb:ccmE(gene name)|psi-mi:ccmE(display_short)|uniprotkb:b2197(locus name)|uniprotkb:JW2185(locus name)|uniprotkb:yejS(gene name synonym)|uniprotkb:Cytochrome c maturation protein E(gene name synonym)|uniprotkb:Heme chaperone CcmE(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Ren et al. (2002)	pubmed:11744735|imex:IM-19098|mint:MINT-5214949	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-2123486|imex:IM-19098-1	intact-miscore:0.83
uniprotkb:P0ABM1	uniprotkb:P69490	intact:EBI-2123469|uniprotkb:P33929|uniprotkb:Q2MAP4	intact:EBI-1128007|uniprotkb:P33928|uniprotkb:Q2MAP6	psi-mi:ccmc_ecoli(display_long)|uniprotkb:ccmC(gene name)|psi-mi:ccmC(display_short)|uniprotkb:yejT(gene name synonym)|uniprotkb:yejU(gene name synonym)|uniprotkb:Cytochrome c-type biogenesis protein CcmC(gene name synonym)|uniprotkb:b2199(locus name)|uniprotkb:JW2187(locus name)	psi-mi:ccme_ecoli(display_long)|uniprotkb:ccmE(gene name)|psi-mi:ccmE(display_short)|uniprotkb:b2197(locus name)|uniprotkb:JW2185(locus name)|uniprotkb:yejS(gene name synonym)|uniprotkb:Cytochrome c maturation protein E(gene name synonym)|uniprotkb:Heme chaperone CcmE(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Ren et al. (2002)	pubmed:11744735|imex:IM-19098|mint:MINT-5214949	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-2123490|imex:IM-19098-2	intact-miscore:0.83
