"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphate","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"alpha;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphonate","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"alpha;-methyl-DL-aspartate","chemical-affects","P00509",NA,"11736651;352693;7798192","null"
"alpha;-oxo-1-carboxy-4-tetrahydrothiopyranpropanoic acid S-oxide","chemical-affects","P0A9J8",NA,"7030214","null"
"alpha;-oxo-1-carboxy-5,6-dihydrothiopyranpropanoic acid S-oxide","chemical-affects","P0A9J8",NA,"7030214","null"
"beta;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphate","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"beta;-2-thienyl-D,L-Alanine","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"beta;-NAD(P)+","used-to-produce","5-dehydroshikimic acid",NA,NA,"null"
"beta;-NAD(P)+","used-to-produce","NAD(P)H",NA,NA,"null"
"beta;-NAD(P)+","consumption-controlled-by","P0A6D5",NA,"12637497;15596430","null"
"beta;-NAD(P)+","used-to-produce","hydrogen ion",NA,NA,"null"
"beta;-NAD(P)+","reacts-with","shikimate",NA,NA,"null"
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","used-to-produce","2-succinyl-benzoate",NA,NA,"null"
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","used-to-produce","H2O",NA,NA,"null"
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","consumption-controlled-by","P29208",NA,"10194342;11403626;6337125","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","C1-(3-Indolyl)-glycerol 3-phosphate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","indole",NA,NA,"null"
"(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate","used-to-produce","2,3-dihydroxybenzoate",NA,NA,"null"
"(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate","reacts-with","DPN-ox",NA,NA,"null"
"(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate","consumption-controlled-by","P15047",NA,"2144454;2521622;25301558;2684979;4928016","null"
"(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate","used-to-produce","hydrogen ion",NA,NA,"null"
"(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(6R)-6-fluoro-5-enolpyruvoylshikimate 3-phosphate","chemical-affects","P12008",NA,"10956653;2969724;7559411;7978236;8703965","null"
"(6S)-6-fluoro-EPSP","chemical-affects","P12008",NA,"10956653;2969724;7559411;7978236;8703965","null"
"(S)-2-hydroxyglutarate","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"(L-seryl)adenylate","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"(L-seryl)adenylate","used-to-produce","hydrogen ion",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"1,4-bis-{[N-(1-imino-1-guanidino-methyl)]sulfanylmethyl}-3,6-dimethyl-benzene","chemical-affects","P0ABQ4",NA,"21084197;46","null"
"1,4-dihydroxy-2-naphthoate","used-to-produce","2-demethylmenaquinol-8",NA,NA,"null"
"1,4-dihydroxy-2-naphthoate","consumption-controlled-by","P32166",NA,"949474;9573170","null"
"1,4-dihydroxy-2-naphthoate","used-to-produce","PP",NA,NA,"null"
"1,4-dihydroxy-2-naphthoate","used-to-produce","carbon dioxide",NA,NA,"null"
"1,4-dihydroxy-2-naphthoate","reacts-with","hydrogen ion",NA,NA,"null"
"1,4-dihydroxy-2-naphthoate","reacts-with","octaprenyl diphosphate",NA,NA,"null"
"1,4-dihydroxy-2-naphthoyl-CoA","used-to-produce","1,4-dihydroxy-2-naphthoate",NA,NA,"null"
"1,4-dihydroxy-2-naphthoyl-CoA","used-to-produce","CoA",NA,NA,"null"
"1,4-dihydroxy-2-naphthoyl-CoA","reacts-with","H2O",NA,NA,"null"
"1,4-dihydroxy-2-naphthoyl-CoA","chemical-affects","P0ABU0",NA,"1629162;20643650;21627110;21830810;6117313;6754698;7045104","null"
"1,4-dihydroxy-2-naphthoyl-CoA","consumption-controlled-by","P77781",NA,"23564174;24992697;25010423","null"
"1,4-dihydroxy-2-naphthoyl-CoA","used-to-produce","hydrogen ion",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","C1-(3-Indolyl)-glycerol 3-phosphate",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","H2O",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","consumption-controlled-by","P00909",NA,"5332729","null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","carbon dioxide",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","reacts-with","hydrogen ion",NA,NA,"null"
"1-(p-butylphenyl)-2,2-dimethyl-4,6-diamino-1,2-dihydro-s-triazine","chemical-affects","P0ABQ4",NA,"4378654;46","null"
"2'-deoxyguanosine-5'-triphosphate","chemical-affects","P0A6T5",NA,"11056154;11087827;12297008;821948;8618856","null"
"2,3-dihydroxybenzoate","used-to-produce","2,3-dihydroxybenzoyl-AMP",NA,NA,"null"
"2,3-dihydroxybenzoate","used-to-produce","PP",NA,NA,"null"
"2,3-dihydroxybenzoate","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"2,3-dihydroxybenzoate","reacts-with","hydrogen ion",NA,NA,"null"
"2,3-dihydroxybenzoyl-AMP","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"2,3-dihydroxybenzoyl-AMP","used-to-produce","hydrogen ion",NA,NA,"null"
"2,4,6-trinitrobenzene sulphonate","chemical-affects","P0A9J8",NA,"334530;7030214","null"
"2,4-diamino-6-ethyl-5,3'-(2-cyclohexylphenoxy)prop-1'-yloxypyrimidine","chemical-affects","P0ABQ4",NA,"2495789;46","null"
"2,4-diamino-6-ethyl-5,3'-(2-trifluoromethyl-4-sulphonamidophenoxy)prop-1'-yloxypyrimidine","chemical-affects","P0ABQ4",NA,"2495789;46","null"
"2,4-diamino-6-ethyl-5,3'-(2-trifluoromethylphenoxy)prop-1'-yloxypyrimidine","chemical-affects","P0ABQ4",NA,"2495789;46","null"
"2,4-diamino-6-methyl-5,3'-(2-trifluoromethylphenoxy)prop-1'-yloxypyrimidine","chemical-affects","P0ABQ4",NA,"2495789;46","null"
"2,4-diamino-6-methyl-5,3'-(3-nitrophenoxy)prop-1'-yloxypyrimidine","chemical-affects","P0ABQ4",NA,"2495789;46","null"
"2,4-diamino-6-methyl-5,3'-(3-trifluoromethylphenoxy)prop-1'-yloxypyrimidine","chemical-affects","P0ABQ4",NA,"2495789;46","null"
"2-trans,6-trans-farnesyl diphosphate","reacts-with","IPP",NA,NA,"null"
"2-trans,6-trans-farnesyl diphosphate","consumption-controlled-by","P0AD57",NA,"11825609;3519603","null"
"2-trans,6-trans-farnesyl diphosphate","used-to-produce","PP",NA,NA,"null"
"2-trans,6-trans-farnesyl diphosphate","used-to-produce","octaprenyl diphosphate",NA,NA,"null"
"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine","used-to-produce","2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-one",NA,NA,"null"
"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine","consumption-controlled-by","P0AC16",NA,"17017801;17176045;17388809;9651328","null"
"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine","used-to-produce","glycolaldehyde",NA,NA,"null"
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-one","used-to-produce","6-hydroxymethyl-7,8-dihydropterin diphosphate",NA,NA,"null"
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-one","consumption-controlled-by","P26281",NA,"10751386;12578371;1657875","null"
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-one","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-one","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-one","used-to-produce","hydrogen ion",NA,NA,"null"
"2-aminobenzoic acid","used-to-produce","5'-P-ribosyl-anthranilate",NA,NA,"null"
"2-aminobenzoic acid","consumption-controlled-by","P00904",NA,"2428387","null"
"2-aminobenzoic acid","chemical-affects","P00909",NA,"5332729","null"
"2-aminobenzoic acid","used-to-produce","PP",NA,NA,"null"
"2-aminobenzoic acid","reacts-with","PRPP",NA,NA,"null"
"2-demethylmenaquinol-8","used-to-produce","MKH2-8",NA,NA,"null"
"2-demethylmenaquinol-8","consumption-controlled-by","P0A887",NA,"9045837","null"
"2-demethylmenaquinol-8","used-to-produce","SAH",NA,NA,"null"
"2-demethylmenaquinol-8","reacts-with","SAM",NA,NA,"null"
"2-demethylmenaquinol-8","used-to-produce","hydrogen ion",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"2-mercaptoethanol","chemical-affects","P38051",NA,"8764478;9150206;9795253","null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","reacts-with","A(H2)",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","used-to-produce","A",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","used-to-produce","H2O",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","reacts-with","O2",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","used-to-produce","OMHMB",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","consumption-controlled-by","P75728",NA,"10802164;4323297","null"
"2-octaprenyl-6-methoxyhydroquinone","used-to-produce","2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol",NA,NA,"null"
"2-octaprenyl-6-methoxyhydroquinone","consumption-controlled-by","P0A887",NA,"9045837","null"
"2-octaprenyl-6-methoxyhydroquinone","used-to-produce","SAH",NA,NA,"null"
"2-octaprenyl-6-methoxyhydroquinone","reacts-with","SAM",NA,NA,"null"
"2-octaprenyl-6-methoxyhydroquinone","used-to-produce","hydrogen ion",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","used-to-produce","2-octaprenyl-6-methoxyhydroquinone",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","used-to-produce","H2O",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","used-to-produce","NADP-ox",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","reacts-with","NADPH",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","reacts-with","O2",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","consumption-controlled-by","P25534",NA,"4572721","null"
