"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-ketobutyrate","chemical-affects","P52643",NA,"25401076;2644194;4297266;6393891;776952","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P0A6A3",NA,"13221579;185218","null"
"(S)-malic acid","reacts-with","DPN-ox",NA,NA,"null"
"(S)-malic acid","used-to-produce","H2O",NA,NA,"null"
"(S)-malic acid","chemical-affects","P00864",NA,"1765093;6368527;7040354","null"
"(S)-malic acid","consumption-controlled-by","P05042",NA,"14990798;3282546;8496960;8909293","null"
"(S)-malic acid","consumption-controlled-by","P0AC33",NA,"1329945;23405168;3282546;8203917;8226748;8422384","null"
"(S)-malic acid","consumption-controlled-by","P14407",NA,"11849539;23405168;3282546;8226748","null"
"(S)-malic acid","used-to-produce","fumaric acid",NA,NA,"null"
"(S)-malic acid","used-to-produce","hydrogen ion",NA,NA,"null"
"(S)-malic acid","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"(S)-malic acid","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","used-to-produce","2-hydroxy-1,2,3-propanetricarboxylic acid",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","reacts-with","H2O",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","used-to-produce","I-CIT",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"1,2-diazole","chemical-affects","P39451",NA,"10406936","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","used-to-produce","(Z)-prop-1-ene-1,2,3-tricarboxylate",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","used-to-produce","H2O",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","chemical-affects","P05042",NA,"14990798;3282546;8496960;8909293","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"2-hydroxy-3-nitropropionate","chemical-affects","P0AC33",NA,"1329945;23405168;3282546;8203917;8226748;8422384","null"
"2-oxopentanedionic acid","chemical-affects","P0ABH7",NA,"3276685;3333000;3889909","null"
"3-pyridinecarboxaldehyde adenine dinucleotide","chemical-affects","P0A9Q7",NA,"10612730;10922373;6752127;7034777","null"
"4-methylpyrazole","chemical-affects","P39451",NA,"10406936","null"
"ADP-D-ribose","chemical-affects","P0A9Q7",NA,"10612730;10922373;6752127;7034777","null"
"Ag+","chemical-affects","P0AC33",NA,"1329945;22344668;23405168;3282546;8203917;8226748;8422384","null"
"BTS","used-to-produce","(R)-2-hydroxypropanate",NA,NA,"null"
"BTS","reacts-with","CoA",NA,NA,"null"
"BTS","used-to-produce","DPN-ox",NA,NA,"null"
"BTS","consumption-controlled-by","P09373",NA,"4615902","null"
"BTS","chemical-affects","P0A9M8",NA,"13535743;20236319;21941;4312205;6259116","null"
"BTS","consumption-controlled-by","P42632",NA,"9484901;9657990","null"
"BTS","chemical-affects","P52643",NA,"25401076;2644194;4297266;6393891;776952","null"
"BTS","consumption-controlled-by","P52643",NA,"25401076;2644194;4297266;6393891;776952","null"
"BTS","chemical-affects","P77218",NA,"21046341","null"
"BTS","used-to-produce","acetyl coenzyme-A",NA,NA,"null"
"BTS","used-to-produce","formic acid",NA,NA,"null"
"BTS","reacts-with","hydrogen ion",NA,NA,"null"
"BTS","reacts-with","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"CO3-2","consumption-controlled-by","P00864",NA,"1765093;6368527;7040354","null"
"CO3-2","used-to-produce","PO43-",NA,NA,"null"
"CO3-2","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"CO3-2","reacts-with","phosphoenolpyruvate",NA,NA,"null"
"Ca++","chemical-affects","P0AD61",NA,"10751408;2653362;4588693;6349612","null"
"Cadmium","chemical-affects","P0AC33",NA,"1329945;22344668;23405168;3282546;8203917;8226748;8422384","null"
"CoA","reacts-with","DPN-ox",NA,NA,"null"
"CoA","consumption-controlled-by","P09373",NA,"4615902","null"
"CoA","consumption-controlled-by","P42632",NA,"9484901;9657990","null"
"CoA","consumption-controlled-by","P77580",NA,"23237860;9098055","null"
"CoA","used-to-produce","PO43-",NA,NA,"null"
"CoA","reacts-with","acetic aldehyde",NA,NA,"null"
"CoA","used-to-produce","acetyl coenzyme-A",NA,NA,"null"
"CoA","reacts-with","acetyl phosphate",NA,NA,"null"
"CoA","used-to-produce","formic acid",NA,NA,"null"
"CoA","used-to-produce","hydrogen ion",NA,NA,"null"
"CoA","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"D-glucose-6-P","chemical-affects","P21599",NA,"122902;193572;4890755","null"
