"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate","used-to-produce","(2Z)-2-hydroxypenta-2,4-dienoate",NA,NA,"null"
"(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate","reacts-with","H2O",NA,NA,"null"
"(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate","consumption-controlled-by","P77044",NA,"10684634;6345502;9315862;9315863","null"
"(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate","used-to-produce","hydrogen ion",NA,NA,"null"
"(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate","used-to-produce","succinate",NA,NA,"null"
"2,3-DHP","used-to-produce","(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate",NA,NA,"null"
"2,3-DHP","reacts-with","O2",NA,NA,"null"
"2,3-DHP","consumption-controlled-by","P0ABR9",NA,"15491145;3531186;6345502;8399388;8752345","null"
"2,3-DHP","used-to-produce","hydrogen ion",NA,NA,"null"
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate","used-to-produce","2,3-DHP",NA,NA,"null"
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate","reacts-with","DPN-ox",NA,NA,"null"
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate","consumption-controlled-by","P0CI31",NA,"3531186","null"
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate","used-to-produce","hydrogen ion",NA,NA,"null"
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"3-phenylpropionic acid","used-to-produce","3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate",NA,NA,"null"
"3-phenylpropionic acid","used-to-produce","DPN-ox",NA,NA,"null"
"3-phenylpropionic acid","reacts-with","O2",NA,NA,"null"
"3-phenylpropionic acid","consumption-controlled-by","P0ABR5",NA,"3531186","null"
"3-phenylpropionic acid","consumption-controlled-by","P0ABW0",NA,"3531186","null"
"3-phenylpropionic acid","consumption-controlled-by","P77650",NA,"3531186","null"
"3-phenylpropionic acid","consumption-controlled-by","Q47140",NA,"3531186","null"
"3-phenylpropionic acid","reacts-with","hydrogen ion",NA,NA,"null"
"3-phenylpropionic acid","reacts-with","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P0ABR9",NA,"15491145;3531186;6345502;8399388;8752345","null"
"DPN-ox","used-to-produce","2,3-DHP",NA,NA,"null"
"DPN-ox","consumption-controlled-by","P0CI31",NA,"3531186","null"
"DPN-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"H2O","used-to-produce","(2Z)-2-hydroxypenta-2,4-dienoate",NA,NA,"null"
"H2O","consumption-controlled-by","P77044",NA,"10684634;6345502;9315862;9315863","null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"H2O","used-to-produce","succinate",NA,NA,"null"
"O2","used-to-produce","(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate",NA,NA,"null"
"O2","used-to-produce","2,3-DHP",NA,NA,"null"
"O2","used-to-produce","3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate",NA,NA,"null"
"O2","used-to-produce","DPN-ox",NA,NA,"null"
"O2","used-to-produce","H2O",NA,NA,"null"
"O2","consumption-controlled-by","P0ABR5",NA,"3531186","null"
"O2","consumption-controlled-by","P0ABR9",NA,"15491145;3531186;6345502;8399388;8752345","null"
"O2","consumption-controlled-by","P0ABW0",NA,"3531186","null"
"O2","consumption-controlled-by","P77397",NA,"3531186;6345502","null"
