"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","1-deoxy-D-threo-pentulose 5-phosphate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","BTS",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","consumption-controlled-by","P77488",NA,"10648511;11520037;12597635;21878632;23824585;9371765;9482846","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","carbon dioxide",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","hydrogen ion",NA,NA,"null"
"1-deoxy-D-threo-pentulose 5-phosphate","used-to-produce","MEP",NA,NA,"null"
"1-deoxy-D-threo-pentulose 5-phosphate","used-to-produce","NADP-ox",NA,NA,"null"
"1-deoxy-D-threo-pentulose 5-phosphate","reacts-with","NADPH",NA,NA,"null"
"1-deoxy-D-threo-pentulose 5-phosphate","consumption-controlled-by","P45568",NA,"10787409;15567415;23414808;9707569","null"
"1-deoxy-D-threo-pentulose 5-phosphate","reacts-with","hydrogen ion",NA,NA,"null"
"2-C-methyl-D-erythritol-2,4-cyclodiphosphate","used-to-produce","H2O",NA,NA,"null"
"2-C-methyl-D-erythritol-2,4-cyclodiphosphate","used-to-produce","HMBDP",NA,NA,"null"
"2-C-methyl-D-erythritol-2,4-cyclodiphosphate","consumption-controlled-by","P62620",NA,"11752431;12434382;16268586;19821611;19919056","null"
"2-C-methyl-D-erythritol-2,4-cyclodiphosphate","used-to-produce","hydrogen ion",NA,NA,"null"
"4-diphosphocytidyl-2-C-methylerythritol 2-phosphate","used-to-produce","2-C-methyl-D-erythritol-2,4-cyclodiphosphate",NA,NA,"null"
"4-diphosphocytidyl-2-C-methylerythritol 2-phosphate","consumption-controlled-by","P62617",NA,"10694574","null"
"4-diphosphocytidyl-2-C-methylerythritol 2-phosphate","used-to-produce","cytidylate",NA,NA,"null"
"4-diphosphocytidyl-2C-methyl-D-erythritol","used-to-produce","4-diphosphocytidyl-2-C-methylerythritol 2-phosphate",NA,NA,"null"
"4-diphosphocytidyl-2C-methyl-D-erythritol","consumption-controlled-by","P62615",NA,"10655484","null"
"4-diphosphocytidyl-2C-methyl-D-erythritol","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"4-diphosphocytidyl-2C-methyl-D-erythritol","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"4-diphosphocytidyl-2C-methyl-D-erythritol","used-to-produce","hydrogen ion",NA,NA,"null"
"Aminomux","chemical-affects","P62623",NA,"12198182;12571359","null"
"BTS","used-to-produce","1-deoxy-D-threo-pentulose 5-phosphate",NA,NA,"null"
"BTS","consumption-controlled-by","P77488",NA,"10648511;11520037;12597635;21878632;23824585;9371765;9482846","null"
"BTS","used-to-produce","carbon dioxide",NA,NA,"null"
"BTS","reacts-with","hydrogen ion",NA,NA,"null"
"DMAPP","used-to-produce","IPP",NA,NA,"null"
"HMBDP","used-to-produce","DMAPP",NA,NA,"null"
"HMBDP","used-to-produce","H2O",NA,NA,"null"
"HMBDP","used-to-produce","IPP",NA,NA,"null"
"HMBDP","consumption-controlled-by","P62623",NA,"12571359","null"
"HMBDP","reacts-with","hydrogen ion",NA,NA,"null"
"IPP","used-to-produce","DMAPP",NA,NA,"null"
"IPP","consumption-controlled-by","Q46822",NA,"10419945","null"
"MEP","used-to-produce","1-deoxy-D-threo-pentulose 5-phosphate",NA,NA,"null"
