"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"2-amino-3-methylbutanoic acid(D)","chemical-affects","P31057",NA,"6463;776976;8096212","null"
"2-dehydropantoate","used-to-produce","2-oxoisovalerate",NA,NA,"null"
"2-dehydropantoate","used-to-produce","H2O",NA,NA,"null"
"2-dehydropantoate","used-to-produce","NADP-ox",NA,NA,"null"
"2-dehydropantoate","reacts-with","NADPH",NA,NA,"null"
"2-dehydropantoate","consumption-controlled-by","P05793",NA,"10553653;15654896","null"
"2-dehydropantoate","consumption-controlled-by","P0A9J4",NA,"10553653;10736170;11123955;11724562;14503879;17229734","null"
"2-dehydropantoate","reacts-with","THF(glu)n",NA,NA,"null"
"2-dehydropantoate","reacts-with","hydrogen ion",NA,NA,"null"
"2-dehydropantoate","used-to-produce","methylene-H4PteGlun",NA,NA,"null"
"2-dehydropantoate","used-to-produce","pantoate",NA,NA,"null"
"2-oxoisovalerate","used-to-produce","2-dehydropantoate",NA,NA,"null"
"2-oxoisovalerate","reacts-with","H2O",NA,NA,"null"
"2-oxoisovalerate","consumption-controlled-by","P31057",NA,"6463;776976;8096212","null"
"2-oxoisovalerate","used-to-produce","THF(glu)n",NA,NA,"null"
"2-oxoisovalerate","reacts-with","methylene-H4PteGlun",NA,NA,"null"
"3'-dephospho-CoA","used-to-produce","CoA",NA,NA,"null"
"3'-dephospho-CoA","consumption-controlled-by","P0A6I9",NA,"11292795","null"
"3'-dephospho-CoA","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"3'-dephospho-CoA","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"3'-dephospho-CoA","used-to-produce","hydrogen ion",NA,NA,"null"
"3,3-dimethyl-2-oxobutyric acid 5-(6-aminopurin-9-yl)-3,4-dihydroxytetrahydrofuran-2-ylmethyl ester","chemical-affects","P31663",NA,"16990935;7037743","null"
"3-azaniumylpropanoate","consumption-controlled-by","P31663",NA,"16990935;7037743","null"
"3-azaniumylpropanoate","used-to-produce","PP",NA,NA,"null"
"3-azaniumylpropanoate","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"3-azaniumylpropanoate","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"3-azaniumylpropanoate","used-to-produce","hydrogen ion",NA,NA,"null"
"3-azaniumylpropanoate","reacts-with","pantoate",NA,NA,"null"
"3-azaniumylpropanoate","used-to-produce","vitamin B5",NA,NA,"null"
"4'-phosphopantetheine","used-to-produce","3'-dephospho-CoA",NA,NA,"null"
"4'-phosphopantetheine","consumption-controlled-by","P0A6I6",NA,"10480925;12750020;17873050","null"
"4'-phosphopantetheine","used-to-produce","PP",NA,NA,"null"
"4'-phosphopantetheine","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"4'-phosphopantetheine","reacts-with","hydrogen ion",NA,NA,"null"
"4'-phosphopantothenate","used-to-produce","4'-phosphopantothenoylcysteine",NA,NA,"null"
"4'-phosphopantothenate","chemical-affects","P0ABQ0",NA,"11278255;12140293;14686929","null"
"4'-phosphopantothenate","consumption-controlled-by","P0ABQ0",NA,"11278255;12140293;14686929","null"
"4'-phosphopantothenate","used-to-produce","PP",NA,NA,"null"
"4'-phosphopantothenate","reacts-with","cys",NA,NA,"null"
"4'-phosphopantothenate","reacts-with","cytidine-triphosphate",NA,NA,"null"
"4'-phosphopantothenate","used-to-produce","cytidylate",NA,NA,"null"
"4'-phosphopantothenate","used-to-produce","hydrogen ion",NA,NA,"null"
"4'-phosphopantothenoylcysteine","used-to-produce","4'-phosphopantetheine",NA,NA,"null"
"4'-phosphopantothenoylcysteine","consumption-controlled-by","P0ABQ0",NA,"10922366;11278255","null"
"4'-phosphopantothenoylcysteine","used-to-produce","carbon dioxide",NA,NA,"null"
"4'-phosphopantothenoylcysteine","reacts-with","hydrogen ion",NA,NA,"null"
"5,6,7,8-tetrahydrofolic acid","chemical-affects","P31057",NA,"6463;776976;8096212","null"
"N-heptylpantothenamide","chemical-affects","P0A6I3",NA,"12372838;1311303;15136582;16357994;23550886;24333332;24814884;3029083;7929447","null"
"N-pentylpantothenamide","chemical-affects","P0A6I3",NA,"12372838;1311303;15136582;16357994;23550886;24333332;24814884;3029083;7929447","null"
"BTS","chemical-affects","P31057",NA,"6463;776976;8096212","null"
"CoA","chemical-affects","P0A6I3",NA,"12372838;1311303;15136582;16357994;23550886;24333332;24814884;3029083;7929447","null"
"CoA","chemical-affects","P0A6I6",NA,"10480925;12750020;17873050","null"
"CoA","chemical-affects","P31057",NA,"6463;776976;8096212","null"
"D-serine","chemical-affects","P0A790",NA,"6767707;9169598","null"
"H2O","used-to-produce","2-dehydropantoate",NA,NA,"null"
"H2O","consumption-controlled-by","P31057",NA,"6463;776976;8096212","null"
