"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha; -ethynylagmatine","chemical-affects","P21170",NA,"3297044;4571773","null"
"alpha;-monofluoromethylagmatine","chemical-affects","P21170",NA,"3297044;4571773","null"
"alpha;-monofluoromethylarginine","chemical-affects","P21170",NA,"3297044;4571773","null"
"(E)-alpha;-monofluoromethyldehydroarginine","chemical-affects","P21170",NA,"3297044;4571773","null"
"5'-(aminoiminomethyl)amino-5'-deoxyadenosine","chemical-affects","P0A7F6",NA,"3091070;348695;6749853","null"
"5'-(dimethylsulfonio)-5'-deoxyadenosine","chemical-affects","P0A7F6",NA,"3091070;3157043;348695;6749853","null"
"5'-[(3-aminopropyl)-amino]-5'-deoxyadenosine","chemical-affects","P0A7F6",NA,"3091070;348695;6749853","null"
"5'-[(3-aminopropyl)methylamino]-5'-deoxyadenosine","chemical-affects","P0A7F6",NA,"3091070;348695;6749853","null"
"9-[6(RS)-8-diamino-5,6,7,8-tetradeoxy-beta;-D-ribo-octofuranosyl]-9H-purin-6-amine","chemical-affects","P0A7F6",NA,"3091070;348695;6749853","null"
"9-[6(RS)-C-carboxamido-5,6,7-trideoxy-beta;-D-ribo-octofuranosyl]-9H-purin-6-amine","chemical-affects","P0A7F6",NA,"3091070;348695;6749853","null"
"9-[6(S),9-diamino-5,6,7,8,9-pentadeoxy-beta;-D-ribo-nonafuranosyl]-9H-purin-6-amine","chemical-affects","P0A7F6",NA,"3091070;348695;6749853","null"
"AA","chemical-affects","P21170",NA,"3297044;4571773","null"
"Al+++","chemical-affects","P0A7F6",NA,"17567041;348695;6749853","null"
"Ca++","chemical-affects","P0A7F6",NA,"17567041;348695;6749853","null"
"Co++","chemical-affects","P0A7F6",NA,"17567041;348695;6749853","null"
"DFMA","chemical-affects","P21170",NA,"3297044;4571773","null"
"Fe++","chemical-affects","P0A7F6",NA,"17567041;348695;6749853","null"
"GDP","chemical-affects","P24169",NA,"1939141;21957966;240388",NA
"H2O","consumption-controlled-by","P60651",NA,"3081491","null"
"H2O","reacts-with","agmatine",NA,NA,"null"
"H2O","used-to-produce","bromisovalum",NA,NA,"null"
"H2O","used-to-produce","diaminobutane",NA,NA,"null"
"L-ornithine","consumption-controlled-by","P21169",NA,"15587;368795","null"
"L-ornithine","consumption-controlled-by","P24169",NA,"1939141;21957966;240388","null"
"L-ornithine","chemical-affects","P28629",NA,"4870599",NA
"L-ornithine","chemical-affects","P60651",NA,"3081491","null"
"L-ornithine","used-to-produce","carbon dioxide",NA,NA,"null"
"L-ornithine","used-to-produce","diaminobutane",NA,NA,"null"
"L-ornithine","reacts-with","hydrogen ion",NA,NA,"null"
"L-seryl phosphate","chemical-affects","P21169",NA,"15587;3096379;368795","null"
"Mn2+","chemical-affects","P0A7F6",NA,"17567041;348695;6749853","null"
"O(4)-phosphonato-L-tyrosine(2-)","chemical-affects","P21169",NA,"15587;3096379;368795","null"
"P09158","controls-production-of","5'-methylthioadenosine",NA,"23001854;3526348;4572733","null"
"P09158","controls-production-of","N-3-aminopropyl-1,5-diaminopentane",NA,"4572733","null"
"P09158","catalysis-precedes","P0A7F6",NA,"23001854;348695;3526348;4572733;6749853","null"
"P09158","catalysis-precedes","P0A9H3",NA,"16301313;17209032;21278708;21494223;21957966;23001854;3526348;4572733;6767710","null"
"P09158","catalysis-precedes","P21169",NA,"15587;23001854;3526348;368795;4572733","null"
"P09158","catalysis-precedes","P21170",NA,"23001854;3526348;4571773;4572733","null"
"P09158","catalysis-precedes","P24169",NA,"1939141;21957966;23001854;240388;3526348;4572733","null"
"P09158","catalysis-precedes","P28629",NA,"23001854;3526348;4572733;4870599","null"
"P09158","catalysis-precedes","P52095",NA,"21957966;23001854;3526348;4572733;6349639;6767710;9226257;9339543;9534244","null"
"P09158","controls-production-of","hydrogen ion",NA,"23001854;3526348;4572733","null"
"P09158","controls-production-of","spermidine",NA,"23001854;3526348","null"
"P0A7F6","catalysis-precedes","P09158",NA,"23001854;348695;3526348;4572733;6749853","null"
"P0A7F6","controls-production-of","carbon dioxide",NA,"348695;6749853","null"
"P0A7F6","controls-production-of","dAdoMet",NA,"348695;6749853","null"
"P0A9H3","catalysis-precedes","P09158",NA,"16301313;17209032;21278708;21494223;21957966;4572733;6767710","null"
"P0A9H3","neighbor-of","P52095",NA,NA,"null"
"P0A9H3","controls-production-of","carbon dioxide",NA,"16301313;17209032;21278708;21494223;21957966;6767710","null"
"P0A9H3","controls-production-of","pentamethylenediamine",NA,"16301313;17209032;21278708;21494223;21957966;6767710","null"
"P21169","catalysis-precedes","P09158",NA,"15587;23001854;3526348;368795","null"
"P21169","neighbor-of","P24169",NA,NA,"null"
"P21169","controls-production-of","carbon dioxide",NA,"15587;368795","null"
"P21169","controls-production-of","diaminobutane",NA,"15587;368795","null"
"P21170","neighbor-of","P28629",NA,NA,"null"
"P21170","catalysis-precedes","P60651",NA,"3081491;4571773","null"
"P21170","controls-production-of","agmatine",NA,"4571773","null"
"P21170","controls-production-of","carbon dioxide",NA,"4571773","null"
"P24169","catalysis-precedes","P09158",NA,"1939141;21957966;23001854;240388;3526348","null"
"P24169","controls-production-of","carbon dioxide",NA,"1939141;21957966;240388","null"
"P24169","controls-production-of","diaminobutane",NA,"1939141;21957966;240388","null"
