"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"P04951","ProteinReference","KdsB","Database of Interacting Proteins:DIP-10066N;EcoCyc:CPM-KDOSYNTH-MONOMER;EcoliWiki:b0918;MODBASE:P04951;Mint:MINT-1224838;NCBI Reference Sequences Database:NP_415438;Pride:P04951;Protein Model Portal:P04951;Protein Ontology:PRO_000023055;SWISS-MODEL:P04951;UniProt:P04951","InterPro:IPR003329;InterPro:IPR004528;InterPro:IPR029044;Panther:PTHR21485:SF4;Pfam:PF02348;Protein Data Bank:1VH1;Protein Data Bank:3K8D;Protein Data Bank:3K8E"
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"R. sphaeroides lipid A","SmallMoleculeReference",NA,"EcoCyc:CPD0-1284;PubChem-compound:25244503",NA
"lipid X","SmallMoleculeReference","lipid X","ChEBI:CHEBI:57957;EcoCyc:BISOHMYR-GLUCOSAMINYL-1P;IAF1260:lipidX;KEGG LIGAND:C04824;PubChem-compound:25244842",NA
"P17115","ProteinReference","GutQ","EcoCyc:EG10973-MONOMER;EcoliWiki:b2708;MODBASE:P17115;NCBI Reference Sequences Database:NP_417188;Pride:P17115;Protein Model Portal:P17115;SWISS-MODEL:P17115;UniProt:P17115","InterPro:IPR000644;InterPro:IPR001347;InterPro:IPR004800;InterPro:IPR035474;Pfam:PF00571;Pfam:PF01380;Prosite:PS51371;Prosite:PS51464;Smart:SM00116"
"P21645","ProteinReference","LpxD","Database of Interacting Proteins:DIP-10124N;EcoCyc:UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO;EcoliWiki:b0179;MODBASE:P21645;Mint:MINT-1218299;NCBI Reference Sequences Database:NP_414721;Pride:P21645;Protein Model Portal:P21645;Protein Ontology:PRO_000023123;SWISS-MODEL:P21645;UniProt:P21645","InterPro:IPR001451;InterPro:IPR007691;InterPro:IPR011004;InterPro:IPR018357;InterPro:IPR020573;Panther:PTHR43378;Pfam:PF00132;Pfam:PF04613;Pfam:PF14602;Prosite:PS00101;Protein Data Bank:3EH0;Protein Data Bank:4IHF;Protein Data Bank:4IHG;Protein Data Bank:4IHH"
"Mg+2","SmallMoleculeReference",NA,"ChEBI:CHEBI:18420;ChemSpider:865;DrugBank:DB01378;EcoCyc:MG+2;HMDB:HMDB00547;IAF1260:mg2;KEGG LIGAND:C00305;PubChem-compound:888",NA
"Kdo","SmallMoleculeReference","Kdo","ChEBI:CHEBI:85986;ChemSpider:4573934;EcoCyc:KDO;IAF1260:kdo;KEGG LIGAND:C01187;PubChem-compound:21681234",NA
"UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine","SmallMoleculeReference",NA,"ChEBI:CHEBI:61494;EcoCyc:UDP-OHMYR-ACETYLGLUCOSAMINE;IAF1260:u3aga;KEGG LIGAND:C04738;PubChem-compound:25244942",NA
"(9Z)-hexadec-9-enoyl-Kdo2-lipid IVA","SmallMoleculeReference",NA,"ChEBI:CHEBI:61520;EcoCyc:KDO2-PALMITOLEOYL-LIPID-IVA;PubChem-compound:91820136",NA
"P0ABZ4","ProteinReference","KdsC","Database of Interacting Proteins:DIP-48034N;EcoCyc:G7663-MONOMER;EcoliWiki:b3198;MODBASE:P0ABZ4;NCBI Reference Sequences Database:NP_417665;Pride:P0ABZ4;Protein Model Portal:P0ABZ4;Protein Ontology:PRO_000023056;SWISS-MODEL:P0ABZ4;Swiss-Model:P0ABZ4;UniProt:P0ABZ4","InterPro:IPR010023;InterPro:IPR023214;Panther:PTHR26053;Pfam:PF08282"
"UDP","SmallMoleculeReference",NA,"CAS:58-98-0;ChEBI:CHEBI:58223;ChemSpider:16739715;EcoCyc:UDP;HMDB:HMDB00295;IAF1260:udp;KEGG LIGAND:C00015;KNApSAcK:C00007313;MetaboLights:MTBLC58223;PubChem-compound:20056717;RefMet:UDP",NA
"Cadmium","SmallMoleculeReference",NA,"ChEBI:CHEBI:48775;ChemSpider:28935;EcoCyc:CD+2;HMDB:HMDB03638;IAF1260:cd2;KEGG LIGAND:C01413;PubChem-compound:31193",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"Hg++","SmallMoleculeReference",NA,"ChEBI:CHEBI:16793;ChemSpider:24800;EcoCyc:HG+2;HMDB:HMDB03625;IAF1260:hg2;KEGG LIGAND:C00703;PubChem-compound:26623",NA
"P0AC75","ProteinReference","WaaA","Database of Interacting Proteins:DIP-48036N;EcoCyc:KDOTRANS-MONOMER;EcoliWiki:b3633;MODBASE:P0AC75;Mint:MINT-1234738;NCBI Reference Sequences Database:NP_418090;Pride:P0AC75;Protein Model Portal:P0AC75;Protein Ontology:PRO_000024214;SWISS-MODEL:P0AC75;UniProt:P0AC75","InterPro:IPR001296;InterPro:IPR007507;Pfam:PF00534;Pfam:PF04413"
"Ca++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29108;ChemSpider:266;EcoCyc:CA+2;HMDB:HMDB00464;IAF1260:ca2;KEGG LIGAND:C00076;MetaboLights:MTBLC29108;PubChem-compound:271",NA
"tetraacyldisaccharide 4-phosphate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1280;PubChem-compound:25201094",NA
"polymyxin B1","SmallMoleculeReference",NA,"ChEBI:CHEBI:8309;EcoCyc:CPD0-1277;MetaboLights:MTBLC8309;PubChem-compound:52940214",NA
"P10441","ProteinReference","LpxB","Database of Interacting Proteins:DIP-10122N;EcoCyc:LIPIDADISACCHARIDESYNTH-MONOMER;EcoliWiki:b0182;MODBASE:P10441;Mint:MINT-1246245;NCBI Reference Sequences Database:NP_414724;Pride:P10441;Protein Model Portal:P10441;Protein Ontology:PRO_000023121;UniProt:P10441","CAZy:GT19;InterPro:IPR003835;Panther:PTHR30372;Pfam:PF02684;Protein Data Bank:5W8N;Protein Data Bank:5W8S;Protein Data Bank:5W8X"
"UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha;-D-glucosamine","SmallMoleculeReference",NA,"ChEBI:CHEBI:78847;EcoCyc:OH-MYRISTOYL;IAF1260:u23ga;KEGG LIGAND:C04652;PubChem-compound:25246209",NA
"chloride ion","SmallMoleculeReference",NA,"ChEBI:CHEBI:17996;ChemSpider:306;EcoCyc:CL-;HMDB:HMDB00492;IAF1260:cl;KEGG LIGAND:C00698;MetaboLights:MTBLC17996;PubChem-compound:312;UMBBD Compound:c0884",NA
"lipid IVA","SmallMoleculeReference",NA,"ChEBI:CHEBI:58603;ChemSpider:8504584;EcoCyc:LIPID-IV-A;IAF1260:lipidA;KEGG LIGAND:C04919;PubChem-compound:10329123",NA
"ribose-5P","SmallMoleculeReference",NA,"CAS:4300-28-1;ChEBI:CHEBI:78346;EcoCyc:RIBOSE-5P;HMDB:HMDB01548;IAF1260:42420;KEGG LIGAND:C00117;PubChem-compound:24794349",NA
"(Kdo)2-lipid A, cold adapted","SmallMoleculeReference",NA,"ChEBI:CHEBI:61522;EcoCyc:KDO2-LIPID-IVA-COLD;IAF1260:lipa_cold;PubChem-compound:25246139",NA
"P24205","ProteinReference","LpxM","Database of Interacting Proteins:DIP-10262N;EcoCyc:MYRISTOYLACYLTRAN-MONOMER;EcoliWiki:b1855;Mint:MINT-1309336;NCBI Reference Sequences Database:NP_416369;Pride:P24205;Protein Model Portal:P24205;Protein Ontology:PRO_000023295;SWISS-MODEL:P24205;UniProt:P24205","InterPro:IPR004960;InterPro:IPR011921;Pfam:PF03279"
