#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chembl:CHEMBL287670|chebi:"CHEBI:141459"	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C11H15NO5.K/c1-4-7-6(5(2)13)10(14)12(7)8(11(15)16)9(4)17-3;/h4-7,13H,1-3H3,(H,15,16);/q;+1/p-1/t4-,5+,6+,7?;/m0./s1"(inchi id)|unknown:TWFMGUXWPUHEQX-XTXCTVFFSA-M(inchi key)|unknown:"[K+].COC1=C(N2C([C@@H]1C)[C@@H]([C@@H](C)O)C2=O)C(=O)[O-]"(smile)|unknown:chembl287670(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Pfaendler et al (2000)	pubmed:10890171	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL655059	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:141461"|chembl:CHEMBL283629	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C11H15NO5.K/c1-4-7-6(5(2)13)10(14)12(7)8(11(15)16)9(4)17-3;/h4-7,13H,1-3H3,(H,15,16);/q;+1/p-1/t4-,5-,6-,7?;/m1./s1"(inchi id)|unknown:TWFMGUXWPUHEQX-ILSJRFRISA-M(inchi key)|unknown:"[K+].COC1=C(N2C([C@H]1C)[C@@H]([C@@H](C)O)C2=O)C(=O)[O-]"(smile)|unknown:chembl283629(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Pfaendler et al (2000)	pubmed:10890171	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL655059	chembl:high(ChEMBL given confidence)
chembl:CHEMBL212163|chebi:"CHEBI:453375"	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H11N3O4S.Na/c17-11-8(12-16(11)9(6-21-12)13(18)19)3-7-4-15-1-2-20-5-10(15)14-7;/h3-4,6,12H,1-2,5H2,(H,18,19);/q;+1/p-1/b8-3+;/t12-;/m1./s1"(inchi id)|unknown:RFSWVJXWZXQOSW-COUKRICUSA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=Cc3cn4CCOCc4n3"(smile)|unknown:chembl212163(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:453374"|chembl:CHEMBL379440	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H12N4O3S.Na/c18-11-8(12-17(11)9(6-21-12)13(19)20)3-7-5-16-2-1-14-4-10(16)15-7;/h3,5-6,12,14H,1-2,4H2,(H,19,20);/q;+1/p-1/b8-3+;/t12-;/m1./s1"(inchi id)|unknown:UGTMAFLDASQVJU-COUKRICUSA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=Cc3cn4CCNCc4n3"(smile)|unknown:chembl379440(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:100207"|chembl:CHEMBL404	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:YTR-830H|unknown:Tazobactam|unknown:CL-298741|unknown:"InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1"(inchi id)|unknown:LPQZKKCYTLCDGQ-WEDXCCLWSA-N(inchi key)|unknown:"C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)O"(smile)|unknown:ytr830h(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:453311"|chembl:CHEMBL211889	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H11N3O3S2.Na/c17-11-8(12-16(11)9(5-21-12)13(18)19)3-7-4-15-1-2-20-6-10(15)14-7;/h3-5,12H,1-2,6H2,(H,18,19);/q;+1/p-1/b8-3+;/t12-;/m1./s1"(inchi id)|unknown:HHGFWQVGBHTXHX-COUKRICUSA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=Cc3cn4CCSCc4n3"(smile)|unknown:chembl211889(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:453310"|chembl:CHEMBL377001	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H11N3O4S.Na/c17-11-8(12-16(11)9(6-21-12)13(18)19)4-7-5-10-15(14-7)2-1-3-20-10;/h4-6,12H,1-3H2,(H,18,19);/q;+1/p-1/b8-4-;/t12-;/m1./s1"(inchi id)|unknown:DUZDUHWRVNZELT-VTYRZHMASA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=C/c3cc4OCCCn4n3"(smile)|unknown:chembl377001(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:453275"|chembl:CHEMBL379856	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H12N4O3S.Na/c18-11-9(12-17(11)10(6-21-12)13(19)20)4-7-3-8-5-14-1-2-16(8)15-7;/h3-4,6,12,14H,1-2,5H2,(H,19,20);/q;+1/p-1/b9-4-;/t12-;/m1./s1"(inchi id)|unknown:KPLQWZHWLPLTOU-WBFSQFMTSA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=C/c3cc4CNCCn4n3"(smile)|unknown:chembl379856(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:453653"|chembl:CHEMBL377382	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H11N3O4S.Na/c17-11-9(12-16(11)10(6-21-12)13(18)19)4-7-3-8-5-20-2-1-15(8)14-7;/h3-4,6,12H,1-2,5H2,(H,18,19);/q;+1/p-1/b9-4-;/t12-;/m1./s1"(inchi id)|unknown:CWYBVIFMIWAZCB-WBFSQFMTSA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=C/c3cc4COCCn4n3"(smile)|unknown:chembl377382(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
chebi:"CHEBI:453652"|chembl:CHEMBL378119	uniprotkb:P62593|chembl:CHEMBL2065	-	uniprotkb:blaT-6(gene name)	unknown:"InChI=1S/C13H11N3O5S2.Na/c17-11-9(12-16(11)10(5-22-12)13(18)19)4-7-3-8-6-23(20,21)2-1-15(8)14-7;/h3-5,12H,1-2,6H2,(H,18,19);/q;+1/p-1/b9-4-;/t12-;/m1./s1"(inchi id)|unknown:VPGJCAZRMJTNIN-WBFSQFMTSA-M(inchi key)|unknown:"[Na+].[O-]C(=O)C1=CS[C@H]2N1C(=O)/C/2=C/c3cc4CS(=O)(=O)CCn4n3"(smile)|unknown:chembl378119(shortLabel)	uniprotkb:Beta-lactamase TEM(gene name synonym)|uniprotkb:IRT-4(gene name synonym)|uniprotkb:Penicillinase(gene name synonym)|uniprotkb:TEM-1(gene name synonym)|uniprotkb:TEM-16/CAZ-7(gene name synonym)|uniprotkb:TEM-2(gene name synonym)|uniprotkb:TEM-24/CAZ-6(gene name synonym)|uniprotkb:TEM-3(gene name synonym)|uniprotkb:TEM-4(gene name synonym)|uniprotkb:TEM-5(gene name synonym)|uniprotkb:TEM-6(gene name synonym)|uniprotkb:TEM-8/CAZ-2(gene name synonym)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|uniprotkb:and(gene name)|unknown:blat_ecolx(shortLabel)	psi-mi:"MI:0401"(biochemical)	Venkatesan et al (2006)	pubmed:16854068	-	taxid:562(escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL869109	chembl:high(ChEMBL given confidence)
