"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"Ni++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49786;ChemSpider:909;EcoCyc:NI+2;HMDB:HMDB02457;IAF1260:ni2;KEGG LIGAND:C19609;PubChem-compound:934",NA
"P0A6E4","ProteinReference","ArgG","Database of Interacting Proteins:DIP-35842N;EcoCyc:ARGSUCCINSYN-MONOMER;EcoliWiki:b3172;NCBI Reference Sequences Database:NP_417640;Pride:P0A6E4;Protein Model Portal:P0A6E4;SWISS-MODEL:P0A6E4;UniProt:P0A6E4","InterPro:IPR001518;InterPro:IPR014729;InterPro:IPR018223;InterPro:IPR023434;InterPro:IPR023437;InterPro:IPR024073;InterPro:IPR024074;Panther:PTHR11587;Pfam:PF00764;Prosite:PS00564;Prosite:PS00565;Protein Data Bank:1K92;Protein Data Bank:1K97;Protein Data Bank:1KP2;Protein Data Bank:1KP3"
"ribosylhypoxanthine monophosphate","SmallMoleculeReference",NA,"CAS:131-99-7;ChEBI:CHEBI:58053;ChemSpider:5482599;EcoCyc:IMP;HMDB:HMDB00175;IAF1260:imp;KEGG LIGAND:C00130;MetaboLights:MTBLC58053;PubChem-compound:7140378;RefMet:IMP",NA
"cyanate","SmallMoleculeReference",NA,"CAS:420-05-3;ChEBI:CHEBI:29195;ChemSpider:10445868;EcoCyc:CPD-69;HMDB:HMDB02078;IAF1260:cynt;KEGG LIGAND:C01417;MetaboLights:MTBLC29195;PubChem-compound:105034",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"L-indospicine","SmallMoleculeReference",NA,"ChEBI:CHEBI:6253;EcoCyc:CPD0-1690;KEGG LIGAND:C08288;MetaboLights:MTBLC6253;PubChem-compound:44123309;RefMet:Indospicine",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"carbamoyl-P","SmallMoleculeReference",NA,"CAS:590-55-6;ChEBI:CHEBI:58228;ChemSpider:2666990;EcoCyc:CARBAMOYL-P;HMDB:HMDB01096;IAF1260:cbp;KEGG LIGAND:C00169;MetaboLights:MTBLC58228;PubChem-compound:3423467",NA
"P11447","ProteinReference","ArgH","Database of Interacting Proteins:DIP-9142N;EcoCyc:ARGSUCCINLYA-MONOMER;EcoliWiki:b3960;MODBASE:P11447;NCBI Reference Sequences Database:NP_418395;Pride:P11447;Protein Model Portal:P11447;SWISS-MODEL:P11447;UniProt:P11447","InterPro:IPR000362;InterPro:IPR008948;InterPro:IPR009049;InterPro:IPR020557;InterPro:IPR022761;InterPro:IPR024083;InterPro:IPR029419;Panther:PTHR43814:SF1;Pfam:PF00206;Pfam:PF14698;Prints:PR00149;Prosite:PS00163;Protein Data Bank:1TJ7"
"P11446","ProteinReference","ArgC","EcoCyc:N-ACETYLGLUTPREDUCT-MONOMER;EcoliWiki:b3958;MODBASE:P11446;NCBI Reference Sequences Database:NP_418393;Pride:P11446;Protein Model Portal:P11446;SWISS-MODEL:P11446;Swiss-Model:P11446;UniProt:P11446","InterPro:IPR000534;InterPro:IPR000706;InterPro:IPR012280;InterPro:IPR016040;InterPro:IPR023013;Pfam:PF01118;Pfam:PF02774;Prosite:PS01224;Smart:SM00859"
"P23908","ProteinReference","ArgE","EcoCyc:ACETYLORNDEACET-MONOMER;EcoliWiki:b3957;MODBASE:P23908;NCBI Reference Sequences Database:NP_418392;Pride:P23908;Protein Model Portal:P23908;Protein Ontology:PRO_000022129;SWISS-MODEL:P23908;Swiss-Model:P23908;UniProt:P23908","InterPro:IPR001261;InterPro:IPR002933;InterPro:IPR010169;InterPro:IPR011650;Pfam:PF01546;Pfam:PF07687;Prosite:PS00758;Prosite:PS00759"
"N-acetylornithine","SmallMoleculeReference",NA,"ChEBI:CHEBI:57805;EcoCyc:N-ALPHA-ACETYLORNITHINE;HMDB:HMDB03357;IAF1260:acorn;KEGG LIGAND:C00437;MetaboLights:MTBLC57805;PubChem-compound:6992102;RefMet:N-Acetylornithine",NA
"N-(L-arginino)-succinate","SmallMoleculeReference",NA,"ChEBI:CHEBI:57472;EcoCyc:L-ARGININO-SUCCINATE;HMDB:HMDB00052;IAF1260:argsuc;KEGG LIGAND:C03406;MetaboLights:MTBLC57472;PubChem-compound:46878376",NA
"P22256","ProteinReference","GabT","Database of Interacting Proteins:DIP-9725N;EcoCyc:GABATRANSAM-MONOMER;EcoliWiki:b2662;MODBASE:P22256;Mint:MINT-1274800;NCBI Reference Sequences Database:NP_417148;Pride:P22256;Protein Model Portal:P22256;SWISS-MODEL:P22256;UniProt:P22256","InterPro:IPR004632;InterPro:IPR005814;InterPro:IPR015421;InterPro:IPR015422;InterPro:IPR015424;Panther:PTHR11986;Pfam:PF00202;Prosite:PS00600;Protein Data Bank:1SF2;Protein Data Bank:1SFF;Protein Data Bank:1SZK;Protein Data Bank:1SZS;Protein Data Bank:1SZU"
"P77581","ProteinReference","AstC","Database of Interacting Proteins:DIP-9145N;EcoCyc:SUCCORNTRANSAM-MONOMER;EcoliWiki:b1748;MODBASE:P77581;NCBI Reference Sequences Database:NP_416262;Pride:P77581;Protein Model Portal:P77581;Protein Ontology:PRO_000022177;SWISS-MODEL:P77581;Swiss-Model:P77581;UniProt:P77581","InterPro:IPR004636;InterPro:IPR005814;InterPro:IPR015421;InterPro:IPR015422;InterPro:IPR015424;InterPro:IPR017652;InterPro:IPR026330;Panther:PTHR11986:SF101;Pfam:PF00202;Prosite:PS00600;Protein Data Bank:4ADB;Protein Data Bank:4ADC;Protein Data Bank:4ADD;Protein Data Bank:4ADE"
"a sulfhydryl reagent","SmallMoleculeReference",NA,"EcoCyc:Sulfhydryl-Reagents",NA
"N-acetylglutamyl-P","SmallMoleculeReference",NA,"ChEBI:CHEBI:57936;EcoCyc:N-ACETYL-GLUTAMYL-P;HMDB:HMDB06456;IAF1260:acg5p;KEGG LIGAND:C04133;MetaboLights:MTBLC57936;PubChem-compound:49791951",NA
"Cadmium","SmallMoleculeReference",NA,"ChEBI:CHEBI:48775;ChemSpider:28935;EcoCyc:CD+2;HMDB:HMDB03638;IAF1260:cd2;KEGG LIGAND:C01413;PubChem-compound:31193",NA
"DON","SmallMoleculeReference",NA,"CAS:764-17-0;EcoCyc:CPD0-1627;PubChem-compound:25246179",NA
"N-acetyl-L-glutamate-5-semialdehyde","SmallMoleculeReference",NA,"ChEBI:CHEBI:29123;ChemSpider:5256773;EcoCyc:CPD-469;HMDB:HMDB06488;IAF1260:acg5sa;KEGG LIGAND:C01250;MetaboLights:MTBLC29123;PubChem-compound:6857435",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"N-delta;-(phosphonoacetyl)-L-ornithine","SmallMoleculeReference",NA,"EcoCyc:N-DELTA-PHOSPHONOACETYL-L-ORNITHINE;PubChem-compound:25200506",NA
"Hg++","SmallMoleculeReference",NA,"ChEBI:CHEBI:16793;ChemSpider:24800;EcoCyc:HG+2;HMDB:HMDB03625;IAF1260:hg2;KEGG LIGAND:C00703;PubChem-compound:26623",NA
"P0A6F1","ProteinReference","CarA","Database of Interacting Proteins:DIP-35412N;EcoCyc:CARBPSYN-SMALL;EcoliWiki:b0032;MODBASE:P0A6F1;NCBI Reference Sequences Database:NP_414573;Pride:P0A6F1;Protein Model Portal:P0A6F1;Protein Ontology:PRO_000022247;SWISS-MODEL:P0A6F1;UniProt:P0A6F1","InterPro:IPR002474;InterPro:IPR006274;InterPro:IPR017926;InterPro:IPR029062;InterPro:IPR035686;Pfam:PF00117;Pfam:PF00988;Prosite:PS51273;Protein Data Bank:1A9X;Protein Data Bank:1BXR;Protein Data Bank:1C30;Protein Data Bank:1C3O;Protein Data Bank:1CE8;Protein Data Bank:1CS0;Protein Data Bank:1JDB;Protein Data Bank:1KEE;Protein Data Bank:1M6V;Protein Data Bank:1T36;Smart:SM01097"
"gln","SmallMoleculeReference","gln","CAS:56-85-9;ChEBI:CHEBI:58359;EcoCyc:GLN;HMDB:HMDB00641;IAF1260:gln__L;KEGG LIGAND:C00064;MetaboLights:MTBLC58359;PubChem-compound:6992086;RefMet:Glutamine",NA
"P18335","ProteinReference","ArgD","Database of Interacting Proteins:DIP-9138N;EcoCyc:ACETYLORNTRANSAM-MONOMER;EcoliWiki:b3359;MODBASE:P18335;NCBI Reference Sequences Database:NP_417818;Pride:P18335;Protein Model Portal:P18335;Protein Ontology:PRO_000022128;SWISS-MODEL:P18335;Swiss-Model:P18335;UniProt:P18335","InterPro:IPR004636;InterPro:IPR005814;InterPro:IPR015421;InterPro:IPR015422;InterPro:IPR015424;InterPro:IPR017652;Panther:PTHR11986:SF101;Pfam:PF00202;Prosite:PS00600"
"L-2-amino-4-oxo-5-chloropentanoate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1224;PubChem-compound:25200575",NA
"glu","SmallMoleculeReference","glu","CAS:56-86-0;ChEBI:CHEBI:29985;ChemSpider:4573882;EcoCyc:GLT;HMDB:HMDB00148;IAF1260:glu__L;KEGG LIGAND:C00025;KNApSAcK:C00001358;MetaboLights:MTBLC29985;PubChem-compound:5460299;RefMet:Glutamic acid",NA
"NH4+","SmallMoleculeReference",NA,"CAS:14798-03-9;ChEBI:CHEBI:28938;ChemSpider:218;EcoCyc:AMMONIUM;HMDB:HMDB41827;IAF1260:nh4;KEGG LIGAND:C01342;MetaboLights:MTBLC28938;PubChem-compound:223",NA
"azaserine","SmallMoleculeReference",NA,"CAS:115-02-6;ChEBI:CHEBI:74846;EcoCyc:L-AZASERINE;KEGG LIGAND:C19194;MetaboLights:MTBLC74846;PubChem-compound:25244614",NA
