"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphate","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"alpha;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphonate","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"alpha;-methyl-DL-aspartate","chemical-affects","P00509",NA,"11736651;352693;7798192","null"
"alpha;-oxo-1-carboxy-4-tetrahydrothiopyranpropanoic acid S-oxide","chemical-affects","P0A9J8",NA,"7030214","null"
"alpha;-oxo-1-carboxy-5,6-dihydrothiopyranpropanoic acid S-oxide","chemical-affects","P0A9J8",NA,"7030214","null"
"beta;-(2,6-anhydro-3-deoxy-D-arabino-heptulopyranosid)onate 7-phosphate","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"beta;-2-thienyl-D,L-Alanine","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"beta;-NAD(P)+","used-to-produce","5-dehydroshikimic acid",NA,NA,"null"
"beta;-NAD(P)+","used-to-produce","NAD(P)H",NA,NA,"null"
"beta;-NAD(P)+","consumption-controlled-by","P0A6D5",NA,"12637497;15596430","null"
"beta;-NAD(P)+","used-to-produce","hydrogen ion",NA,NA,"null"
"beta;-NAD(P)+","reacts-with","shikimate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","C1-(3-Indolyl)-glycerol 3-phosphate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","indole",NA,NA,"null"
"(6R)-6-fluoro-5-enolpyruvoylshikimate 3-phosphate","chemical-affects","P12008",NA,"10956653;2969724;7559411;7978236;8703965","null"
"(6S)-6-fluoro-EPSP","chemical-affects","P12008",NA,"10956653;2969724;7559411;7978236;8703965","null"
"(S)-2-hydroxyglutarate","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","C1-(3-Indolyl)-glycerol 3-phosphate",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","H2O",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","consumption-controlled-by","P00909",NA,"5332729","null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","carbon dioxide",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","reacts-with","hydrogen ion",NA,NA,"null"
"2,4,6-trinitrobenzene sulphonate","chemical-affects","P0A9J8",NA,"334530;7030214","null"
"2-aminobenzoic acid","used-to-produce","5'-P-ribosyl-anthranilate",NA,NA,"null"
"2-aminobenzoic acid","consumption-controlled-by","P00904",NA,"2428387","null"
"2-aminobenzoic acid","chemical-affects","P00909",NA,"5332729","null"
"2-aminobenzoic acid","used-to-produce","PP",NA,NA,"null"
"2-aminobenzoic acid","reacts-with","PRPP",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"2-oxo-3-phenylpropanoate","used-to-produce","2-oxopentanedionic acid",NA,NA,"null"
"2-oxo-3-phenylpropanoate","consumption-controlled-by","P00509",NA,"11736651;352693","null"
"2-oxo-3-phenylpropanoate","consumption-controlled-by","P04693",NA,"236311","null"
"2-oxo-3-phenylpropanoate","consumption-controlled-by","P0AB80",NA,"378964","null"
"2-oxo-3-phenylpropanoate","reacts-with","glu",NA,NA,"null"
"2-oxo-3-phenylpropanoate","used-to-produce","phe",NA,NA,"null"
"2-oxoisovalerate","chemical-affects","P04693",NA,"1646790;236311","null"
"2-oxopentanedionic acid","used-to-produce","2-oxo-3-phenylpropanoate",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","hydroxyphenylpyruvate",NA,NA,"null"
"2-oxopentanedionic acid","reacts-with","phe",NA,NA,"null"
"2-oxopentanedionic acid","reacts-with","tyr",NA,NA,"null"
"3 -methylanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"3-bromo-2-oxopropanoic acid","chemical-affects","P0A6D3",NA,"1899181;3121621;3518706;4289188;4942558;6229418;6351837","null"
"3-deoxy-D-arabino-heptulosonate-7-P","used-to-produce","5-de-H-quinate",NA,NA,"null"
"3-deoxy-D-arabino-heptulosonate-7-P","chemical-affects","P00888",NA,"6104668;6146618;9387","null"
"3-deoxy-D-arabino-heptulosonate-7-P","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"3-deoxy-D-arabino-heptulosonate-7-P","consumption-controlled-by","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"3-deoxy-D-arabino-heptulosonate-7-P","used-to-produce","PO43-",NA,NA,"null"
"3-methylphosphoenolpyruvate","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"3-phosphoshikimate","used-to-produce","5-enolpyruvoyl-shikimate 3-phosphate",NA,NA,"null"
"3-phosphoshikimate","consumption-controlled-by","P0A6D3",NA,"3121621;3518706;4289188;4942558;6229418;6351837","null"
"3-phosphoshikimate","used-to-produce","PO43-",NA,NA,"null"
"3-phosphoshikimate","reacts-with","phosphoenolpyruvate",NA,NA,"null"
"3-propylphosphoenolpyruvate","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"4 - methylanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"5 - methylanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"5'-P-ribosyl-anthranilate","used-to-produce","1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate",NA,NA,"null"
"5'-P-ribosyl-anthranilate","consumption-controlled-by","P00909",NA,"4865047;7727401","null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P0A9J8",NA,"334529;7030214","null"
"5-de-H-quinate","used-to-produce","5-dehydroshikimic acid",NA,NA,"null"
"5-de-H-quinate","used-to-produce","H2O",NA,NA,"null"
"5-de-H-quinate","chemical-affects","P05194",NA,"2950851;3541912;7021325","null"
"5-de-H-quinate","consumption-controlled-by","P05194",NA,"2950851;3541912;7021325","null"
"5-dehydroshikimic acid","used-to-produce","5-de-H-quinate",NA,NA,"null"
"5-dehydroshikimic acid","reacts-with","H2O",NA,NA,"null"
"5-dehydroshikimic acid","used-to-produce","NADP-ox",NA,NA,"null"
"5-dehydroshikimic acid","reacts-with","NADPH",NA,NA,"null"
"5-dehydroshikimic acid","consumption-controlled-by","P15770",NA,"12637497;3883995","null"
"5-dehydroshikimic acid","reacts-with","hydrogen ion",NA,NA,"null"
"5-dehydroshikimic acid","used-to-produce","shikimate",NA,NA,"null"
"5-enolpyruvoyl-shikimate 3-phosphate","used-to-produce","3-phosphoshikimate",NA,NA,"null"
"5-enolpyruvoyl-shikimate 3-phosphate","chemical-affects","P0A6D3",NA,"3121621;3518706;4289188;4942558;6229418;6351837","null"
"5-enolpyruvoyl-shikimate 3-phosphate","consumption-controlled-by","P12008",NA,"10956653;2969724;7559411;7978236;8703965","null"
"5-enolpyruvoyl-shikimate 3-phosphate","reacts-with","PO43-",NA,NA,"null"
"5-enolpyruvoyl-shikimate 3-phosphate","used-to-produce","PO43-",NA,NA,"null"
"5-enolpyruvoyl-shikimate 3-phosphate","used-to-produce","chorismic acid",NA,NA,"null"
"5-enolpyruvoyl-shikimate 3-phosphate","used-to-produce","phosphoenolpyruvate",NA,NA,"null"
"5-fluoroanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"7-methyl-L-tryptophan","chemical-affects","P00895",NA,"4886289;4904235","null"
"7-methyl-L-tryptophan","chemical-affects","P00904",NA,"4886289;4904235","null"
"trans-aconitate","chemical-affects","P0A9J8",NA,"6337635;7030214","null"
"BTS","chemical-affects","P0A6D3",NA,"1599467;3121621;3518706;4289188;4942558;6229418;6351837","null"
"C1-(3-Indolyl)-glycerol 3-phosphate","used-to-produce","(2R)-2-hydroxy-3-(phosphooxy)-propanal",NA,NA,"null"
"C1-(3-Indolyl)-glycerol 3-phosphate","consumption-controlled-by","P0A877",NA,"13696310;2888759","null"
"C1-(3-Indolyl)-glycerol 3-phosphate","used-to-produce","indole",NA,NA,"null"
"D-Glycerate 2-phosphate","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"D-Greenwald ester","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"DAHP-o-methyl glycoside","chemical-affects","P07639",NA,"2514789;3009224;344312;353051;6386050;793638","null"
"DPN-ox","consumption-controlled-by","P07023",NA,"7044424","null"
"DPN-ox","used-to-produce","carbon dioxide",NA,NA,"null"
"DPN-ox","used-to-produce","hydroxyphenylpyruvate",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"DPN-ox","reacts-with","prephenate",NA,NA,"null"
"Dihydrophenylalanine","chemical-affects","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"Fe++","chemical-affects","P00887",NA,"1672127;1677907;2903857;4218228;4939760;6167722;9398312","null"
"H2O","used-to-produce","3-deoxy-D-arabino-heptulosonate-7-P",NA,NA,"null"
"H2O","used-to-produce","5-de-H-quinate",NA,NA,"null"
"H2O","consumption-controlled-by","P00887",NA,"1672127;1677907;2903857;4218228;4939760;6167722;9398312","null"
"H2O","consumption-controlled-by","P00888",NA,"6104668;6146618;9387","null"
"H2O","consumption-controlled-by","P0AB91",NA,"10988284;12952;15378531;15837321;26682;27065204;6125934;9883883","null"
"H2O","used-to-produce","PO43-",NA,NA,"null"
"H2O","reacts-with","phosphoenolpyruvate",NA,NA,"null"
"H2O","reacts-with","threose 4-phosphate",NA,NA,"null"
"N-(phosphonomethyl)glycine","chemical-affects","P0A6D3",NA,"3121621;3518706;4289188;4942558;6229418;6351837","null"
"NADPH","used-to-produce","NADP-ox",NA,NA,"null"
"NADPH","consumption-controlled-by","P15770",NA,"12637497;3883995","null"
"NADPH","reacts-with","hydrogen ion",NA,NA,"null"
"NADPH","used-to-produce","shikimate",NA,NA,"null"
"P00509","controls-production-of","2-oxopentanedionic acid",NA,"11736651;352693","null"
"P00509","neighbor-of","P04693",NA,NA,"null"
"P00509","neighbor-of","P0AB80",NA,NA,"null"
"P00509","controls-production-of","phe",NA,"11736651;352693","null"
"P00509","controls-production-of","tyr",NA,"352693","null"
"P00887","controls-production-of","3-deoxy-D-arabino-heptulosonate-7-P",NA,"1672127;1677907;2903857;4218228;4939760;6167722;9398312","null"
"P00887","neighbor-of","P00888",NA,NA,"null"
"P00887","catalysis-precedes","P07639",NA,"1672127;1677907;2514789;2903857;3009224;344312;353051;4218228;4939760;6167722;6386050;793638;9398312","null"
"P00887","neighbor-of","P0AB91",NA,NA,"null"
"P00887","controls-production-of","PO43-",NA,"1672127;1677907;2903857;4218228;4939760;6167722;9398312","null"
"P00888","controls-production-of","3-deoxy-D-arabino-heptulosonate-7-P",NA,"6104668;6146618;9387","null"
