"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(2R,3R,6S)-3-fluoro-2,6-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2R,3S,6S)-2,6-diamino-3-hydroxy-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2R,3S,6S)-3-fluoro-2,6-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2S,3R,6S)-2,6-diamino-3-hydroxydiaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2S,3R,6S)-3-fluoro-2,6-diaminopimelic acid","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2S,3S,6S)-3-fluoro-2,6-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","used-to-produce","beta;-NAD(P)+",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","used-to-produce","(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","used-to-produce","H2O",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","reacts-with","NAD(P)H",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","consumption-controlled-by","P04036",NA,"18710263;20503968;6094578;7893644;8873595","null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","reacts-with","hydrogen ion",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","used-to-produce","CoA",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","reacts-with","H2O",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","consumption-controlled-by","P0A9D8",NA,"6365916","null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","reacts-with","succinyl-coenzyme A",NA,NA,"null"
"2,3-dimercaptopropan-1-ol","chemical-affects","P00861",NA,"10625645;11856852;14343156;25986217;26921318","null"
"2-(4-amino-4-carboxybutyl)aziridine-2-carboxylate","chemical-affects","P0A6K1",NA,"2197412;2689171;3031013","null"
"2-aminoheptanedioic acid","chemical-affects","P00861",NA,"10625645;11856852;14343156;25986217;26921318","null"
"2-oxoheptanedionic acid","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"2-oxopentanedionic acid","reacts-with","N-succinyl-L,L-2,6-diaminopimelate",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"2-oxopentanedionic acid","chemical-affects","P18335",NA,"10074354;13734750","null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"3-bromo-2-oxopropanoic acid","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"3-chlorodiaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013;3056252","null"
"4-methylene diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013;3042781","null"
"4-phospho-L-aspartate","used-to-produce","L-aspartate-4-semialdehyde",NA,NA,"null"
"4-phospho-L-aspartate","used-to-produce","NADP-ox",NA,NA,"null"
"4-phospho-L-aspartate","reacts-with","NADPH",NA,NA,"null"
"4-phospho-L-aspartate","consumption-controlled-by","P0A9Q9",NA,"14726201","null"
"4-phospho-L-aspartate","used-to-produce","PO43-",NA,NA,"null"
"4-phospho-L-aspartate","reacts-with","hydrogen ion",NA,NA,"null"
"4-thialysine","chemical-affects","P08660",NA,"11368768;14623187;6249791;8290655","null"
"4-thialysine","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P0A9Q9",NA,"14726201","null"
"N-succinyl-L,L-2,6-diaminopimelate","reacts-with","H2O",NA,NA,"null"
"N-succinyl-L,L-2,6-diaminopimelate","used-to-produce","L,L-DAP",NA,NA,"null"
"N-succinyl-L,L-2,6-diaminopimelate","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"N-succinyl-L,L-2,6-diaminopimelate","consumption-controlled-by","P0AED7",NA,"3276674","null"
"N-succinyl-L,L-2,6-diaminopimelate","used-to-produce","glu",NA,NA,"null"
"N-succinyl-L,L-2,6-diaminopimelate","used-to-produce","succinate",NA,NA,"null"
"BTS","used-to-produce","(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate",NA,NA,"null"
"BTS","used-to-produce","H2O",NA,NA,"null"
"BTS","reacts-with","L-aspartate-4-semialdehyde",NA,NA,"null"
"BTS","consumption-controlled-by","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"BTS","used-to-produce","hydrogen ion",NA,NA,"null"
"Co++","chemical-affects","P0A9D8",NA,"6365916","null"
"Cu++","chemical-affects","P0A9D8",NA,"6365916","null"
"DL-3-mercaptovaline","chemical-affects","P00861",NA,"10625645;11856852;14343156;25986217;26921318","null"
"H2O","used-to-produce","CoA",NA,NA,"null"
"H2O","used-to-produce","L,L-DAP",NA,NA,"null"
"H2O","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"H2O","consumption-controlled-by","P0A9D8",NA,"6365916","null"
"H2O","consumption-controlled-by","P0AED7",NA,"3276674","null"
"H2O","used-to-produce","succinate",NA,NA,"null"
"H2O","reacts-with","succinyl-coenzyme A",NA,NA,"null"
"L,L-DAP","consumption-controlled-by","P0A6K1",NA,"2689171;3031013","null"
"L,L-DAP","used-to-produce","meso-2,6-diaminoheptanedioate",NA,NA,"null"
"L-2-amino-4-oxo-5-chloropentanoate","chemical-affects","P0A9Q9",NA,"14726201;6102911","null"
"L-aspartate-4-semialdehyde","used-to-produce","(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate",NA,NA,"null"
"L-aspartate-4-semialdehyde","used-to-produce","4-phospho-L-aspartate",NA,NA,"null"
"L-aspartate-4-semialdehyde","used-to-produce","H2O",NA,NA,"null"
"L-aspartate-4-semialdehyde","reacts-with","NADP-ox",NA,NA,"null"
"L-aspartate-4-semialdehyde","used-to-produce","NADPH",NA,NA,"null"
"L-aspartate-4-semialdehyde","consumption-controlled-by","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"L-aspartate-4-semialdehyde","reacts-with","PO43-",NA,NA,"null"
"L-aspartate-4-semialdehyde","used-to-produce","hydrogen ion",NA,NA,"null"
"L-cystine","chemical-affects","P00861",NA,"10625645;11856852;14343156;25986217;26921318","null"
"L-cystine","chemical-affects","P0A9Q9",NA,"14726201","null"
"L-homoserine","chemical-affects","P00561",NA,"11368768",NA
"N-Succinyl-2-L-amino-6-oxoheptanedioate","used-to-produce","2-oxopentanedionic acid",NA,NA,"null"
"N-Succinyl-2-L-amino-6-oxoheptanedioate","used-to-produce","N-succinyl-L,L-2,6-diaminopimelate",NA,NA,"null"
"N-Succinyl-2-L-amino-6-oxoheptanedioate","consumption-controlled-by","P18335",NA,"10074354;13734750","null"
"N-Succinyl-2-L-amino-6-oxoheptanedioate","consumption-controlled-by","P23721",NA,"25243376","null"
"N-Succinyl-2-L-amino-6-oxoheptanedioate","reacts-with","glu",NA,NA,"null"
"N-amino DAP","chemical-affects","P0A6K1",NA,"2689171;3031013;3042781","null"
"N-hydroxy DAP","chemical-affects","P0A6K1",NA,"2689171;3031013;3042781","null"
"NAD(P)H","used-to-produce","beta;-NAD(P)+",NA,NA,"null"
"NAD(P)H","used-to-produce","(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",NA,NA,"null"
"NAD(P)H","used-to-produce","H2O",NA,NA,"null"
"NAD(P)H","consumption-controlled-by","P04036",NA,"18710263;20503968;6094578;7893644;8873595","null"
"NAD(P)H","reacts-with","hydrogen ion",NA,NA,"null"
"NADP-ox","used-to-produce","4-phospho-L-aspartate",NA,NA,"null"
"NADP-ox","used-to-produce","NADPH",NA,NA,"null"
"NADP-ox","chemical-affects","P04036",NA,"18710263;20503968;6094578;7893644;8873595","null"
"NADP-ox","reacts-with","PO43-",NA,NA,"null"
"NADP-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"NADPH","used-to-produce","L-aspartate-4-semialdehyde",NA,NA,"null"
"NADPH","used-to-produce","NADP-ox",NA,NA,"null"
"NADPH","consumption-controlled-by","P0A9Q9",NA,"14726201","null"
"NADPH","used-to-produce","PO43-",NA,NA,"null"
"NADPH","reacts-with","hydrogen ion",NA,NA,"null"
"NH4+","chemical-affects","P0A9Q9",NA,"14726201","null"
"OH-pyruvate","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"P00561","controls-production-of","4-phospho-L-aspartate",NA,"11368768","null"
"P00561","neighbor-of","P00562",NA,NA,"null"
"P00561","neighbor-of","P08660",NA,NA,"null"
"P00561","catalysis-precedes","P0A9Q9",NA,"11368768;14726201","null"
"P00561","controls-production-of","adenosine-5-diphosphate",NA,"11368768","null"
"P00562","controls-production-of","4-phospho-L-aspartate",NA,"4889171","null"
"P00562","neighbor-of","P08660",NA,NA,"null"
"P00562","catalysis-precedes","P0A9Q9",NA,"14726201;4889171","null"
"P00562","controls-production-of","adenosine-5-diphosphate",NA,"4889171","null"
"P00861","controls-production-of","carbon dioxide",NA,"10625645;11856852;14343156;25986217;26921318","null"
"P00861","controls-production-of","lys",NA,"10625645;11856852;14343156;25986217;26921318","null"
"P04036","controls-production-of","beta;-NAD(P)+",NA,"18710263;20503968;6094578;7893644;8873595","null"
"P04036","controls-production-of","(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",NA,"18710263;20503968;6094578;7893644;8873595","null"
"P04036","controls-production-of","H2O",NA,"18710263;20503968;6094578;7893644;8873595","null"
"P04036","catalysis-precedes","P0A9D8",NA,"18710263;20503968;6094578;6365916;7893644;8873595","null"
"P04036","catalysis-precedes","P0AED7",NA,"18710263;20503968;3276674;6094578;7893644;8873595","null"
"P08660","controls-production-of","4-phospho-L-aspartate",NA,"11368768;14623187;6249791","null"
"P08660","catalysis-precedes","P0A9Q9",NA,"11368768;14623187;14726201;6249791","null"
"P08660","controls-production-of","adenosine-5-diphosphate",NA,"11368768;14623187;6249791","null"
"P0A6K1","catalysis-precedes","P00861",NA,"10625645;11856852;14343156;25986217;2689171;26921318;3031013","null"
"P0A6K1","controls-production-of","meso-2,6-diaminoheptanedioate",NA,"2689171;3031013","null"
"P0A6L2","controls-production-of","(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"P0A6L2","controls-production-of","H2O",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"P0A6L2","catalysis-precedes","P00861",NA,"10625645;11856852;14343156;14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;25986217;26921318;3514578;7832769;8993314;9048556","null"
"P0A6L2","catalysis-precedes","P04036",NA,"14580236;1463470;15066435;15194235;15686899;18710263;18787203;20025926;20503968;22386717;3514578;6094578;7832769;7893644;8873595;8993314;9048556","null"
"P0A6L2","catalysis-precedes","P0A9D8",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;6365916;7832769;8993314;9048556","null"
"P0A6L2","catalysis-precedes","P0A9Q9",NA,"14580236;1463470;14726201;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"P0A6L2","catalysis-precedes","P0AED7",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3276674;3514578;7832769;8993314;9048556","null"
"P0A6L2","controls-production-of","hydrogen ion",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
