"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-D-glucosamine 6-phosphate","used-to-produce","F6P",NA,NA,"null"
"alpha;-D-glucosamine 6-phosphate","reacts-with","H2O",NA,NA,"null"
"alpha;-D-glucosamine 6-phosphate","used-to-produce","NH4+",NA,NA,"null"
"alpha;-D-glucosamine 6-phosphate","consumption-controlled-by","P0A759",NA,"10926504;11513596;11594728;12051945;14678787;15667206;16168949;16285712;1734962;27002132;28634232;29229699;322702;4861885;7742311;8240271;9601045","null"
"alpha;-D-glucosamine 6-phosphate","consumption-controlled-by","P0A761",NA,"29229699","null"
"alpha;-D-glucosamine 6-phosphate","consumption-controlled-by","P0A9Z1",NA,"29229699","null"
"alpha;-D-glucosamine 6-phosphate","consumption-controlled-by","P0AA04",NA,"28634232","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P0A6L4",NA,"1458058;1646603;20826162;3522555;3902799;6389524;9047371","null"
"2-amino-2-deoxy-6-O-phosphono-D-glucitol","chemical-affects","P0A759",NA,"10926504;11513596;11594728;12051945;14678787;15667206;16168949;16285712;1734962;27002132;28634232;29229699;322702;4861885;7742311;8240271;9601045","null"
"5-acetamido-3,5-dideoxy-beta;-D-manno-non-2,4-diulosonic acid","chemical-affects","P0A6L4",NA,"1458058;1646603;20826162;2896604;3522555;3902799;6389524;9047371","null"
"N-acetyl-D-glucosamine 6-phosphate","used-to-produce","N-acetylmannosamine-6-P",NA,NA,"null"
"N-acetyl-D-glucosamine 6-phosphate","used-to-produce","D-glucosamine 6-phosphate",NA,NA,"null"
"N-acetyl-D-glucosamine 6-phosphate","reacts-with","H2O",NA,NA,"null"
"N-acetyl-D-glucosamine 6-phosphate","chemical-affects","P0A759",NA,"10926504;11513596;11594728;12051945;14678787;15667206;16168949;16285712;1734962;27002132;28634232;29229699;322702;4861885;7742311;8240271;9601045","null"
"N-acetyl-D-glucosamine 6-phosphate","consumption-controlled-by","P0AF18",NA,"16568996;16630633;17567047;4861885;9143339","null"
"N-acetyl-D-glucosamine 6-phosphate","used-to-produce","acetate",NA,NA,"null"
"N-acetyl-D-mannosamine","used-to-produce","N-acetylmannosamine-6-P",NA,NA,"null"
"N-acetyl-D-mannosamine","reacts-with","BTS",NA,NA,"null"
