"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"beta;-D-fructose 1,6-bisphosphate","used-to-produce","(2R)-2-hydroxy-3-(phosphooxy)-propanal",NA,NA,"null"
"beta;-D-fructose 1,6-bisphosphate","used-to-produce","DHAP",NA,NA,"null"
"beta;-D-fructose 1,6-bisphosphate","used-to-produce","F6P",NA,NA,"null"
"beta;-D-fructose 1,6-bisphosphate","reacts-with","H2O",NA,NA,"null"
"beta;-D-fructose 1,6-bisphosphate","consumption-controlled-by","P00634",NA,NA,"null"
"beta;-D-fructose 1,6-bisphosphate","consumption-controlled-by","P0A993",NA,"11825604;4302393;6312898;6324777","null"
"beta;-D-fructose 1,6-bisphosphate","consumption-controlled-by","P0A9C9",NA,"10986273;19073594","null"
"beta;-D-fructose 1,6-bisphosphate","consumption-controlled-by","P21437",NA,"19073594","null"
"beta;-D-fructose 1,6-bisphosphate","consumption-controlled-by","P21829",NA,"16889420;16990279","null"
"beta;-D-fructose 1,6-bisphosphate","used-to-produce","PO43-",NA,NA,"null"
"beta;-D-fructose 2,6-bisphosphate","chemical-affects","P0A993",NA,"11825604;4302393;6312898;6324777","null"
"beta;-D-glucose 6-phosphate","chemical-affects","P0A993",NA,"11825604;17567577;4302393;6312898;6324777","null"
"beta;-D-glucose 6-phosphate","chemical-affects","P76558",NA,"11092847;17557829;22068497;4385340;4388614;7016178","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","beta;-D-fructose 1,6-bisphosphate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","13-DPG",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","DHAP",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","DHAP",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","DPN-ox",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","consumption-controlled-by","P0A991",NA,"9531482","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","consumption-controlled-by","P0AB71",NA,"6996735;7872790;8436219;8771208","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","PO43-",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","hydrogen ion",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(S)-malic acid","used-to-produce","BTS",NA,NA,"null"
"(S)-malic acid","reacts-with","DPN-ox",NA,NA,"null"
"(S)-malic acid","reacts-with","NADP-ox",NA,NA,"null"
"(S)-malic acid","used-to-produce","NADPH",NA,NA,"null"
"(S)-malic acid","chemical-affects","P26616",NA,"17215140;224913;9212416","null"
"(S)-malic acid","consumption-controlled-by","P26616",NA,"17215140;224913;9212416","null"
"(S)-malic acid","consumption-controlled-by","P61889",NA,"2993232","null"
"(S)-malic acid","consumption-controlled-by","P76558",NA,"11092847;17557829;22068497;4385340;4388614;7016178","null"
"(S)-malic acid","used-to-produce","carbon dioxide",NA,NA,"null"
"(S)-malic acid","used-to-produce","hydrogen ion",NA,NA,"null"
"(S)-malic acid","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"(S)-malic acid","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"13-DPG","used-to-produce","(2R)-2-hydroxy-3-(phosphooxy)-propanal",NA,NA,"null"
"13-DPG","used-to-produce","D-glycerate-3-P",NA,NA,"null"
"13-DPG","used-to-produce","DPN-ox",NA,NA,"null"
"13-DPG","consumption-controlled-by","P0A9B2",NA,"10190977","null"
"13-DPG","used-to-produce","PO43-",NA,NA,"null"
"13-DPG","used-to-produce","adenosine-5'-triphosphate",NA,NA,"null"
"13-DPG","reacts-with","adenosine-5-diphosphate",NA,NA,"null"
"13-DPG","reacts-with","hydrogen ion",NA,NA,"null"
"13-DPG","reacts-with","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","chemical-affects","P0A991",NA,"9531482","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","chemical-affects","P0A993",NA,"11825604;17314096;4302393;6312898;6324777","null"
"2-oxopentanedionic acid","chemical-affects","P23538",NA,"2986676;4319237;4383554;4383555;4572511;4572512;4860971;5322808","null"
"3',5'-cyclic AMP","chemical-affects","P76558",NA,"11092847;17557829;22068497;4385340;4388614;4388615;7016178","null"
"6-p gluconate","chemical-affects","P0A6T1",NA,"1097391;17239859;17307338;368027;5328748;7004378","null"
"AsO43-","chemical-affects","P0A9B2",NA,"10190977;7751290","null"
"BTS","reacts-with","H2O",NA,NA,"null"
"BTS","consumption-controlled-by","P23538",NA,"2986676;4319237;4383554;4383555;4572511;4572512;4860971;5322808","null"
"BTS","used-to-produce","PO43-",NA,NA,"null"
"BTS","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"BTS","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"BTS","used-to-produce","hydrogen ion",NA,NA,"null"
"BTS","used-to-produce","phosphoenolpyruvate",NA,NA,"null"
"Ca++","chemical-affects","P22259",NA,"12837799;6986370","null"
"CoA","chemical-affects","P26616",NA,"17215140;224913;9212416","null"
"D-Glycerate 2-phosphate","used-to-produce","D-glycerate-3-P",NA,NA,"null"
"D-Glycerate 2-phosphate","used-to-produce","H2O",NA,NA,"null"
"D-Glycerate 2-phosphate","consumption-controlled-by","P37689",NA,"10437801;21187861;4932978","null"
"D-Glycerate 2-phosphate","used-to-produce","phosphoenolpyruvate",NA,NA,"null"
"D-glucopyranose 6-phosphate","used-to-produce","F6P",NA,NA,"null"
"D-glycerate-3-P","used-to-produce","13-DPG",NA,NA,"null"
"D-glycerate-3-P","used-to-produce","D-Glycerate 2-phosphate",NA,NA,"null"
"D-glycerate-3-P","consumption-controlled-by","P0A799",NA,"367367;4932978","null"
"D-glycerate-3-P","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"D-glycerate-3-P","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"DHAP","used-to-produce","beta;-D-fructose 1,6-bisphosphate",NA,NA,"null"
"DHAP","used-to-produce","(2R)-2-hydroxy-3-(phosphooxy)-propanal",NA,NA,"null"
"DHAP","consumption-controlled-by","P0A858",NA,"25068617;8309937","null"
"DHAP","consumption-controlled-by","P0A991",NA,"9531482","null"
"DHAP","consumption-controlled-by","P0AB71",NA,"6996735;7872790;8436219;8771208","null"
"DPN-ox","used-to-produce","13-DPG",NA,NA,"null"
"DPN-ox","used-to-produce","BTS",NA,NA,"null"
"DPN-ox","chemical-affects","P26616",NA,"17215140;224913;9212416","null"
"DPN-ox","consumption-controlled-by","P26616",NA,"17215140;224913;9212416","null"
"DPN-ox","consumption-controlled-by","P61889",NA,"2993232","null"
