"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Ni++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49786;ChemSpider:909;EcoCyc:NI+2;HMDB:HMDB02457;IAF1260:ni2;KEGG LIGAND:C19609;PubChem-compound:934",NA
"phosphoglycolate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58033;EcoCyc:CPD-67;HMDB:HMDB00816;IAF1260:2pglyc;KEGG LIGAND:C00988;MetaboLights:MTBLC58033;PubChem-compound:24916760",NA
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"P0A9C9","ProteinReference","GlpX","EcoCyc:EG11517-MONOMER;EcoliWiki:B3925;MODBASE:P0A9C9;NCBI Reference Sequences Database:NP_418360;Pride:P0A9C9;Protein Model Portal:P0A9C9;Protein Ontology:PRO_000022800;SWISS-MODEL:P0A9C9;UniProt:P0A9C9","InterPro:IPR004464;Panther:PTHR30447:SF1;Pfam:PF03320;Protein Data Bank:1NI9;Protein Data Bank:2R8T;Protein Data Bank:3BIG;Protein Data Bank:3BIH;Protein Data Bank:3D1R"
"potassium chloride","SmallMoleculeReference",NA,"ChEBI:CHEBI:32588;ChemSpider:4707;DrugBank:DB00761;EcoCyc:KCL;KEGG LIGAND:D02060;PubChem-compound:4873",NA
"D-glycerate-3-P","SmallMoleculeReference",NA,"CAS:820-11-1;ChEBI:CHEBI:58272;EcoCyc:G3P;HMDB:HMDB60180;IAF1260:3pg;KEGG LIGAND:C00197;MetaboLights:MTBLC58272;PubChem-compound:25245548;RefMet:3-Phosphoglyceric acid",NA
"D-Glycerate 2-phosphate","SmallMoleculeReference",NA,"CAS:2553-59-5;ChEBI:CHEBI:58289;EcoCyc:2-PG;HMDB:HMDB03391;IAF1260:2pg;KEGG LIGAND:C00631;MetaboLights:MTBLC58289;PubChem-compound:40467846;RefMet:2-Phosphoglyceric acid",NA
"(S)-malic acid","SmallMoleculeReference",NA,"CAS:6915-15-7;CAS:97-67-6;ChEBI:CHEBI:15589;ChemSpider:4573566;EcoCyc:MAL;HMDB:HMDB00156;IAF1260:mal__L;KEGG LIGAND:C00149;MetaboLights:MTBLC15589;PubChem-compound:5459792;RefMet:Malic acid",NA
"13-DPG","SmallMoleculeReference","13-DPG","CAS:1981-49-3;ChEBI:CHEBI:57604;ChemSpider:19698372;EcoCyc:DPG;HMDB:HMDB01270;IAF1260:13dpg;KEGG LIGAND:C00236;MetaboLights:MTBLC57604;PubChem-compound:46878409;RefMet:3-phospho-D-glyceroyl dihydrogen phosphate",NA
"P26616","ProteinReference","MaeA","EcoCyc:MALIC-NAD-MONOMER;EcoliWiki:b1479;MODBASE:P26616;NCBI Reference Sequences Database:NP_415996;Pride:P26616;Protein Model Portal:P26616;SWISS-MODEL:P26616;Swiss-Model:P26616;UniProt:P26616","InterPro:IPR001891;InterPro:IPR012301;InterPro:IPR012302;InterPro:IPR015884;InterPro:IPR016040;InterPro:IPR023667;Pfam:PF00390;Pfam:PF03949;Prints:PR00072;Prosite:PS00331;Smart:SM00919;Smart:SM01274"
"P0A858","ProteinReference","TpiA","Database of Interacting Proteins:DIP-31849N;EcoCyc:TPI-MONOMER;EcoliWiki:b3919;MODBASE:P0A858;Mint:MINT-1228759;NCBI Reference Sequences Database:NP_418354;Pride:P0A858;Protein Model Portal:P0A858;SWISS-MODEL:P0A858;UniProt:P0A858","InterPro:IPR000652;InterPro:IPR013785;InterPro:IPR020861;InterPro:IPR022896;Panther:PTHR21139;Pfam:PF00121;Prosite:PS00171;Prosite:PS51440;Protein Data Bank:1TMH;Protein Data Bank:1TRE"
"P22259","ProteinReference","Pck","EcoCyc:PEPCARBOXYKIN-MONOMER;EcoliWiki:b3403;MODBASE:P22259;NCBI Reference Sequences Database:NP_417862;Pride:P22259;Protein Model Portal:P22259;Protein Ontology:PRO_000023498;SWISS-MODEL:P22259;UniProt:P22259","InterPro:IPR001272;InterPro:IPR008210;InterPro:IPR013035;InterPro:IPR015994;Panther:PTHR30031;Pfam:PF01293;Prosite:PS00532;Protein Data Bank:1AQ2;Protein Data Bank:1AYL;Protein Data Bank:1K3C;Protein Data Bank:1K3D;Protein Data Bank:1OEN;Protein Data Bank:1OS1;Protein Data Bank:2OLQ;Protein Data Bank:2OLR;Protein Data Bank:2PXZ;Protein Data Bank:2PY7"
"H2SO4","SmallMoleculeReference",NA,"CAS:14808-79-8;ChEBI:CHEBI:16189;ChemSpider:1085;EcoCyc:SULFATE;HMDB:HMDB01448;IAF1260:so4;KEGG LIGAND:C00059;MetaboLights:MTBLC16189;PubChem-compound:1117",NA
"6-p gluconate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58759;EcoCyc:CPD-2961;HMDB:HMDB01316;IAF1260:6pgc;KEGG LIGAND:C00345;MetaboLights:MTBLC58759;PubChem-compound:36688186;RefMet:6-Phosphogluconic acid",NA
