"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"gamma;-ureidonorvaline","chemical-affects","P0A6C5",NA,"16890","null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","2-oxopentanedionic acid",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","N-acetylglutamyl-P",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","N-acetylornithine",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","reacts-with","NADP-ox",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","NADPH",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","consumption-controlled-by","P18335",NA,"10074354;25243376;6357954","null"
"N-acetyl-L-glutamate-5-semialdehyde","consumption-controlled-by","P22256",NA,"25243376","null"
"N-acetyl-L-glutamate-5-semialdehyde","consumption-controlled-by","P77581",NA,"25243376;9696779","null"
"N-acetyl-L-glutamate-5-semialdehyde","reacts-with","PO43-",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","reacts-with","glu",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","hydrogen ion",NA,NA,"null"
"N-acetylglutamyl-P","used-to-produce","N-acetyl-L-glutamate-5-semialdehyde",NA,NA,"null"
"N-acetylglutamyl-P","used-to-produce","NADP-ox",NA,NA,"null"
"N-acetylglutamyl-P","reacts-with","NADPH",NA,NA,"null"
"N-acetylglutamyl-P","consumption-controlled-by","P11446",NA,"13863980","null"
"N-acetylglutamyl-P","used-to-produce","PO43-",NA,NA,"null"
"N-acetylglutamyl-P","reacts-with","hydrogen ion",NA,NA,"null"
"N-acetylornithine","reacts-with","H2O",NA,NA,"null"
"N-acetylornithine","used-to-produce","L-ornithine",NA,NA,"null"
"N-acetylornithine","consumption-controlled-by","P23908",NA,"1551850","null"
"N-acetylornithine","used-to-produce","acetate",NA,NA,"null"
"Cadmium","chemical-affects","P0A6C5",NA,"16890","null"
"Cadmium","chemical-affects","P23908",NA,"10684608;1551850","null"
"Co++","chemical-affects","P23908",NA,"10684608;1551850","null"
"CoA","reacts-with","NAG",NA,NA,"null"
"CoA","used-to-produce","acetyl coenzyme-A",NA,NA,"null"
"CoA","used-to-produce","glu",NA,NA,"null"
"CoA","reacts-with","hydrogen ion",NA,NA,"null"
"Cu++","chemical-affects","P0A6C5",NA,"16890","null"
"Cu++","chemical-affects","P11446",NA,"13863980;4365537","null"
"Cu++","chemical-affects","P18335",NA,"10074354;25243376;6357954","null"
"Cu++","chemical-affects","P23908",NA,"1551850","null"
"Fe++","chemical-affects","P11446",NA,"13863980;4365537","null"
"Fe++","chemical-affects","P18335",NA,"10074354;25243376;6357954","null"
"H2O","used-to-produce","L-ornithine",NA,NA,"null"
"H2O","consumption-controlled-by","P23908",NA,"1551850","null"
"H2O","used-to-produce","acetate",NA,NA,"null"
"Hg++","chemical-affects","P0A6C5",NA,"16890","null"
"L-Norvaline, 5-(aminoiminomethoxy)-","chemical-affects","P0A6C5",NA,"1089665;16890","null"
"L-indospicine","chemical-affects","P0A6C5",NA,"1089665;16890","null"
"L-ornithine","chemical-affects","P23908",NA,"1551850","null"
