"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(S)-malic acid","reacts-with","DPN-ox",NA,NA,"null"
"(S)-malic acid","consumption-controlled-by","P61889",NA,"2993232","null"
"(S)-malic acid","used-to-produce","hydrogen ion",NA,NA,"null"
"(S)-malic acid","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"(S)-malic acid","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","used-to-produce","2-hydroxy-1,2,3-propanetricarboxylic acid",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","reacts-with","H2O",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","used-to-produce","I-CIT",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","used-to-produce","(Z)-prop-1-ene-1,2,3-tricarboxylate",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","used-to-produce","H2O",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"2-oxopentanedionic acid","chemical-affects","P0A9G6",NA,"15470117;3281659;3291954","null"
"2-oxopentanedionic acid","chemical-affects","P0ABH7",NA,"3276685;3333000;3889909","null"
"3-nitropropanoate","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"BTS","chemical-affects","P08997",NA,"18714089;2826399","null"
"BTS","chemical-affects","P37330",NA,"12930982;4591144;7925370",NA
"Ca++","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"D-glycerate-3-P","chemical-affects","P0A9G6",NA,"15470117;2673042","null"
"DPN-ox","chemical-affects","P0ABH7",NA,"3276685;3333000;3889909","null"
"DPN-ox","consumption-controlled-by","P61889",NA,"2993232","null"
"DPN-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"DPN-ox","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"H2O","used-to-produce","(S)-malic acid",NA,NA,"null"
"H2O","used-to-produce","2-hydroxy-1,2,3-propanetricarboxylic acid",NA,NA,"null"
"H2O","used-to-produce","CoA",NA,NA,"null"
"H2O","used-to-produce","I-CIT",NA,NA,"null"
"H2O","consumption-controlled-by","P08997",NA,"18714089;2826399","null"
"H2O","consumption-controlled-by","P0ABH7",NA,"3276685;3333000;3889909","null"
"H2O","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"H2O","consumption-controlled-by","P31660",NA,"8508809;9579066","null"
"H2O","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"H2O","consumption-controlled-by","P37330",NA,"12930982;4591144;7925370","null"
"H2O","reacts-with","acetyl coenzyme-A",NA,NA,"null"
"H2O","reacts-with","glyox",NA,NA,"null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"H2O","reacts-with","keto-oxaloacetate",NA,NA,"null"
"Hg++","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"I-CIT","used-to-produce","(Z)-prop-1-ene-1,2,3-tricarboxylate",NA,NA,"null"
"I-CIT","used-to-produce","H2O",NA,NA,"null"
"I-CIT","consumption-controlled-by","P0A9G6",NA,"15470117","null"
"I-CIT","used-to-produce","glyox",NA,NA,"null"
"I-CIT","used-to-produce","suc",NA,NA,"null"
"Methylmalonic acid","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"P08997","controls-production-of","(S)-malic acid",NA,"18714089;2826399","null"
"P08997","controls-production-of","CoA",NA,"18714089;2826399","null"
"P08997","neighbor-of","P37330",NA,NA,"null"
"P08997","catalysis-precedes","P61889",NA,"18714089;2826399;2993232","null"
"P08997","controls-production-of","hydrogen ion",NA,"18714089;2826399","null"
"P0A9G6","catalysis-precedes","P08997",NA,"15470117;18714089;2826399","null"
"P0A9G6","catalysis-precedes","P37330",NA,"12930982;15470117;4591144;7925370","null"
"P0A9G6","controls-production-of","glyox",NA,"15470117","null"
"P0A9G6","controls-production-of","suc",NA,"15470117","null"
"P0ABH7","controls-production-of","2-hydroxy-1,2,3-propanetricarboxylic acid",NA,"3276685;3333000;3889909","null"
"P0ABH7","controls-production-of","CoA",NA,"3276685;3333000;3889909","null"
"P0ABH7","catalysis-precedes","P25516",NA,"10585860;19116142;3276685;3333000;3889909;7588761","null"
"P0ABH7","neighbor-of","P31660",NA,NA,"null"
"P0ABH7","catalysis-precedes","P36683",NA,"10585860;19116142;3276685;3333000;3889909;8932712","null"
"P0ABH7","controls-production-of","hydrogen ion",NA,"3276685;3333000;3889909","null"
