"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"NADPH","SmallMoleculeReference",NA,"CAS:2646-71-1;ChEBI:CHEBI:57783;ChemSpider:10239199;EcoCyc:NADPH;HMDB:HMDB00221;IAF1260:nadph;KEGG LIGAND:C00005;MetaboLights:MTBLC57783;PubChem-compound:15983949;RefMet:NADPH",NA
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"P62617","ProteinReference","IspF","Database of Interacting Proteins:DIP-48029N;EcoCyc:EG11816-MONOMER;EcoliWiki:b2746;MODBASE:P62617;NCBI Reference Sequences Database:NP_417226;Pride:P62617;Protein Model Portal:P62617;Protein Ontology:PRO_000023038;SWISS-MODEL:P62617;UniProt:P62617","InterPro:IPR003526;InterPro:IPR020555;Pfam:PF02542;Prosite:PS01350;Protein Data Bank:1GX1;Protein Data Bank:1H47;Protein Data Bank:1H48;Protein Data Bank:1JY8;Protein Data Bank:1KNJ;Protein Data Bank:1KNK;Protein Data Bank:1U3L;Protein Data Bank:1U3P;Protein Data Bank:1U40;Protein Data Bank:1U43;Protein Data Bank:1YQN;Protein Data Bank:2AMT;Protein Data Bank:2GZL;Protein Data Bank:3ELC;Protein Data Bank:3EOR;Protein Data Bank:3ERN;Protein Data Bank:3ESJ;Protein Data Bank:3FBA"
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"monomethylacetylphosphonate","SmallMoleculeReference",NA,"EcoCyc:METHYL-ACETYLPHOSPHONATE;PubChem-compound:656481",NA
"IPP","SmallMoleculeReference","IPP","ChEBI:CHEBI:128769;ChemSpider:13115335;EcoCyc:DELTA3-ISOPENTENYL-PP;HMDB:HMDB01347;IAF1260:ipdp;KEGG LIGAND:C00129;MetaboLights:MTBLC128769;PubChem-compound:15983957;RefMet:Isopentenyl-diphosphate",NA
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
"cytidylate","SmallMoleculeReference",NA,"CAS:63-37-6;ChEBI:CHEBI:60377;ChemSpider:5414497;EcoCyc:CMP;HMDB:HMDB00095;IAF1260:cmp;KEGG LIGAND:C00055;MetaboLights:MTBLC60377;PubChem-compound:7058165;RefMet:CMP",NA
"Aminomux","SmallMoleculeReference",NA,"ChEBI:CHEBI:407576;EcoCyc:PAMIDRONATE;HMDB:HMDB14427;KEGG LIGAND:C07395;PubChem-compound:25202696",NA
"bromohydrin of isopentenyl pyrophosphate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1025;PubChem-compound:25202699",NA
"P62615","ProteinReference","IspE","Database of Interacting Proteins:DIP-48028N;EcoCyc:EG11294-MONOMER;EcoliWiki:b1208;MODBASE:P62615;NCBI Reference Sequences Database:NP_415726;Pride:P62615;Protein Model Portal:P62615;Protein Ontology:PRO_000023037;SWISS-MODEL:P62615;Swiss-Model:P62615;UniProt:P62615","InterPro:IPR004424;InterPro:IPR006204;InterPro:IPR013750;InterPro:IPR014721;InterPro:IPR020568;Panther:PTHR43527:SF2;Pfam:PF00288;Pfam:PF08544;Protein Data Bank:2WW4"
"4-diphosphocytidyl-2C-methyl-D-erythritol","SmallMoleculeReference",NA,"ChEBI:CHEBI:57823;EcoCyc:4-CYTIDINE-5-DIPHOSPHO-2-C;IAF1260:4c2me;KEGG LIGAND:C11435;PubChem-compound:24970669",NA
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","SmallMoleculeReference",NA,"CAS:591-57-1;ChEBI:CHEBI:59776;EcoCyc:GAP;HMDB:HMDB01112;IAF1260:g3p;KEGG LIGAND:C00118;PubChem-compound:24794350;RefMet:Glyceraldehyde-3-phosphate",NA
