"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","SmallMoleculeReference",NA,"CAS:591-57-1;ChEBI:CHEBI:59776;EcoCyc:GAP;HMDB:HMDB01112;IAF1260:g3p;KEGG LIGAND:C00118;PubChem-compound:24794350;RefMet:Glyceraldehyde-3-phosphate",NA
"D-ribulose-5-P","SmallMoleculeReference",NA,"CAS:4151-19-3;ChEBI:CHEBI:58121;ChemSpider:20015724;EcoCyc:RIBULOSE-5P;HMDB:HMDB00618;IAF1260:ru5p__D;KEGG LIGAND:C00199;MetaboLights:MTBLC58121;PubChem-compound:21144996;RefMet:Ribulose-5-phosphate",NA
"adenosine-monophosphate","SmallMoleculeReference",NA,"CAS:61-19-8;ChEBI:CHEBI:456215;ChemSpider:10239183;EcoCyc:AMP;HMDB:HMDB00045;IAF1260:amp;KEGG LIGAND:C00020;MetaboLights:MTBLC456215;NCI Open DB:20264;PubChem-compound:15938965;RefMet:AMP",NA
"F6P","SmallMoleculeReference","F6P","CAS:643-13-0;ChEBI:CHEBI:57634;ChemSpider:10239172;EcoCyc:FRUCTOSE-6P;IAF1260:f6p;PubChem-compound:21604863",NA
"aldehydo-D-arabinose 5-phosphate","SmallMoleculeReference",NA,"CAS:13137-52-5;ChEBI:CHEBI:57693;ChemSpider:19951162;EcoCyc:ARABINOSE-5P;HMDB:HMDB11734;IAF1260:ara5p;KEGG LIGAND:C01112;PubChem-compound:23615240",NA
"peroxide radical","SmallMoleculeReference",NA,"ChEBI:CHEBI:18421;EcoCyc:SUPER-OXIDE;HMDB:HMDB02168;IAF1260:o2s;KEGG LIGAND:C00704;MetaboLights:MTBLC18421;PubChem-compound:5359597",NA
"L-2,3-Dihydroxypropanal","SmallMoleculeReference",NA,"ChEBI:CHEBI:27975;ChemSpider:388787;EcoCyc:L-GLYCERALDEHYDE;KEGG LIGAND:C02426;MetaboLights:MTBLC27975;PubChem-compound:439723",NA
"sedoheptulose-7-P","SmallMoleculeReference",NA,"CAS:2646-35-7;ChEBI:CHEBI:57483;EcoCyc:D-SEDOHEPTULOSE-7-P;HMDB:HMDB01068;IAF1260:34485;IAF1260:s7p;KEGG LIGAND:C05382;MetaboLights:MTBLC57483;PubChem-compound:46878379;RefMet:Sedoheptulose 7-phosphate",NA
"tris hydrochloride","SmallMoleculeReference",NA,"ChEBI:CHEBI:46097;ChemSpider:3005513;DrugBank:DB03754;EcoCyc:TRIS;KEGG LIGAND:C07182;PubChem-compound:3777159",NA
"P0A7Z0","ProteinReference","RpiA","Database of Interacting Proteins:DIP-10739N;EcoCyc:RIB5PISOMA-MONOMER;EcoliWiki:b2914;MODBASE:P0A7Z0;NCBI Reference Sequences Database:NP_417389;Pride:P0A7Z0;Protein Model Portal:P0A7Z0;Protein Ontology:PRO_000023806;SWISS-MODEL:P0A7Z0;UniProt:P0A7Z0","InterPro:IPR004788;InterPro:IPR020672;Panther:PTHR11934;Pfam:PF06026;Protein Data Bank:1KS2;Protein Data Bank:1LKZ;Protein Data Bank:1O8B"
"P0AG07","ProteinReference","Rpe","Database of Interacting Proteins:DIP-47869N;EcoCyc:RIBULP3EPIM-MONOMER;EcoliWiki:b3386;MODBASE:P0AG07;Mint:MINT-1228320;NCBI Reference Sequences Database:NP_417845;Pride:P0AG07;Protein Model Portal:P0AG07;SWISS-MODEL:P0AG07;Swiss-Model:P0AG07;UniProt:P0AG07","InterPro:IPR000056;InterPro:IPR011060;InterPro:IPR013785;InterPro:IPR026019;Panther:PTHR11749;Pfam:PF00834;Prosite:PS01085;Prosite:PS01086"
