"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"1,2-dihexadecanoyl-sn-glycero 3-phosphate","chemical-affects","P0A6H8",NA,"1663113;19341704;353047;7918616","null"
"1,2-ditetradecanoyl-sn-glycerol 3-phosphate","chemical-affects","P0A6H8",NA,"1663113;19341704;353047;7918616","null"
"1,3-propanediol-P","chemical-affects","P0A7A7",NA,"6383480;7026564","null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","used-to-produce","1-phosphatidylglycerol",NA,NA,"null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","reacts-with","H2O",NA,NA,"null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","consumption-controlled-by","P0A924",NA,"6296050","null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","consumption-controlled-by","P0AD42",NA,"21148555","null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","consumption-controlled-by","P18200",NA,"21148555;6296050","null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","used-to-produce","PO43-",NA,NA,"null"
"1-phosphatidylglycerol","used-to-produce","2-aminoethanol",NA,NA,"null"
"1-phosphatidylglycerol","consumption-controlled-by","P0A6H8",NA,"1663113;19341704;353047;7918616","null"
"1-phosphatidylglycerol","consumption-controlled-by","P0AA84",NA,"10634942;22988102;27760827","null"
"1-phosphatidylglycerol","consumption-controlled-by","P75919",NA,"22988102","null"
"1-phosphatidylglycerol","reacts-with","a phosphatidylethenolamine",NA,NA,"null"
"1-phosphatidylglycerol","used-to-produce","bisphosphatidylglycerol",NA,NA,"null"
"1-phosphatidylglycerol","used-to-produce","glycerin",NA,NA,"null"
"1-stearoyl-2-stearoyl-sn-glycerol 3-phosphate","chemical-affects","P0A6H8",NA,"1663113;19341704;353047;7918616","null"
"3,4,-dihydroxybutylphosphonate","chemical-affects","P0A7A7",NA,"6383480;7026564","null"
"Ca++","chemical-affects","P0ABF8",NA,"793612","null"
"CoA","chemical-affects","P0A7A7",NA,"7026564","null"
"DHAP","used-to-produce","beta;-NAD(P)+",NA,NA,"null"
"DHAP","used-to-produce","L-alpha;-glycerophosphate",NA,NA,"null"
"DHAP","reacts-with","NAD(P)H",NA,NA,"null"
"DHAP","consumption-controlled-by","P0A6S7",NA,"28326;355254;368067;4914567;6767719;6985897","null"
"DHAP","chemical-affects","P0A7A7",NA,"6383480;7026564","null"
"DHAP","reacts-with","hydrogen ion",NA,NA,"null"
"DL-glyceraldehyde 3-phosphate","chemical-affects","P0A7A7",NA,"6383480;7026564","null"
"H2O","used-to-produce","1-phosphatidylglycerol",NA,NA,"null"
"H2O","consumption-controlled-by","P0A924",NA,"6296050","null"
"H2O","consumption-controlled-by","P0AD42",NA,"21148555","null"
"H2O","consumption-controlled-by","P18200",NA,"21148555;6296050","null"
"H2O","used-to-produce","PO43-",NA,NA,"null"
"Hg++","chemical-affects","P0AD42",NA,"1309518;21148555","null"
"L-alpha;-glycerophosphate","used-to-produce","1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate",NA,NA,"null"
"L-alpha;-glycerophosphate","used-to-produce","CoA",NA,NA,"null"
"L-alpha;-glycerophosphate","consumption-controlled-by","P0A6A8",NA,"7026564","null"
"L-alpha;-glycerophosphate","chemical-affects","P0A6S7",NA,"28326;355254;368067;4914567;6767719;6985897","null"
"L-alpha;-glycerophosphate","consumption-controlled-by","P0A7A7",NA,"7026564","null"
"L-alpha;-glycerophosphate","chemical-affects","P0ABF8",NA,NA,"null"
"L-alpha;-glycerophosphate","consumption-controlled-by","P0ABF8",NA,NA,"null"
"L-alpha;-glycerophosphate","used-to-produce","a 1-acyl-sn-glycerol 3-phosphate",NA,NA,"null"
