"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"2,3-dihydroxy-trans-cinnamate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58642;ChemSpider:20118162;EcoCyc:CPD-10796;IAF1260:dhcinnm;PubChem-compound:54724355",NA
"3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate","SmallMoleculeReference",NA,"ChEBI:CHEBI:62057;EcoCyc:CPD-13034;IAF1260:cenchddd;PubChem-compound:46878522",NA
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"fumaric acid","SmallMoleculeReference",NA,"CAS:110-17-8;ChEBI:CHEBI:29806;ChemSpider:4573886;DrugBank:DB01677;EcoCyc:FUM;HMDB:HMDB00134;IAF1260:fum;KEGG LIGAND:C00122;KNApSAcK:C00001183;MetaboLights:MTBLC29806;PubChem-compound:5460307;RefMet:Fumaric acid",NA
"P0ABR5","ProteinReference","HcaE","EcoCyc:PHENYLPRODIOXY-MONOMER;EcoliWiki:b2538;MODBASE:P0ABR5;NCBI Reference Sequences Database:NP_417033;Pride:P0ABR5;Protein Model Portal:P0ABR5;Protein Ontology:PRO_000022861;SWISS-MODEL:P0ABR5;UniProt:P0ABR5","InterPro:IPR001663;InterPro:IPR015879;InterPro:IPR015881;InterPro:IPR017941;InterPro:IPR020875;Pfam:PF00355;Pfam:PF00848;Prints:PR00090;Prosite:PS00570;Prosite:PS51296"
"P0CI31","ProteinReference","HcaB","Database of Interacting Proteins:DIP-9863N;EcoCyc:PHENPRODIOLDEHYDROG-MONOMER;EcoliWiki:b2541;MODBASE:P77646;Mint:MINT-1239788;NCBI Reference Sequences Database:NP_417036;Pride:P0CI31;Protein Model Portal:P0CI31;Protein Ontology:PRO_000022858;SWISS-MODEL:P0CI31;Swiss-Model:P77646;UniProt:P0CI31","InterPro:IPR002347;InterPro:IPR016040;InterPro:IPR020904;InterPro:IPR023643;Panther:PTHR24322;Pfam:PF00106;Prints:PR00080;Prints:PR00081;Prosite:PS00061"
"P77044","ProteinReference","MhpC","Database of Interacting Proteins:DIP-10207N;EcoCyc:MHPCHYDROL-MONOMER;EcoliWiki:b0349;MODBASE:P77044;NCBI Reference Sequences Database:NP_414883;Pride:P77044;Protein Model Portal:P77044;Protein Ontology:PRO_000023230;SWISS-MODEL:P77044;UniProt:P77044","InterPro:IPR000073;InterPro:IPR000639;InterPro:IPR023791;InterPro:IPR029058;Pfam:PF12697;Prints:PR00111;Prints:PR00412;Protein Data Bank:1U2E"
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"P77650","ProteinReference","HcaD","EcoCyc:HCAD-MONOMER;EcoliWiki:b2542;MODBASE:P77650;NCBI Reference Sequences Database:NP_417037;Pride:P77650;Protein Model Portal:P77650;Protein Ontology:PRO_000022860;SWISS-MODEL:P77650;UniProt:P77650","InterPro:IPR016156;InterPro:IPR023744;InterPro:IPR023753;InterPro:IPR028202;Pfam:PF07992;Pfam:PF14759;Prints:PR00368"
"2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate","SmallMoleculeReference",NA,"ChEBI:CHEBI:61450;EcoCyc:CPD0-2184;IAF1260:hkntd;KEGG LIGAND:C12624;PubChem-compound:54743932",NA
