"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate","used-to-produce","5-amino-6-(5'-phosphoribosylamino)uracil",NA,NA,"null"
"2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate","reacts-with","H2O",NA,NA,"null"
"2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate","used-to-produce","NH4+",NA,NA,"null"
"2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate","consumption-controlled-by","P25539",NA,"18500821;9068650","null"
"2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate","reacts-with","hydrogen ion",NA,NA,"null"
"5-amino-6-(5'-phosphoribitylamino)uracil","used-to-produce","ARP",NA,NA,"null"
"5-amino-6-(5'-phosphoribitylamino)uracil","reacts-with","H2O",NA,NA,"null"
"5-amino-6-(5'-phosphoribitylamino)uracil","consumption-controlled-by","P0ADP0",NA,"24123841","null"
"5-amino-6-(5'-phosphoribitylamino)uracil","consumption-controlled-by","P75809",NA,"24123841","null"
"5-amino-6-(5'-phosphoribitylamino)uracil","used-to-produce","PO43-",NA,NA,"null"
"5-amino-6-(5'-phosphoribosylamino)uracil","used-to-produce","5-amino-6-(5'-phosphoribitylamino)uracil",NA,NA,"null"
"5-amino-6-(5'-phosphoribosylamino)uracil","used-to-produce","NADP-ox",NA,NA,"null"
"5-amino-6-(5'-phosphoribosylamino)uracil","reacts-with","NADPH",NA,NA,"null"
"5-amino-6-(5'-phosphoribosylamino)uracil","consumption-controlled-by","P25539",NA,"18500821;9068650","null"
"5-amino-6-(5'-phosphoribosylamino)uracil","reacts-with","hydrogen ion",NA,NA,"null"
"6,7-dimethyl-8-(1-D-ribityl)lumazine","used-to-produce","ARP",NA,NA,"null"
"6,7-dimethyl-8-(1-D-ribityl)lumazine","consumption-controlled-by","P0AFU8",NA,"11278450;11404482;14504292;9022701","null"
"6,7-dimethyl-8-(1-D-ribityl)lumazine","reacts-with","hydrogen ion",NA,NA,"null"
"6,7-dimethyl-8-(1-D-ribityl)lumazine","used-to-produce","vitamin B2",NA,NA,"null"
"ARP","used-to-produce","6,7-dimethyl-8-(1-D-ribityl)lumazine",NA,NA,"null"
"ARP","used-to-produce","H2O",NA,NA,"null"
"ARP","consumption-controlled-by","P61714",NA,"8969176","null"
"ARP","used-to-produce","PO43-",NA,NA,"null"
"ARP","used-to-produce","hydrogen ion",NA,NA,"null"
"ARP","reacts-with","tetrolose phosphate",NA,NA,"null"
"D-ribulose-5-P","consumption-controlled-by","P0A7J0",NA,"1597419","null"
"D-ribulose-5-P","used-to-produce","formic acid",NA,NA,"null"
"D-ribulose-5-P","used-to-produce","hydrogen ion",NA,NA,"null"
"D-ribulose-5-P","used-to-produce","tetrolose phosphate",NA,NA,"null"
