"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"NADPH","SmallMoleculeReference",NA,"CAS:2646-71-1;ChEBI:CHEBI:57783;ChemSpider:10239199;EcoCyc:NADPH;HMDB:HMDB00221;IAF1260:nadph;KEGG LIGAND:C00005;MetaboLights:MTBLC57783;PubChem-compound:15983949;RefMet:NADPH",NA
"D-ribulose-5-P","SmallMoleculeReference",NA,"CAS:4151-19-3;ChEBI:CHEBI:58121;ChemSpider:20015724;EcoCyc:RIBULOSE-5P;HMDB:HMDB00618;IAF1260:ru5p__D;KEGG LIGAND:C00199;MetaboLights:MTBLC58121;PubChem-compound:21144996;RefMet:Ribulose-5-phosphate",NA
"guanosine-triphosphate","SmallMoleculeReference",NA,"CAS:86-01-1;ChEBI:CHEBI:37565;ChemSpider:5414499;EcoCyc:GTP;HMDB:HMDB01273;IAF1260:gtp;KEGG LIGAND:C00044;MetaboLights:MTBLC37565;PubChem-compound:7058167;RefMet:GTP",NA
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"P0A7I7","ProteinReference","RibA","Database of Interacting Proteins:DIP-36049N;EcoCyc:GTP-CYCLOHYDRO-II-MONOMER;EcoliWiki:b1277;NCBI Reference Sequences Database:NP_415793;Pride:P0A7I7;Protein Model Portal:P0A7I7;Protein Ontology:PRO_000023750;SWISS-MODEL:P0A7I7;UniProt:P0A7I7","InterPro:IPR000926;InterPro:IPR032677;Pfam:PF00925;Protein Data Bank:2BZ0;Protein Data Bank:2BZ1"
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"P0AG40","ProteinReference","RibF","Database of Interacting Proteins:DIP-35789N;EcoCyc:RIBF-MONOMER;EcoliWiki:b0025;MODBASE:P0AG40;Mint:MINT-1256514;NCBI Reference Sequences Database:NP_414566;Pride:P0AG40;Protein Model Portal:P0AG40;Protein Ontology:PRO_000023754;SWISS-MODEL:P0AG40;UniProt:P0AG40","InterPro:IPR002606;InterPro:IPR014729;InterPro:IPR015864;InterPro:IPR015865;InterPro:IPR023465;InterPro:IPR023468;Panther:PTHR22749;Pfam:PF01687;Pfam:PF06574;Smart:SM00904"
"xanthosine 5' triphosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:61314;EcoCyc:XTP;HMDB:HMDB00293;IAF1260:xtp;KEGG LIGAND:C00700;PubChem-compound:25245622",NA
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
