"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"uridine-triphosphate","SmallMoleculeReference",NA,"CAS:63-39-8;ChEBI:CHEBI:46398;ChemSpider:5414500;EcoCyc:UTP;HMDB:HMDB00285;IAF1260:utp;KEGG LIGAND:C00075;MetaboLights:MTBLC46398;PubChem-compound:7058168;RefMet:UTP",NA
"Nbeta;-fumaroyl-DAP","SmallMoleculeReference",NA,"ChEBI:CHEBI:84330;EcoCyc:CPD0-1237;PubChem-compound:46926285",NA
"N-acetyl-alpha;-D-glucosamine 1-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:57776;EcoCyc:N-ACETYL-D-GLUCOSAMINE-1-P;HMDB:HMDB01367;IAF1260:acgam1p;KEGG LIGAND:C04256;PubChem-compound:25243937",NA
"P0ACC7","ProteinReference","GlmU","Database of Interacting Proteins:DIP-31844N;EcoCyc:NAG1P-URIDYLTRANS-MONOMER;EcoliWiki:b3730;MODBASE:P0ACC7;Mint:MINT-1252604;NCBI Reference Sequences Database:NP_418186;Pride:P0ACC7;Protein Model Portal:P0ACC7;Protein Ontology:PRO_000022782;SWISS-MODEL:P0ACC7;UniProt:P0ACC7","InterPro:IPR001451;InterPro:IPR005882;InterPro:IPR011004;InterPro:IPR018357;InterPro:IPR025877;InterPro:IPR029044;Panther:PTHR22572:SF17;Pfam:PF00132;Pfam:PF12804;Prosite:PS00101;Protein Data Bank:1FWY;Protein Data Bank:1FXJ;Protein Data Bank:1HV9;Protein Data Bank:2OI5;Protein Data Bank:2OI6;Protein Data Bank:2OI7;Protein Data Bank:3TWD;Protein Data Bank:4AA7"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","SmallMoleculeReference",NA,"ChemSpider:5367523;EcoCyc:DITHIO-NITROBENZOATE;PubChem-compound:7000011",NA
"UDP-GlcNAc","SmallMoleculeReference",NA,"CAS:528-04-1;ChEBI:CHEBI:57705;ChemSpider:17600409;EcoCyc:UDP-N-ACETYL-D-GLUCOSAMINE;HMDB:HMDB00290;IAF1260:uacgam;KEGG LIGAND:C00043;MetaboLights:MTBLC57705;PubChem-compound:16667373;RefMet:UDP-N-acetylglucosamine",NA
"L-glutamate-5-semialdehyde","SmallMoleculeReference",NA,"ChEBI:CHEBI:58066;EcoCyc:L-GLUTAMATE_GAMMA-SEMIALDEHYDE;HMDB:HMDB02104;IAF1260:glu5sa;KEGG LIGAND:C01165;MetaboLights:MTBLC58066;PubChem-compound:49791979",NA
"dihydro-UDP-MurNAc","SmallMoleculeReference",NA,"EcoCyc:CPD0-1337;PubChem-compound:46926104",NA
"P0A6T1","ProteinReference","Pgi","Database of Interacting Proteins:DIP-35887N;EcoCyc:PGLUCISOM;EcoliWiki:b4025;MODBASE:P0A6T1;NCBI Reference Sequences Database:NP_418449;Pride:P0A6T1;Protein Model Portal:P0A6T1;Protein Ontology:PRO_000025181;SWISS-MODEL:P0A6T1;Swiss-Model:P0A6T1;UniProt:P0A6T1","InterPro:IPR001672;InterPro:IPR018189;InterPro:IPR023096;InterPro:IPR035476;InterPro:IPR035482;Panther:PTHR11469;Pfam:PF00342;Prints:PR00662;Prosite:PS00174;Prosite:PS00765;Prosite:PS51463;Protein Data Bank:3NBU"
