Entry,Gene names,Gene name
A0A0A6YVN8,,
A0A0G3HGF9,,sbcB
A0A0G3HHZ6,,puuA
A0A0G3HK66,,
A0A0G3HLV0,,puuD
A0A0G3HUT6,,gsiB
A0A0G3HVX2,,puuE
A0A0G3HZV6,,puuR
A0A0G3I6S6,,frlD
A0A0S1EZS3,,yfjV
A0A0T7C0U2,,ypjL
A0A1V1IFM5,,gsk-4
A0A1V1IFN1,,gsk-10
A0A1V1IFN2,,gsk-3
A0A1V1IGJ0,,gsk-1
A0A1V1IGM6,,gsk
A0A1V1IGN2,,gsk
A4UR75,,chbR
A4UR76,,chbR
A4UR77,,chbR
A4UR78,,chbR
A4UR79,,chbR
A4UR80,,chbR
A4UR81,,chbR
A4UR83,,chbR
A4UR84,,chbR
A4UR86,,chbR
A5A605,b4586,ykfM
A5A607,b4589,ylcI
A5A611,b4593,ymgI
A5A612,b4594,ymgJ
A5A613,b4595,yciY
A5A614,b4596 JW1277,yciZ
A5A615,b4598 JW1439.1,yncL
A5A616,b4599 JW1527.1,yneM
A5A617,b4601 JW1589,ydgU
A5A618,b4602 JW1649.1,ynhF
A5A619,b4604,yojO
A5A621,b4606 JW2454.1,ypfM
A5A624,b4613,dinQ
A5A625,b4615,yibV
A5A627,b4618 JW3649,tisB
A5A628,b4620,yjbT
A5A630,b4622,ytcA
A5PFJ8,,arcA2
A5PFJ9,,tnp10
A5PFK0,,arcA2
A8DYP9,b4637,uof
A8DYQ1,b4655 JW5769.1,ythA
B8LFD5,,
B8LFD6,,lacZ
B8LFD7,,
B8YM76,,
C0Z3X9,,sbcB
C0Z3Y0,,int
C1P5Z7,b4662 JW0068.1,sgrT
C1P5Z8,b4671 JW5035.1,ykgR
C1P5Z9,b4672 JW1278.1,ymiB
C1P600,b4674 JW1395.1,ynbG
C1P601,b4689 JW1545.1,rzoQ
C1P602,b4676 JW5292.1,yoaK
C1P603,b4675 JW5292.2,yoaJ
C1P604,b4677 JW1850.1,yobI
C1P605,b4663 JW1891.1,azuC
C1P606,b4678 JW5330.1,yoeI
C1P607,b4667 JW2058.1,ibsA
C1P608,b4668 JW2058.2,ibsB
C1P609,b4679 JW5358.1,yohP
C1P610,b4680 JW2375.1,ypdK
C1P611,b4687 JW2546.1,shoB
C1P612,b4682 JW2748.1,yqcG
C1P613,b4683 JW5455.1,yqeL
C1P614,b4684 JW5470.1,yqfG
C1P615,b4665 JW2879.1,ibsC
C1P616,b4664 JW3023.1,ibsD
C1P617,b4666 JW3023.2,ibsE
C1P618,b4685 JW5531.1,yrbN
C1P619,b4669 JW3740.1,ilvX
C1P620,b4686 JW3839.1,yshB
C1P621,b4670 JW5740.1,yjeV
C3UPD1,,smpB
C3UPD2,,
E2JKY7,b4702 JW4200.1,mgtL
F2X7N5,,NTR
G3MTW7,b4703 JW4072.1,pmrR
K0JFQ9,,int
K0JFS6,,wrbA
O32528,b2376 JW2373,ypdI
O32583,b4407 JW3955,thiS
O52982,b2636 JW5921,yfjS
P00350,b2029 JW2011,gnd
P00363,b4154 JW4115,frdA
P00370,b1761 JW1750,gdhA
P00393,b1109 JW1095,ndh
P00448,b3908 JW3879,sodA
P00452,b2234 JW2228,nrdA
P00490,b3417 JW5689,malP
P00509,b0928 JW0911,aspC
P00547,b0003 JW0002,thrB
P00550,b3599 JW3573,mtlA
P00561,b0002 JW0001,thrA
P00562,b3940 JW3911,metL
P00579,b3067 JW3039,rpoD
P00582,b3863 JW3835,polA
P00634,b0383 JW0374,phoA
P00722,b0344 JW0335,lacZ
P00803,b2568 JW2552,lepB
P00804,b0027 JW0025,lspA
P00805,b2957 JW2924,ansB
P00811,b4150 JW4111,ampC
P00816,b0340 JW0331,cynS
P00861,b2838 JW2806,lysA
P00864,b3956 JW3928,ppc
P00887,b1704 JW1694,aroH
P00888,b2601 JW2582,aroF
P00893,b0077 JW0076,ilvI
P00894,b0078 JW0077,ilvH
P00895,b1264 JW1256,trpE
P00903,b3360 JW3323,pabA
P00904,b1263 JW1255,trpGD
P00909,b1262 JW1254,trpC
P00914,b0708 JW0698,phrB
P00926,b2366 JW2363,dsdA
P00934,b0004 JW0003,thrC
P00935,b3939 JW3910,metB
P00936,b3806 JW3778,cyaA
P00944,b3565 JW3537,xylA
P00946,b1613 JW1605,manA
P00954,b3384 JW3347,trpS
P00956,b0026 JW0024,ileS
P00957,b2697 JW2667,alaS
P00959,b2114 JW2101,metG
P00960,b3560 JW3531,glyQ
P00961,b3559 JW3530,glyS
P00962,b0680 JW0666,glnS
P00963,b3744 JW3722,asnA
P00968,b0033 JW0031,carB
P02338,b1229 JW1219,tpr
P02358,b4200 JW4158,rpsF
P02359,b3341 JW3303,rpsG
P02413,b3301 JW3263,rplO
P02916,b4033 JW3993,malF
P02918,b3396 JW3359,mrcA
P02919,b0149 JW0145,mrcB
P02920,b0343 JW0334,lacY
P02921,b4120 JW4081,melB
P02924,b1901 JW1889,araF
P02925,b3751 JW3730,rbsB
P02929,b1252 JW5195,tonB
P02930,b3035 JW5503,tolC
P02931,b0929 JW0912,ompF
P02932,b0241 JW0231,phoE
P02942,b4355 JW4318,tsr
P02943,b4036 JW3996,lamB
P03004,b3702 JW3679,dnaA
P03007,b0215 JW0205,dnaQ
P03012,ECOK12F009,tnpR
P03014,b1158 JW1144,pinE
P03018,b3813 JW3786,uvrD
P03023,b0345 JW0336,lacI
P03024,b2837 JW2805,galR
P03030,b2839 JW2807,lysR
P03061,b3672 JW3647,ivbL
P03813,b2840 JW2808,ygeA
P03817,b3742 JW3720,mioC
P03819,b0047 JW0046,kefC
P03825,b3322 JW3284,gspB
P03835,b4278 JW5767,insG
P03841,b4037 JW3997,malM
P03856,ECOK12F045,repE
P03959,b0698 JW0686,kdpA
P03960,b0697 JW0685,kdpB
P03961,b0696 JW0684,kdpC
P04036,b0031 JW0029,dapB
P04079,b2507 JW2491,guaA
P04128,b4314 JW4277,fimA
P04152,b1184 JW1173,umuC
P04335,b0239 JW0229,frsA
P04391,b4254 JW4211,argI
P04395,b2068 JW2053,alkA
P04425,b2947 JW2914,gshB
P04693,b4054 JW4014,tyrB
P04737,ECOK12F074,traA
P04805,b2400 JW2395,gltX
P04816,b3458 JW3423,livK
P04825,b0932 JW0915,pepN
P04846,b3661 JW3635,nlpA
P04949,b1923 JW1908,fliC
P04951,b0918 JW0901,kdsB
P04968,b3772 JW3745,ilvA
P04982,b3748 JW5857,rbsD
P04983,b3749 JW3728,rbsA
P04993,b2819 JW2787,recD
P04994,b2509 JW2493,xseA
P04995,b2011 JW1993,sbcB
P05020,b1062 JW1049,pyrC
P05041,b1812 JW1801,pabB
P05042,b1611 JW1603,fumC
P05050,b2212 JW2200,alkB
P05052,b0564 JW0553,appY
P05055,b3164 JW5851,pnp
P05100,b3549 JW3518,tag
P05194,b1693 JW1683,aroD
P05458,b2821 JW2789,ptrA
P05459,b2320 JW2317,pdxB
P05523,b3635 JW3610,mutM
P05637,b0049 JW0048,apaH
P05704,b1421 JW1417,trg
P05706,b2704 JW2673,srlB
P05707,b2705 JW2674,srlD
P05719,b4348 JW4311,hsdS
P05791,b3771 JW5605,ilvD
P05793,b3774 JW3747,ilvC
P05804,b1617 JW1609,uidA
P05824,b2616 JW5416,recN
P05825,b0584 JW5086,fepA
P05827,b3773 JW3746,ilvY
P05847,b3061 JW3033,ttdA
P05852,b3064 JW3036,tsaD
P06129,b3966 JW3938,btuB
P06134,b2213 JW2201,ada
P06136,b0093 JW0091,ftsQ
P06149,b2133 JW2121,dld
P06282,b3918 JW3889,cdh
P06609,b1711 JW1701,btuC
P06610,b1710 JW1700,btuE
P06611,b1709 JW1699,btuD
P06612,b1274 JW1266,topA
P06615,ECOK12F044,resD
P06616,b2566 JW2550,era
P06626,ECOK12F072,traJ
P06627,ECOK12F073,traY
P06709,b3973 JW3941,birA
P06710,b0470 JW0459,dnaX
P06715,b3500 JW3467,gor
P06720,b4119 JW4080,melA
P06721,b3008 JW2975,metC
P06722,b2831 JW2799,mutH
P06846,b3075 JW3046,ebgR
P06864,b3076 JW5511,ebgA
P06959,b0115 JW0111,aceF
P06960,b0273 JW0266,argF
P06961,b3056 JW3028,cca
P06965,b1569 JW1561,dicC
P06966,b1570 JW1562,dicA
P06968,b3640 JW3615,dut
P06971,b0150 JW0146,fhuA
P06972,b0153 JW0149,fhuB
P06974,b1945 JW1929,fliM
P06983,b3805 JW5932,hemC
P06986,b2021 JW2003,hisC
P06987,b2022 JW2004,hisB
P06988,b2020 JW2002,hisD
P06989,b2026 JW2008,hisI
P06992,b0051 JW0050,rsmA
P06993,b3418 JW3381,malT
P06996,b2215 JW2203,ompC
P06999,b1723 JW5280,pfkB
P07000,b3825 JW5584,pldB
P07001,b1603 JW1595,pntA
P07003,b0871 JW0855,poxB
P07004,b0243 JW0233,proA
P07010,b1561 JW1553,rem
P07012,b2891 JW5847,prfB
P07013,b4201 JW4159,priB
P07014,b0724 JW0714,sdhB
P07017,b1886 JW1875,tar
P07018,b1885 JW1874,tap
P07021,b2605 JW2586,yfiB
P07023,b2600 JW2581,tyrA
P07024,b0480 JW0469,ushA
P07026,b1916 JW1901,sdiA
P07102,b0980 JW0963,appA
P07109,b2306 JW2303,hisP
P07117,b1015 JW1001,putP
P07118,b4258 JW4215,valS
P07330,b1883 JW1872,cheB
P07363,b1888 JW1877,cheA
P07364,b1884 JW1873,cheR
P07395,b1713 JW1703,pheT
P07464,b0342 JW0333,lacA
P07604,b1323 JW1316,tyrR
P07623,b4013 JW3973,metAS
P07639,b3389 JW3352,aroB
P07648,b2822 JW2790,recC
P07649,b2318 JW2315,truA
P07650,b4382 JW4345,deoA
P07654,b3726 JW3704,pstA
P07658,b4079 JW4040,fdhF
P07762,b3432 JW3395,glgB
P07813,b0642 JW0637,leuS
P07821,b0151 JW0147,fhuC
P07822,b0152 JW0148,fhuD
P07862,b0092 JW0090,ddlB
P07913,b3616 JW3591,tdh
P08142,b3671 JW3646,ilvB
P08178,b2499 JW2484,purM
P08179,b2500 JW2485,purN
P08189,b4318 JW4281,fimF
P08190,b4319 JW4282,fimG
P08191,b4320 JW4283,fimH
P08192,b2315 JW2312,folC
P08194,b2240 JW2234,glpT
P08200,b1136 JW1122,icd
P08201,b3365 JW3328,nirB
P08202,b0062 JW0061,araA
P08203,b0061 JW0060,araD
P08204,b0063 JW0062,araB
P08244,b1281 JW1273,pyrF
P08245,b1282 JW1274,yciH
P08312,b1714 JW5277,pheS
P08321,ECOK12F075,traL
P08322,ECOK12F076,traE
P08331,b4213 JW4171,cpdB
P08337,b0099 JW0097,mutT
P08339,b4223 JW4182,
P08365,b4224 JW5750,chpS
P08368,b4398 JW4361,creB
P08369,b4400 JW4363,creD
P08370,b2824 JW5450,ygdB
P08371,b2825 JW5451,ppdB
P08372,b2823 JW2791,ppdC
P08373,b3972 JW3940,murB
P08390,b2319 JW2316,usg
P08394,b2820 JW2788,recB
P08395,b1766 JW1755,sppA
P08400,b0400 JW0390,phoR
P08401,b4399 JW4362,creC
P08506,b0839 JW0823,dacC
P08550,b2313 JW2310,cvpA
P08555,b2365 JW2362,dsdX
P08622,b0015 JW0014,dnaJ
P08660,b4024 JW3984,lysC
