"short_name","full_name","type","participant_number","idinteraction","participant_gene","locus_tag","name","experimental_type","pmid"
"amiC :: amiR","AmiC  directly interacts with  AmiR","direct interaction",0,3678,6835,"PA3364","amiC","x-ray crystallography",10508151
"amiC :: amiR","AmiC  directly interacts with  AmiR","direct interaction",1,3678,6833,"PA3363","amiR","x-ray crystallography",10508151
"ftsZ :: PA3008","FtsZ  directly interacts with  PA3008","direct interaction",0,9048,8949,"PA4407","ftsZ","x-ray crystallography",12808143
"ftsZ :: PA3008","FtsZ  directly interacts with  PA3008","direct interaction",1,9048,6097,"PA3008","","x-ray crystallography",12808143
"qscR :: qscR","Physical interaction involving QscR and QscR","physical interaction",0,16993,3855,"PA1898","qscR","fluorescent resonance energy transfer",12657055
"qscR :: qscR","Physical interaction involving QscR and QscR","physical interaction",1,16993,3855,"PA1898","qscR","fluorescent resonance energy transfer",12657055
"popD :: pcrH","Physical interaction involving PopD and PcrH","physical interaction",0,16994,3465,"PA1709","popD","circular dichroism",14517235
"popD :: pcrH","Physical interaction involving PopD and PcrH","physical interaction",1,16994,3461,"PA1707","pcrH","circular dichroism",14517235
"popD :: pcrH","Physical interaction involving PopD and PcrH","physical interaction",0,16995,3465,"PA1709","popD","mass spectrometry studies of complexes",14517235
"popD :: pcrH","Physical interaction involving PopD and PcrH","physical interaction",1,16995,3461,"PA1707","pcrH","mass spectrometry studies of complexes",14517235
"popD :: pcrH","Physical interaction involving PopD and PcrH","physical interaction",0,16996,3465,"PA1709","popD","molecular sieving",14517235
"popD :: pcrH","Physical interaction involving PopD and PcrH","physical interaction",1,16996,3461,"PA1707","pcrH","molecular sieving",14517235
"mexF :: mexE","Physical interaction involving MexF and MexE","physical interaction",0,16997,5045,"PA2494","mexF","genetic interference",12410825
"mexF :: mexE","Physical interaction involving MexF and MexE","physical interaction",1,16997,5043,"PA2493","mexE","genetic interference",12410825
"mexF :: mexE","Physical interaction involving MexF and MexE","physical interaction",0,16998,5045,"PA2494","mexF","enzymatic study",12410825
"mexF :: mexE","Physical interaction involving MexF and MexE","physical interaction",1,16998,5043,"PA2493","mexE","enzymatic study",12410825
"qscR :: rhlR","Physical interaction involving QscR and RhlR","physical interaction",0,16999,3855,"PA1898","qscR","fluorescent resonance energy transfer",12657055
"qscR :: rhlR","Physical interaction involving QscR and RhlR","physical interaction",1,16999,7063,"PA3477","rhlR","fluorescent resonance energy transfer",12657055
"mexA :: mexB","Physical interaction involving MexA and MexB","physical interaction",0,17000,853,"PA0425","mexA","cross-linking study",15126457
"mexA :: mexB","Physical interaction involving MexA and MexB","physical interaction",1,17000,855,"PA0426","mexB","cross-linking study",15126457
"mexA :: mexB","Physical interaction involving MexA and MexB","physical interaction",0,17001,853,"PA0425","mexA","genetic interference",16189126
"mexA :: mexB","Physical interaction involving MexA and MexB","physical interaction",1,17001,855,"PA0426","mexB","genetic interference",16189126
"nrdA :: nrdB","Physical interaction involving NrdA and NrdB","physical interaction",0,17002,2355,"PA1156","nrdA","molecular sieving",16829681
"nrdA :: nrdB","Physical interaction involving NrdA and NrdB","physical interaction",1,17002,2353,"PA1155","nrdB","molecular sieving",16829681
"amiR :: amiC","Physical interaction involving AmiR and AmiC","physical interaction",0,17003,6833,"PA3363","amiR","molecular sieving",10893220
"amiR :: amiC","Physical interaction involving AmiR and AmiC","physical interaction",1,17003,6835,"PA3364","amiC","molecular sieving",10893220
"amiR :: amiC","Physical interaction involving AmiR and AmiC","physical interaction",0,17004,6833,"PA3363","amiR","molecular sieving",8253087
"amiR :: amiC","Physical interaction involving AmiR and AmiC","physical interaction",1,17004,6835,"PA3364","amiC","molecular sieving",8253087
"mucA :: algU","Physical interaction involving MucA and AlgU","physical interaction",0,17005,1547,"PA0763","mucA","two hybrid",10792719
"mucA :: algU","Physical interaction involving MucA and AlgU","physical interaction",1,17005,1545,"PA0762","algU","two hybrid",10792719
"mucA :: algU","Physical interaction involving MucA and AlgU","physical interaction",0,17006,1547,"PA0763","mucA","cosedimentation",8759865
"mucA :: algU","Physical interaction involving MucA and AlgU","physical interaction",1,17006,1545,"PA0762","algU","cosedimentation",8759865
"popD :: popB","Physical interaction involving PopD and PopB","physical interaction",0,17007,3465,"PA1709","popD","coimmunoprecipitation",15271936
"popD :: popB","Physical interaction involving PopD and PopB","physical interaction",1,17007,3463,"PA1708","popB","coimmunoprecipitation",15271936
"popD :: popB","Physical interaction involving PopD and PopB","physical interaction",0,17008,3465,"PA1709","popD","genetic interference",15271936
"popD :: popB","Physical interaction involving PopD and PopB","physical interaction",1,17008,3463,"PA1708","popB","genetic interference",15271936
"xcpY :: xcpZ","Physical interaction involving XcpY and XcpZ","physical interaction",0,17009,6281,"PA3096","xcpY","copurification",16168578
"xcpY :: xcpZ","Physical interaction involving XcpY and XcpZ","physical interaction",1,17009,6279,"PA3095","xcpZ","copurification",16168578
"xcpY :: xcpZ","Physical interaction involving XcpY and XcpZ","physical interaction",0,17010,6281,"PA3096","xcpY","genetic interference",9884230
"xcpY :: xcpZ","Physical interaction involving XcpY and XcpZ","physical interaction",1,17010,6279,"PA3095","xcpZ","genetic interference",9884230
"plcR :: plcH","Physical interaction involving PlcR and PlcH","physical interaction",0,17011,1713,"PA0843","plcR","affinity chromatography technology",12410824
"plcR :: plcH","Physical interaction involving PlcR and PlcH","physical interaction",1,17011,1715,"PA0844","plcH","affinity chromatography technology",12410824
