Protein1,Protein2,Confidence,Comment
PA4271,PA4272,1,In_reference_set
PA2585,PA3138,1,In_reference_set
PA4386,PA4385,1,In_reference_set
PA0035,PA0036,1,In_reference_set
PA4665,PA4664,1,In_reference_set
PA4052,PA4264,1,In_reference_set
PA5554,PA1815,1,In_reference_set
PA4510,PA0496,1,In_reference_set
PA1589,PA1588,1,In_reference_set
PA4568,PA2741,1,In_reference_set
PA3112,PA3639,1,In_reference_set
PA3121,PA3120,1,In_reference_set
PA4696,PA4695,1,In_reference_set
PA0967,PA0966,1,In_reference_set
PA2966,PA0968,1,In_reference_set
PA2585,PA4234,1,In_reference_set
PA3002,PA4234,1,In_reference_set
PA4432,PA4256,1,In_reference_set
PA1077,PA1452,1,In_reference_set
PA4745,PA4267,1,In_reference_set
PA1083,PA1084,1,In_reference_set
PA3138,PA4234,1,In_reference_set
PA1999,PA2000,1,In_reference_set
PA4256,PA4260,1,In_reference_set
PA1529,PA1125,1,In_reference_set
PA1801,PA4385,1,In_reference_set
PA1529,PA4670,1,In_reference_set
PA3806,PA4277,1,In_reference_set
PA2979,PA4760,1,In_reference_set
PA5164,PA4385,1,In_reference_set
PA5180,PA4385,1,In_reference_set
PA2620,PA4385,1,In_reference_set
PA3337,PA1801,1,In_reference_set
PA2071,PA4920,1,In_reference_set
PA2620,PA4264,1,In_reference_set
PA2965,PA2967,1,In_reference_set
PA3646,PA4264,1,In_reference_set
PA3646,PA3644,1,In_reference_set
PA4055,PA4053,1,In_reference_set
PA4238,PA4741,1,In_reference_set
PA0430,PA4385,1,In_reference_set
PA5567,PA4264,1,In_reference_set
PA4746,PA4268,1,In_reference_set
PA4733,PA4277,1,In_reference_set
PA3112,PA3114,1,In_reference_set
PA0001,PA4260,1,In_reference_set
PA5555,PA5553,1,In_reference_set
PA2585,PA1585,1,In_reference_set
PA4445,PA5366,1,In_reference_set
PA1803,PA4568,1,In_reference_set
PA0607,PA3635,1,In_reference_set
PA5011,PA5009,1,In_reference_set
PA4745,PA4246,1,In_reference_set
PA3743,PA2961,1,In_reference_set
PA5569,PA4563,1,In_reference_set
PA4260,PA4262,1,In_reference_set
PA5569,PA1804,1,In_reference_set
PA3618,PA4907,1,In_reference_set
PA4403,PA3656,1,In_reference_set
PA4245,PA4249,1,In_reference_set
PA0456,PA4937,1,In_reference_set
PA1802,PA4255,1,In_reference_set
PA4760,PA4403,1,In_reference_set
PA1080,PA1449,1,In_reference_set
PA5567,PA3656,1,In_reference_set
PA4249,PA5316,1,In_reference_set
PA1832,PA4937,1,In_reference_set
PA1125,PA4563,1,In_reference_set
PA4807,PA4262,1,In_reference_set
PA4473,PA4250,1,In_reference_set
PA0175,PA0177,1,In_reference_set
PA3563,PA3014,1,In_reference_set
PA3121,PA3118,1,In_reference_set
PA4270,PA4563,1,In_reference_set
PA4249,PA4273,1,In_reference_set
PA3645,PA4251,1,In_reference_set
PA5569,PA4237,1,In_reference_set
PA3742,PA4239,1,In_reference_set
PA1078,PA1086,1,In_reference_set
PA5195,PA4246,1,In_reference_set
PA0964,PA0963,1,In_reference_set
PA4967,PA4841,1,In_reference_set
PA2743,PA4433,1,In_reference_set
PA3980,PA5366,1,In_reference_set
PA3121,PA2623,1,In_reference_set
PA4753,PA3656,1,In_reference_set
PA1815,PA4563,1,In_reference_set
PA3645,PA4258,1,In_reference_set
PA2277,PA2278,1,In_reference_set
PA4238,PA4257,1,In_reference_set
PA4481,PA4277,1,In_reference_set
PA3981,PA4753,1,In_reference_set
PA4565,PA4007,1,In_reference_set
PA5569,PA3162,1,In_reference_set
PA2743,PA4264,1,In_reference_set
PA0374,PA2977,1,In_reference_set
PA0336,PA3297,1,In_reference_set
PA1452,PA1104,1,In_reference_set
PA4418,PA4700,1,In_reference_set
PA4237,PA4248,1,In_reference_set
PA3620,PA5443,1,In_reference_set
PA4237,PA4269,1,In_reference_set
PA3903,PA0004,1,In_reference_set
PA3011,PA1754,1,In_reference_set
PA5245,PA1847,1,In_reference_set
PA4246,PA4563,1,In_reference_set
PA0456,PA2620,1,In_reference_set
PA1534,PA0966,1,In_reference_set
PA2840,PA4251,1,In_reference_set
PA3171,PA5358,1,In_reference_set
PA3875,PA3007,1,In_reference_set
PA4418,PA4411,1,In_reference_set
PA3806,PA5015,1,In_reference_set
PA5322,PA3551,1,In_reference_set
PA2197,PA4761,1,In_reference_set
PA2620,PA4542,1,In_reference_set
PA2644,PA2643,1,In_reference_set
PA4243,PA4273,1,In_reference_set
PA2975,PA4403,1,In_reference_set
PA5154,PA2925,1,In_reference_set
