#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P06971	uniprotkb:P05820	intact:EBI-1116714|uniprotkb:P71280|uniprotkb:P75665	intact:EBI-6413473	psi-mi:fhua_ecoli(display_long)|uniprotkb:JW0146(locus name)|uniprotkb:fhuA(gene name)|psi-mi:fhuA(display_short)|uniprotkb:tonA(gene name synonym)|uniprotkb:b0150(locus name)|uniprotkb:Ferric hydroxamate uptake(gene name synonym)|uniprotkb:Ferric hydroxamate receptor(gene name synonym)|uniprotkb:Ferrichrome-iron receptor(gene name synonym)	psi-mi:ceam_ecolx(display_long)|uniprotkb:cma(gene name)|psi-mi:cma(display_short)	psi-mi:"MI:0405"(competition binding)	Helbig et al. (2011)	pubmed:21148729|imex:IM-18380	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413477|mpidb:MPIDB-INT-1522|imex:IM-18380-1	intact-miscore:0.40
uniprotkb:P0ABF1	uniprotkb:P21499	intact:EBI-6411533|uniprotkb:P13685|uniprotkb:Q8X910|uniprotkb:P78050	intact:EBI-548136|uniprotkb:P76800|uniprotkb:Q2M6C6	psi-mi:pcnb_ecoli(display_long)|uniprotkb:Plasmid copy number protein(gene name synonym)|uniprotkb:JW5808(locus name)|uniprotkb:b0143(locus name)|uniprotkb:pcnB(gene name)|psi-mi:pcnB(display_short)	psi-mi:rnr_ecoli(display_long)|uniprotkb:rnr(gene name)|psi-mi:rnr(display_short)|uniprotkb:vacB(gene name synonym)|uniprotkb:b4179(locus name)|uniprotkb:yjeC(gene name synonym)|uniprotkb:JW5741(locus name)|uniprotkb:Protein VacB(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Carabetta et al. (2010)	pubmed:20472786|imex:IM-18346	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6411561|mpidb:MPIDB-INT-1411|imex:IM-18346-4	intact-miscore:0.35
uniprotkb:P69776	uniprotkb:P02929	intact:EBI-909750|uniprotkb:P02937|uniprotkb:Q53272	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	psi-mi:lpp_ecoli(display_long)|uniprotkb:lpp(gene name)|psi-mi:lpp(display_short)|uniprotkb:mlpA(gene name synonym)|uniprotkb:mulI(gene name synonym)|uniprotkb:b1677(locus name)|uniprotkb:JW1667(locus name)	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:"MI:0030"(cross-linking study)	Vakharia-Rao et al. (2007)	pubmed:17483231|imex:IM-18502	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400007|mpidb:MPIDB-INT-2081|imex:IM-18502-2	intact-miscore:0.59
uniprotkb:P0ABU7	uniprotkb:P02929	intact:EBI-6399986|uniprotkb:Q2M9J2|uniprotkb:P18783	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	psi-mi:exbb_ecoli(display_long)|uniprotkb:JW2974(locus name)|uniprotkb:b3006(locus name)|uniprotkb:exbB(gene name)|psi-mi:exbB(display_short)	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:"MI:0030"(cross-linking study)	Vakharia-Rao et al. (2007)	pubmed:17483231|imex:IM-18502	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6399982|mpidb:MPIDB-INT-2082|imex:IM-18502-1	intact-miscore:0.59
uniprotkb:P02929	uniprotkb:P02929	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:"MI:0030"(cross-linking study)	Vakharia-Rao et al. (2007)	pubmed:17483231|imex:IM-18502	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400048|mpidb:MPIDB-INT-2083|imex:IM-18502-4	intact-miscore:0.40
uniprotkb:P02929	uniprotkb:P05825	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	intact:EBI-6400027|uniprotkb:P75722|uniprotkb:P76821|uniprotkb:P77093	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:fepa_ecoli(display_long)|uniprotkb:Enterobactin outer-membrane receptor(gene name synonym)|uniprotkb:fep(gene name synonym)|uniprotkb:feuB(gene name synonym)|uniprotkb:JW5086(locus name)|uniprotkb:b0584(locus name)|uniprotkb:fepA(gene name)|psi-mi:fepA(display_short)	psi-mi:"MI:0030"(cross-linking study)	Vakharia-Rao et al. (2007)	pubmed:17483231|imex:IM-18502	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400023|mpidb:MPIDB-INT-2080|imex:IM-18502-3	intact-miscore:0.59
uniprotkb:P23836	uniprotkb:P23836	intact:EBI-1121453	intact:EBI-1121453	psi-mi:phop_ecoli(display_long)|uniprotkb:phoP(gene name)|psi-mi:phoP(display_short)|uniprotkb:b1130(locus name)|uniprotkb:JW1116(locus name)	psi-mi:phop_ecoli(display_long)|uniprotkb:phoP(gene name)|psi-mi:phoP(display_short)|uniprotkb:b1130(locus name)|uniprotkb:JW1116(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Bachhawat et al. (2007)	pubmed:17545283|imex:IM-18133	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400247|mpidb:MPIDB-INT-1057|imex:IM-18133-2|wwpdb:2PKX	intact-miscore:0.74
uniprotkb:P23836	uniprotkb:P23836	intact:EBI-1121453	intact:EBI-1121453	psi-mi:phop_ecoli(display_long)|uniprotkb:phoP(gene name)|psi-mi:phoP(display_short)|uniprotkb:b1130(locus name)|uniprotkb:JW1116(locus name)	psi-mi:phop_ecoli(display_long)|uniprotkb:phoP(gene name)|psi-mi:phoP(display_short)|uniprotkb:b1130(locus name)|uniprotkb:JW1116(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bachhawat et al. (2007)	pubmed:17545283|imex:IM-18133	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400242|mpidb:MPIDB-INT-1056|imex:IM-18133-1	intact-miscore:0.74
uniprotkb:P69423	uniprotkb:P69423	intact:EBI-4411641|uniprotkb:P76766|uniprotkb:Q2M8E3|uniprotkb:P27857|uniprotkb:P27858|uniprotkb:P76765	intact:EBI-4411641|uniprotkb:P76766|uniprotkb:Q2M8E3|uniprotkb:P27857|uniprotkb:P27858|uniprotkb:P76765	psi-mi:tatc_ecoli(display_long)|uniprotkb:tatC(gene name)|psi-mi:tatC(display_short)|uniprotkb:mttB(gene name synonym)|uniprotkb:yigU(gene name synonym)|uniprotkb:yigV(gene name synonym)|uniprotkb:b3839(locus name)|uniprotkb:JW3815(locus name)	psi-mi:tatc_ecoli(display_long)|uniprotkb:tatC(gene name)|psi-mi:tatC(display_short)|uniprotkb:mttB(gene name synonym)|uniprotkb:yigU(gene name synonym)|uniprotkb:yigV(gene name synonym)|uniprotkb:b3839(locus name)|uniprotkb:JW3815(locus name)	psi-mi:"MI:0030"(cross-linking study)	Punginelli et al. (2007)	pubmed:17545291|imex:IM-18498	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400262|mpidb:MPIDB-INT-2076|imex:IM-18498-1	intact-miscore:0.40
uniprotkb:P0A6F5	uniprotkb:P06626	intact:EBI-543750|uniprotkb:P06139|uniprotkb:Q2M6G1	intact:EBI-6400473	psi-mi:ch60_ecoli(display_long)|uniprotkb:groL(gene name)|psi-mi:groL(display_short)|uniprotkb:groEL(gene name synonym)|uniprotkb:mopA(gene name synonym)|uniprotkb:b4143(locus name)|uniprotkb:JW4103(locus name)|uniprotkb:Protein Cpn60(gene name synonym)|uniprotkb:GroEL protein(gene name synonym)	psi-mi:traj1_ecoli(display_long)|uniprotkb:traJ(gene name)|psi-mi:traJ(display_short)|uniprotkb:ECOK12F072(locus name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Zahrl et al. (2007)	pubmed:17586648|imex:IM-18135	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400480|mpidb:MPIDB-INT-1055|imex:IM-18135-1	intact-miscore:0.40
uniprotkb:P0ADI4	uniprotkb:P0A8Y8	intact:EBI-547993|uniprotkb:Q2MBK6|uniprotkb:P15048	intact:EBI-1118982|uniprotkb:P15050|uniprotkb:Q2MBK4	psi-mi:entb_ecoli(display_long)|uniprotkb:entB(gene name)|psi-mi:entB(display_short)|uniprotkb:entG(gene name synonym)|uniprotkb:b0595(locus name)|uniprotkb:Enterochelin synthase B(gene name synonym)|uniprotkb:JW0587(locus name)|uniprotkb:Enterobactin biosynthesis bifunctional protein EntB(gene name synonym)	psi-mi:enth_ecoli(display_long)|uniprotkb:b0597(locus name)|uniprotkb:JW0589(locus name)|uniprotkb:p15(gene name synonym)|uniprotkb:entH(gene name)|psi-mi:entH(display_short)|uniprotkb:ybdB(gene name synonym)|uniprotkb:Enterobactin synthase component H(gene name synonym)	psi-mi:"MI:0096"(pull down)	Leduc et al. (2007)	pubmed:17675380|imex:IM-18140	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6468742|mpidb:MPIDB-INT-1065|imex:IM-18140-5	intact-miscore:0.51
