#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9I524	uniprotkb:Q9I524	-	-	uniprotkb:relA(gene_name)	uniprotkb:relA(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405030	-
uniprotkb:Q9HTM0	uniprotkb:Q9HTM0	-	-	uniprotkb:spoT(gene_name)	uniprotkb:spoT(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405042	-
uniprotkb:Q9HTM0	uniprotkb:O52658	-	-	uniprotkb:spoT(gene_name)	uniprotkb:acpP2(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405067	-
uniprotkb:O54439	uniprotkb:Q9HTM0	-	-	uniprotkb:acpP1(gene_name)	uniprotkb:spoT(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405094	-
uniprotkb:P15275	uniprotkb:P26480	-	-	uniprotkb:algQ(gene_name)	uniprotkb:rpoD(gene_name)	psi-mi:"MI:0018"(two hybrid)	Dove, SL. et al.(2001)	pubmed:11591686	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-2124638	-
uniprotkb:P15275	uniprotkb:P26480	-	-	uniprotkb:algQ(gene_name)	uniprotkb:rpoD(gene_name)	psi-mi:"MI:0018"(two hybrid)	Yuan, AH. et al.(2008)	pubmed:18826409	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6404550	-
uniprotkb:P26480	uniprotkb:P26480	-	-	uniprotkb:rpoD(gene_name)	uniprotkb:rpoD(gene_name)	psi-mi:"MI:0018"(two hybrid)	Yuan, AH. et al.(2008)	pubmed:18826409	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6404550	-
uniprotkb:P49988	uniprotkb:P49988	-	-	uniprotkb:rpoN(gene_name)	uniprotkb:rpoN(gene_name)	psi-mi:"MI:0018"(two hybrid)	Sabbatini, M. et al.(2013)	pubmed:23320542	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-8302975	-
uniprotkb:P38107	uniprotkb:P38108	-	-	uniprotkb:mucA(gene_name)	uniprotkb:mucB(gene_name)	psi-mi:"MI:0096"(pull down)	Wood, LF. et al.(2009)	pubmed:19226327	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6406986	-
uniprotkb:P38107	uniprotkb:P38108	-	-	uniprotkb:mucA(gene_name)	uniprotkb:mucB(gene_name)	psi-mi:"MI:0071"(molecular sieving)	Cezairliyan, BO. et al.(2009)	pubmed:19298369	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6407108	-
uniprotkb:P38107	uniprotkb:P38108	-	-	uniprotkb:mucA(gene_name)	uniprotkb:mucB(gene_name)	psi-mi:"MI:0053"(fluorescence polarization spectroscopy)	Cezairliyan, BO. et al.(2009)	pubmed:19298369	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6510461	-
uniprotkb:Q9I1Y9	uniprotkb:Q9I1Y9	-	-	uniprotkb:PA2126(gene_name)	uniprotkb:PA2126(gene_name)	psi-mi:"MI:0018"(two hybrid)	McManus, HR. et al.(2011)	pubmed:21926232	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6416606	-
uniprotkb:Q9I1Y8	uniprotkb:Q9I1Y9	-	-	uniprotkb:PA2127(gene_name)	uniprotkb:PA2126(gene_name)	psi-mi:"MI:0018"(two hybrid)	McManus, HR. et al.(2011)	pubmed:21926232	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6416641	-
uniprotkb:Q9I1Y8	uniprotkb:Q9I1Y9	-	-	uniprotkb:PA2127(gene_name)	uniprotkb:PA2126(gene_name)	psi-mi:"MI:0676"(tandem affinity purification)	McManus, HR. et al.(2011)	pubmed:21926232	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6416659	-
uniprotkb:P52003	uniprotkb:Q9HXS2	-	-	uniprotkb:mexR(gene_name)	uniprotkb:armR(gene_name)	psi-mi:"MI:0369"(lex-a dimerization assay)	Daigle, DM. et al.(2007)	pubmed:17545281	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6400208	-
uniprotkb:P52003	uniprotkb:Q9HXS2	-	-	uniprotkb:mexR(gene_name)	uniprotkb:armR(gene_name)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Daigle, DM. et al.(2007)	pubmed:17545281	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6455035	-
uniprotkb:Q9I3S1	uniprotkb:Q9HUF2	-	-	uniprotkb:bdlA(gene_name)	uniprotkb:PA5017(gene_name)	psi-mi:"MI:0096"(pull down)	Petrova, OE. et al.(2012)	pubmed:22923587	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6419774	-
uniprotkb:Q9I3S1	uniprotkb:Q9I580	-	-	uniprotkb:bdlA(gene_name)	uniprotkb:PA0861(gene_name)	psi-mi:"MI:0096"(pull down)	Petrova, OE. et al.(2012)	pubmed:22923587	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6419792	-
