#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q00514	uniprotkb:P02973	-	-	psi-mi:gspg_pseae|psi-mi:xcpT|uniprotkb:xcpT|uniprotkb:pddA|uniprotkb:PA3101|uniprotkb:General secretion pathway protein G|uniprotkb:PilD-dependent protein PddA|uniprotkb:Q00514|uniprotkb:GSPG_PSEAE|intact:EBI-6420384|icrogid:28136840|hgnc:xcpT|entrezgene/locuslink:878731|crogid:B9qwmsnIUQtuUcdnXJwSupTdI+s208964|irogid:28136840|rogid:B9qwmsnIUQtuUcdnXJwSupTdI+s208964	psi-mi:fmpa_pseai|psi-mi:pilA|uniprotkb:pilA|uniprotkb:Q53390|uniprotkb:fimA|uniprotkb:Pilin|uniprotkb:P02973|uniprotkb:FMPA_PSEAI|intact:EBI-6420390|icrogid:413822|crogid:3+V/I3nV0WkXK2g4225SB+2T0+g287|irogid:413822|rogid:3+V/I3nV0WkXK2g4225SB+2T0+g287	psi-mi:"MI:0030"(cross-linking study)	Lu, HM. et al.(1997)|Lu et al. (1997)|lu-1997a-1	pubmed:9282737|imex:IM-18304	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:287(Pseudomonas aeruginosa)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-6420461|mpidb:MPIDB-INT-883	intact-miscore:0.40|hpr:3|lpr:3|np:1
uniprotkb:Q51415	uniprotkb:Q51372	-	-	psi-mi:q51415_pseai|psi-mi:algY|uniprotkb:algY|uniprotkb:Q51415|uniprotkb:Q51415_PSEAI|uniprotkb:ALGY|intact:EBI-875651|icrogid:5066232|crogid:ypM1kindVhsl9CYCayipYpW7DpU287|irogid:5066232|rogid:ypM1kindVhsl9CYCayipYpW7DpU287	psi-mi:algx_pseae|psi-mi:algX|uniprotkb:algX|uniprotkb:Q9HY68|uniprotkb:Probable alginate O-acetyltransferase AlgX|uniprotkb:PA3546|uniprotkb:Q51372|uniprotkb:ALGX_PSEAE|uniprotkb:ALGX|intact:EBI-875641|icrogid:27764463|hgnc:algX|entrezgene/locuslink:878551|crogid:AQpKNJF1S2CFhEQgOgzDrADpqEE208964|irogid:27764463|rogid:AQpKNJF1S2CFhEQgOgzDrADpqEE208964	psi-mi:"MI:0004"(affinity chromatography technology)	Gutsche, J. et al.(2005)|Gutsche et al. (2006)|gutsche-2006-1	pubmed:16376476	taxid:287(Pseudomonas aeruginosa)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-875647	intact-miscore:0.40|hpr:1|lpr:1|np:1|mentha-score:0.21
uniprotkb:P52003	uniprotkb:Q8GQ91	-	-	psi-mi:mexr_pseae|psi-mi:mexR|uniprotkb:mexR|uniprotkb:Q5EEX5|uniprotkb:Q5EEX4|uniprotkb:Q5EEX3|uniprotkb:Q83UE4|uniprotkb:PA0424|uniprotkb:P52003|uniprotkb:MEXR_PSEAE|uniprotkb:MEXR|intact:EBI-6400193|icrogid:39419203|hgnc:mexR|entrezgene/locuslink:877857|crogid:XfeRC9YsBWW9TlTbQnfzWbTsHeA208964|irogid:39419203|rogid:XfeRC9YsBWW9TlTbQnfzWbTsHeA208964	psi-mi:q8gq91_pseai|psi-mi:armR|uniprotkb:armR|uniprotkb:CDG78_10290|uniprotkb:Q8GQ91|uniprotkb:Q8GQ91_PSEAI|uniprotkb:ARMR|intact:EBI-15730301|icrogid:253010365|hgnc:RMET_RS11955|entrezgene/locuslink:24152211|crogid:uLetBBkA2ar54id7TjFqty5/BIc1224|irogid:4384558|rogid:uLetBBkA2ar54id7TjFqty5/BIc287	psi-mi:"MI:0071"(molecular sieving)|psi-mi:"MI:0065"(isothermal titration calorimetry)|psi-mi:"MI:0077"(nuclear magnetic resonance)|psi-mi:"MI:0114"(x-ray crystallography)|psi-mi:"MI:0404"(comigration in non denaturing gel electrophoresis)	Wilke, MS. et al.(2008)|Wilke et al. (2008)|wilke-2008-1|wilke-2008-2|wilke-2008-3|wilke-2008-4|wilke-2008-5	pubmed:18812515|doi:10.1073/pnas.0805489105|imex:IM-9532	taxid:208964(Pseudomonas aeruginosa PAO1)|taxid:287(Pseudomonas aeruginosa)	taxid:287(Pseudomonas aeruginosa)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(dip)|psi-mi:"MI:0469"(intact)	intact:EBI-15730380|intact:EBI-15730399|intact:EBI-15730337|intact:EBI-15730359|dip:DIP-88233E|intact:EBI-15730318	intact-miscore:0.68|hpr:1|lpr:1|np:1|mentha-score:0.843
uniprotkb:Q9I524	uniprotkb:Q9I524	-	-	psi-mi:q9i524_pseae|psi-mi:relA|uniprotkb:relA|uniprotkb:PA0934|uniprotkb:Q9I524|uniprotkb:Q9I524_PSEAE|intact:EBI-6405025|icrogid:39075988|hgnc:relA|entrezgene/locuslink:881299|crogid:WzfQCtVmejAESlMwEus4hj5xdls208964|irogid:39075988|rogid:WzfQCtVmejAESlMwEus4hj5xdls208964	psi-mi:q9i524_pseae|psi-mi:relA|uniprotkb:relA|uniprotkb:PA0934|uniprotkb:Q9I524|uniprotkb:Q9I524_PSEAE|intact:EBI-6405025|icrogid:39075988|hgnc:relA|entrezgene/locuslink:881299|crogid:WzfQCtVmejAESlMwEus4hj5xdls208964|irogid:39075988|rogid:WzfQCtVmejAESlMwEus4hj5xdls208964	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)|Battesti et al. (2009)|battesti-2009-1	pubmed:18996989|imex:IM-18309	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-6405030|mpidb:MPIDB-INT-1919	intact-miscore:0.37|hpr:12|lpr:12|np:1
uniprotkb:Q9HTM0	uniprotkb:Q9HTM0	-	-	psi-mi:q9htm0_pseae|psi-mi:spoT|uniprotkb:spoT|uniprotkb:PA5338|uniprotkb:Q9HTM0|uniprotkb:Q9HTM0_PSEAE|intact:EBI-6405046|icrogid:52906034|hgnc:spoT|entrezgene/locuslink:877912|crogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964|irogid:52906034|rogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964	psi-mi:q9htm0_pseae|psi-mi:spoT|uniprotkb:spoT|uniprotkb:PA5338|uniprotkb:Q9HTM0|uniprotkb:Q9HTM0_PSEAE|intact:EBI-6405046|icrogid:52906034|hgnc:spoT|entrezgene/locuslink:877912|crogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964|irogid:52906034|rogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)|Battesti et al. (2009)|battesti-2009-1	pubmed:18996989|imex:IM-18309	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-6405042|mpidb:MPIDB-INT-1917	intact-miscore:0.37|hpr:12|lpr:12|np:1
uniprotkb:Q9HTM0	uniprotkb:O52658	-	-	psi-mi:q9htm0_pseae|psi-mi:spoT|uniprotkb:spoT|uniprotkb:PA5338|uniprotkb:Q9HTM0|uniprotkb:Q9HTM0_PSEAE|intact:EBI-6405046|icrogid:52906034|hgnc:spoT|entrezgene/locuslink:877912|crogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964|irogid:52906034|rogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964	psi-mi:acp2_pseae|psi-mi:acpP2|uniprotkb:acpP2|uniprotkb:PA1869|uniprotkb:O52658|uniprotkb:ACP2_PSEAE|intact:EBI-6405071|icrogid:35985621|hgnc:PA1869|entrezgene/locuslink:881955|crogid:QqDSdXeFm8T6LJyCj8jeHJk5F8E208964|irogid:35985621|rogid:QqDSdXeFm8T6LJyCj8jeHJk5F8E208964	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)|Battesti et al. (2009)|battesti-2009-1	pubmed:18996989|imex:IM-18309	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-6405067|mpidb:MPIDB-INT-1914	intact-miscore:0.37|hpr:12|lpr:12|np:1
uniprotkb:O54439	uniprotkb:Q9HTM0	-	-	psi-mi:acp1_pseae|psi-mi:acpP1|uniprotkb:acpP1|uniprotkb:acpP|uniprotkb:PA2966|uniprotkb:O54439|uniprotkb:ACP1_PSEAE|intact:EBI-6405088|icrogid:43284214|hgnc:acpP|entrezgene/locuslink:879895|crogid:fMK0Liqxdc+rgQDHaVSZD/M4b8w208964|irogid:43284214|rogid:fMK0Liqxdc+rgQDHaVSZD/M4b8w208964	psi-mi:q9htm0_pseae|psi-mi:spoT|uniprotkb:spoT|uniprotkb:PA5338|uniprotkb:Q9HTM0|uniprotkb:Q9HTM0_PSEAE|intact:EBI-6405046|icrogid:52906034|hgnc:spoT|entrezgene/locuslink:877912|crogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964|irogid:52906034|rogid:yYQeYzj3cGv32wnJuUp/WI1hqgs208964	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)|Battesti et al. (2009)|battesti-2009-1	pubmed:18996989|imex:IM-18309	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-6405094|mpidb:MPIDB-INT-1912	intact-miscore:0.37|hpr:12|lpr:12|np:1
uniprotkb:P15275	uniprotkb:P26480	-	-	psi-mi:algq_pseae|psi-mi:algQ|uniprotkb:algQ|uniprotkb:algR2|uniprotkb:Alginate regulatory protein AlgR2|uniprotkb:PA5255|uniprotkb:P15275|uniprotkb:ALGQ_PSEAE|uniprotkb:ALGQ|intact:EBI-2013699|icrogid:40822925|hgnc:algQ|entrezgene/locuslink:879719|crogid:aT9VpS4azujW9FcQ8M9IzK/R/Oo208964|irogid:40822925|rogid:aT9VpS4azujW9FcQ8M9IzK/R/Oo208964	psi-mi:rpod_pseae|psi-mi:rpoD|uniprotkb:rpoD|uniprotkb:rpoDA|uniprotkb:Sigma-70|uniprotkb:PA0576|uniprotkb:P26480|uniprotkb:RPOD_PSEAE|uniprotkb:RPOD|intact:EBI-2013679|icrogid:24565139|hgnc:rpoD|entrezgene/locuslink:882038|crogid:40RLoV6gLPJnSH1vDt1VyBT8Evg208964|irogid:24565139|rogid:40RLoV6gLPJnSH1vDt1VyBT8Evg208964	psi-mi:"MI:0018"(two hybrid)	Dove, SL. et al.(2001)|Yuan, AH. et al.(2008)|Yuan et al. (2008)|Dove et al. (2001)|dove-2001-1	pubmed:11591686|pubmed:18826409|imex:IM-18237|imex:IM-19088	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-2124638|intact:EBI-6404550	intact-miscore:0.55|hpr:6|lpr:6|np:1|mentha-score:0.309
uniprotkb:P26480	uniprotkb:P26480	-	-	psi-mi:rpod_pseae|psi-mi:rpoD|uniprotkb:rpoD|uniprotkb:rpoDA|uniprotkb:Sigma-70|uniprotkb:PA0576|intact:EBI-2013679	psi-mi:rpod_pseae|psi-mi:rpoD|uniprotkb:rpoD|uniprotkb:rpoDA|uniprotkb:Sigma-70|uniprotkb:PA0576|intact:EBI-2013679	psi-mi:"MI:0018"(two hybrid)	Yuan, AH. et al.(2008)|Yuan et al. (2008)	pubmed:18826409|imex:IM-18237	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0903"(mpidb)	intact:EBI-6404550	intact-miscore:0.37
uniprotkb:P49988	uniprotkb:P49988	-	-	psi-mi:rp54_pseae|psi-mi:rpoN|uniprotkb:rpoN|uniprotkb:PA4462|uniprotkb:P49988|uniprotkb:RP54_PSEAE|uniprotkb:RPON|intact:EBI-8302957|intact:MINT-8407298|icrogid:25460694|hgnc:rpoN|entrezgene/locuslink:881022|crogid:5pxlM+Ue2H0re3iKkZJN3qewIPs208964|irogid:25460694|rogid:5pxlM+Ue2H0re3iKkZJN3qewIPs208964	psi-mi:rp54_pseae|psi-mi:rpoN|uniprotkb:rpoN|uniprotkb:PA4462|uniprotkb:P49988|uniprotkb:RP54_PSEAE|uniprotkb:RPON|intact:EBI-8302957|intact:MINT-8407298|icrogid:25460694|hgnc:rpoN|entrezgene/locuslink:881022|crogid:5pxlM+Ue2H0re3iKkZJN3qewIPs208964|irogid:25460694|rogid:5pxlM+Ue2H0re3iKkZJN3qewIPs208964	psi-mi:"MI:0018"(two hybrid)	Sabbatini, M. et al.(2013)|Sabbatini et al. (2013)|sabbatini-2013-2	pubmed:23320542|mint:fj-12-0756|mint:MINT-8406594	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0471"(MINT)	intact:EBI-8302975|mint:MINT-8406599	intact-miscore:0.37|hpr:4|lpr:4|np:1|mentha-score:0.332
