"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha; -ethynylagmatine","chemical-affects","P21170",NA,"3297044;4571773",NA
"alpha;-monofluoromethylagmatine","chemical-affects","P21170",NA,"3297044;4571773",NA
"alpha;-monofluoromethylarginine","chemical-affects","P21170",NA,"3297044;4571773",NA
"beta;-NAD(P)+","used-to-produce","gamma;-glutamyl-gamma;-aminobutyrate",NA,NA,"null"
"beta;-NAD(P)+","reacts-with","4-(gamma;-L-glutamylamino)butanal",NA,NA,"null"
"beta;-NAD(P)+","reacts-with","H2O",NA,NA,"null"
"beta;-NAD(P)+","used-to-produce","NAD(P)H",NA,NA,"null"
"beta;-NAD(P)+","consumption-controlled-by","P23883",NA,"15590624","null"
"beta;-NAD(P)+","used-to-produce","hydrogen ion",NA,NA,"null"
"gamma;-amino-n-butyric acid","reacts-with","2-oxopentanedionic acid",NA,NA,"null"
"gamma;-amino-n-butyric acid","consumption-controlled-by","P22256",NA,"15723541;2178550;2178553;2188954;2254272;374339;4552985","null"
"gamma;-amino-n-butyric acid","consumption-controlled-by","P50457",NA,"15590624;20639325","null"
"gamma;-amino-n-butyric acid","used-to-produce","glu",NA,NA,"null"
"gamma;-amino-n-butyric acid","used-to-produce","succinyl semialdehyde",NA,NA,"null"
"gamma;-glutamyl-gamma;-aminobutyrate","used-to-produce","gamma;-amino-n-butyric acid",NA,NA,"null"
"gamma;-glutamyl-gamma;-aminobutyrate","reacts-with","H2O",NA,NA,"null"
"gamma;-glutamyl-gamma;-aminobutyrate","consumption-controlled-by","P76038",NA,"15590624","null"
"gamma;-glutamyl-gamma;-aminobutyrate","used-to-produce","glu",NA,NA,"null"
"gamma;-glutamylputrescine","used-to-produce","4-(gamma;-L-glutamylamino)butanal",NA,NA,"null"
"gamma;-glutamylputrescine","reacts-with","H2O",NA,NA,"null"
"gamma;-glutamylputrescine","used-to-produce","NH4+",NA,NA,"null"
"gamma;-glutamylputrescine","reacts-with","O2",NA,NA,"null"
"gamma;-glutamylputrescine","consumption-controlled-by","P37906",NA,"15590624;22636776","null"
"gamma;-glutamylputrescine","used-to-produce","perhydrol",NA,NA,"null"
"(E)-alpha;-monofluoromethyldehydroarginine","chemical-affects","P21170",NA,"3297044;4571773",NA
"2-oxopentanedionic acid","used-to-produce","ABAL",NA,NA,"null"
"2-oxopentanedionic acid","consumption-controlled-by","P22256",NA,"15723541;2178550;2178553;2188954;2254272;374339;4552985","null"
"2-oxopentanedionic acid","consumption-controlled-by","P42588",NA,"12617754;22636776;3510672","null"
"2-oxopentanedionic acid","consumption-controlled-by","P50457",NA,"15590624;20639325","null"
"2-oxopentanedionic acid","reacts-with","diaminobutane",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","succinyl semialdehyde",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","used-to-produce","gamma;-glutamyl-gamma;-aminobutyrate",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","reacts-with","H2O",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","used-to-produce","NAD(P)H",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","consumption-controlled-by","P23883",NA,"15590624","null"
"4-(gamma;-L-glutamylamino)butanal","used-to-produce","hydrogen ion",NA,NA,"null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P22256",NA,"15723541;2178550;2178553;2188954;2254272;374339;4552985","null"
"m-tolyl aldehyde","chemical-affects","P25526",NA,"18474219;20174634;374339;4552985;7004491;7009588","null"
"AA","chemical-affects","P21170",NA,"3297044;4571773",NA
"ABAL","used-to-produce","gamma;-amino-n-butyric acid",NA,NA,"null"
"ABAL","reacts-with","DPN-ox",NA,NA,"null"
"ABAL","reacts-with","H2O",NA,NA,"null"
"ABAL","consumption-controlled-by","P23883",NA,"22636776","null"
"ABAL","consumption-controlled-by","P77674",NA,"12952533;16023116;3129020;3510672;3897201","null"
"ABAL","used-to-produce","hydrogen ion",NA,NA,"null"
"ABAL","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"DFMA","chemical-affects","P21170",NA,"3297044;4571773",NA
"DPN-ox","used-to-produce","gamma;-amino-n-butyric acid",NA,NA,"null"
"DPN-ox","reacts-with","H2O",NA,NA,"null"
