"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"gamma;-ureidonorvaline","used-to-produce","N-(L-arginino)-succinate",NA,NA,"null"
"gamma;-ureidonorvaline","used-to-produce","L-ornithine",NA,NA,"null"
"gamma;-ureidonorvaline","chemical-affects","P0A6C5",NA,"16890","null"
"gamma;-ureidonorvaline","consumption-controlled-by","P0A6E4",NA,"2123815","null"
"gamma;-ureidonorvaline","reacts-with","PO43-",NA,NA,"null"
"gamma;-ureidonorvaline","used-to-produce","PP",NA,NA,"null"
"gamma;-ureidonorvaline","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"gamma;-ureidonorvaline","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"gamma;-ureidonorvaline","reacts-with","asp",NA,NA,"null"
"gamma;-ureidonorvaline","used-to-produce","carbamoyl-P",NA,NA,"null"
"gamma;-ureidonorvaline","reacts-with","hydrogen ion",NA,NA,"null"
"gamma;-ureidonorvaline","used-to-produce","hydrogen ion",NA,NA,"null"
"6-diazo-5-oxo-norvaline","chemical-affects","P00968",NA,"1737023","null"
"6-diazo-5-oxo-norvaline","chemical-affects","P0A6F1",NA,"1737023","null"
"N-delta;-(phosphonoacetyl)-L-ornithine","chemical-affects","P04391",NA,"3072022;376531","null"
"N-delta;-(phosphonoacetyl)-L-ornithine","chemical-affects","P06960",NA,"376531;4558857","null"
"N-(L-arginino)-succinate","consumption-controlled-by","P11447",NA,"6762207","null"
"N-(L-arginino)-succinate","used-to-produce","arg",NA,NA,"null"
"N-(L-arginino)-succinate","used-to-produce","fumaric acid",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","2-oxopentanedionic acid",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","N-acetylglutamyl-P",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","N-acetylornithine",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","reacts-with","NADP-ox",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","NADPH",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","consumption-controlled-by","P18335",NA,"10074354;25243376;6357954","null"
"N-acetyl-L-glutamate-5-semialdehyde","consumption-controlled-by","P22256",NA,"25243376","null"
"N-acetyl-L-glutamate-5-semialdehyde","consumption-controlled-by","P77581",NA,"25243376;9696779","null"
"N-acetyl-L-glutamate-5-semialdehyde","reacts-with","PO43-",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","reacts-with","glu",NA,NA,"null"
"N-acetyl-L-glutamate-5-semialdehyde","used-to-produce","hydrogen ion",NA,NA,"null"
"N-acetylglutamyl-P","used-to-produce","N-acetyl-L-glutamate-5-semialdehyde",NA,NA,"null"
"N-acetylglutamyl-P","used-to-produce","NADP-ox",NA,NA,"null"
"N-acetylglutamyl-P","reacts-with","NADPH",NA,NA,"null"
"N-acetylglutamyl-P","consumption-controlled-by","P11446",NA,"13863980","null"
"N-acetylglutamyl-P","used-to-produce","PO43-",NA,NA,"null"
"N-acetylglutamyl-P","reacts-with","hydrogen ion",NA,NA,"null"
"N-acetylornithine","reacts-with","H2O",NA,NA,"null"
"N-acetylornithine","used-to-produce","L-ornithine",NA,NA,"null"
"N-acetylornithine","consumption-controlled-by","P23908",NA,"1551850","null"
"N-acetylornithine","used-to-produce","acetate",NA,NA,"null"
"CO3-2","reacts-with","H2O",NA,NA,"null"
"CO3-2","consumption-controlled-by","P00968",NA,"1737023","null"
"CO3-2","consumption-controlled-by","P0A6F1",NA,"1737023","null"
"CO3-2","used-to-produce","PO43-",NA,NA,"null"
"CO3-2","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"CO3-2","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"CO3-2","used-to-produce","carbamoyl-P",NA,NA,"null"
"CO3-2","reacts-with","gln",NA,NA,"null"
"CO3-2","used-to-produce","glu",NA,NA,"null"
"CO3-2","used-to-produce","hydrogen ion",NA,NA,"null"
"Cadmium","chemical-affects","P0A6C5",NA,"16890","null"
"Cadmium","chemical-affects","P23908",NA,"10684608;1551850","null"
"Co++","chemical-affects","P11447",NA,"6762207","null"
"Co++","chemical-affects","P23908",NA,"10684608;1551850","null"
"CoA","reacts-with","NAG",NA,NA,"null"
"CoA","used-to-produce","acetyl coenzyme-A",NA,NA,"null"
"CoA","used-to-produce","glu",NA,NA,"null"
"CoA","reacts-with","hydrogen ion",NA,NA,"null"
"Cu++","chemical-affects","P0A6C5",NA,"16890","null"
"Cu++","chemical-affects","P11446",NA,"13863980;4365537","null"
"Cu++","chemical-affects","P18335",NA,"10074354;25243376;6357954","null"
"Cu++","chemical-affects","P23908",NA,"1551850","null"
"DON","chemical-affects","P00968",NA,"1737023;5339592","null"
"DON","chemical-affects","P0A6F1",NA,"1737023;5339592","null"
"Fe++","chemical-affects","P11446",NA,"13863980;4365537","null"
"Fe++","chemical-affects","P18335",NA,"10074354;25243376;6357954","null"
"H2O","used-to-produce","L-ornithine",NA,NA,"null"
"H2O","consumption-controlled-by","P00968",NA,"1737023","null"
"H2O","consumption-controlled-by","P0A6F1",NA,"1737023","null"
"H2O","consumption-controlled-by","P23908",NA,"1551850","null"
"H2O","used-to-produce","PO43-",NA,NA,"null"
"H2O","used-to-produce","acetate",NA,NA,"null"
"H2O","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"H2O","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"H2O","used-to-produce","carbamoyl-P",NA,NA,"null"
"H2O","reacts-with","gln",NA,NA,"null"
"H2O","used-to-produce","glu",NA,NA,"null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"Hg++","chemical-affects","P0A6C5",NA,"16890","null"
"L-2-amino-4-oxo-5-chloropentanoate","chemical-affects","P00968",NA,"1737023;5339592","null"
"L-2-amino-4-oxo-5-chloropentanoate","chemical-affects","P0A6F1",NA,"1737023;5339592","null"
"L-2-aminopentanoate","chemical-affects","P04391",NA,"3072022;3907689","null"
"L-Norvaline, 5-(aminoiminomethoxy)-","chemical-affects","P0A6C5",NA,"1089665;16890","null"
"L-indospicine","chemical-affects","P0A6C5",NA,"1089665;16890","null"
"L-ornithine","used-to-produce","gamma;-ureidonorvaline",NA,NA,"null"
"L-ornithine","chemical-affects","P00968",NA,"1737023;189806;4358555","null"
"L-ornithine","consumption-controlled-by","P04391",NA,"3072022","null"
"L-ornithine","consumption-controlled-by","P06960",NA,"4558857","null"
"L-ornithine","chemical-affects","P0A6F1",NA,"1737023;189806;4358555","null"
"L-ornithine","chemical-affects","P23908",NA,"1551850","null"
"L-ornithine","used-to-produce","PO43-",NA,NA,"null"
"L-ornithine","reacts-with","carbamoyl-P",NA,NA,"null"
"L-ornithine","used-to-produce","hydrogen ion",NA,NA,"null"
"Mn2+","chemical-affects","P11446",NA,"13863980;4365537","null"
"N-alpha;-acetyl-DL-norvaline","chemical-affects","P23908",NA,"1551850;4607756","null"
"NADP-ox","used-to-produce","N-acetylglutamyl-P",NA,NA,"null"
"NADP-ox","used-to-produce","NADPH",NA,NA,"null"
"NADP-ox","reacts-with","PO43-",NA,NA,"null"
"NADP-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"NADPH","used-to-produce","N-acetyl-L-glutamate-5-semialdehyde",NA,NA,"null"
"NADPH","used-to-produce","NADP-ox",NA,NA,"null"
"NADPH","consumption-controlled-by","P11446",NA,"13863980","null"
"NADPH","used-to-produce","PO43-",NA,NA,"null"
"NADPH","reacts-with","hydrogen ion",NA,NA,"null"
"NAG","used-to-produce","N-acetylglutamyl-P",NA,NA,"null"
"NAG","consumption-controlled-by","P0A6C8",NA,"10393305","null"
"NAG","used-to-produce","acetyl coenzyme-A",NA,NA,"null"
"NAG","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"NAG","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"NAG","used-to-produce","glu",NA,NA,"null"
"NAG","reacts-with","hydrogen ion",NA,NA,"null"
"NH4+","chemical-affects","P00968",NA,"1737023;189806;4358555","null"
"NH4+","chemical-affects","P0A6F1",NA,"1737023;189806;4358555","null"
"NaF","chemical-affects","P23908",NA,"10684608;1551850","null"
"Ni++","chemical-affects","P11446",NA,"13863980;4365537","null"
