"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"beta;,gamma;-imidoadenosine 5'-triphosphate","chemical-affects","P22106",NA,"6102982;7907328;9748330","null"
"beta;-methylaspartate","chemical-affects","P22106",NA,"6102982;7907328;9748330","null"
"3-sulfino-L-alanine","chemical-affects","P22106",NA,"6102982;7907328;9254614","null"
"H2O","consumption-controlled-by","P22106",NA,"6102982;7907328","null"
"H2O","used-to-produce","PP",NA,NA,"null"
"H2O","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"H2O","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"H2O","used-to-produce","asn",NA,NA,"null"
"H2O","reacts-with","asp",NA,NA,"null"
"H2O","reacts-with","gln",NA,NA,"null"
"H2O","used-to-produce","glu",NA,NA,"null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"P22106","controls-production-of","PP",NA,"6102982;7907328","null"
"P22106","controls-production-of","adenosine-monophosphate",NA,"6102982;7907328","null"
"P22106","controls-production-of","asn",NA,"6102982;7907328","null"
"P22106","controls-production-of","glu",NA,"6102982;7907328","null"
"P22106","controls-production-of","hydrogen ion",NA,"6102982;7907328","null"
"adenosine-5'-triphosphate","consumption-controlled-by","P22106",NA,"6102982;7907328","null"
"adenosine-5'-triphosphate","used-to-produce","PP",NA,NA,"null"
"adenosine-5'-triphosphate","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"adenosine-5'-triphosphate","used-to-produce","asn",NA,NA,"null"
"adenosine-5'-triphosphate","reacts-with","asp",NA,NA,"null"
"adenosine-5'-triphosphate","reacts-with","gln",NA,NA,"null"
"adenosine-5'-triphosphate","used-to-produce","glu",NA,NA,"null"
"adenosine-5'-triphosphate","used-to-produce","hydrogen ion",NA,NA,"null"
"asp","consumption-controlled-by","P22106",NA,"6102982;7907328","null"
"asp","used-to-produce","PP",NA,NA,"null"
"asp","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"asp","used-to-produce","asn",NA,NA,"null"
"asp","reacts-with","gln",NA,NA,"null"
"asp","used-to-produce","glu",NA,NA,"null"
"asp","used-to-produce","hydrogen ion",NA,NA,"null"
"gln","consumption-controlled-by","P22106",NA,"6102982;7907328","null"
"gln","used-to-produce","PP",NA,NA,"null"
"gln","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"gln","used-to-produce","asn",NA,NA,"null"
"gln","used-to-produce","glu",NA,NA,"null"
"gln","used-to-produce","hydrogen ion",NA,NA,"null"
"glutamic acid, 5-methylester","chemical-affects","P22106",NA,"6102982;7907328;9748330","null"
