"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-acetolactate","used-to-produce","(R)-2,3-dihydroxy-3-methylbutanoate",NA,NA,"null"
"alpha;-acetolactate","used-to-produce","NADP-ox",NA,NA,"null"
"alpha;-acetolactate","reacts-with","NADPH",NA,NA,"null"
"alpha;-acetolactate","consumption-controlled-by","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"alpha;-acetolactate","reacts-with","hydrogen ion",NA,NA,"null"
"alpha;-ketobutyrate","used-to-produce","(S)-2-aceto-2-hydroxy-butyrate",NA,NA,"null"
"alpha;-ketobutyrate","reacts-with","BTS",NA,NA,"null"
"alpha;-ketobutyrate","consumption-controlled-by","P00893",NA,"2675968","null"
"alpha;-ketobutyrate","consumption-controlled-by","P00894",NA,"2675968","null"
"alpha;-ketobutyrate","chemical-affects","P08142",NA,"16326011","null"
"alpha;-ketobutyrate","consumption-controlled-by","P08142",NA,"370104","null"
"alpha;-ketobutyrate","chemical-affects","P0ADF8",NA,"16326011","null"
"alpha;-ketobutyrate","consumption-controlled-by","P0ADF8",NA,"370104","null"
"alpha;-ketobutyrate","consumption-controlled-by","P0ADG1",NA,"9581571","null"
"alpha;-ketobutyrate","consumption-controlled-by","P0DP89",NA,"9581571","null"
"alpha;-ketobutyrate","used-to-produce","carbon dioxide",NA,NA,"null"
"alpha;-ketobutyrate","reacts-with","hydrogen ion",NA,NA,"null"
"(2S)-2-isopropyl-3-oxosuccinate","used-to-produce","2-oxoisocaproate",NA,NA,"null"
"(2S)-2-isopropyl-3-oxosuccinate","used-to-produce","3-carboxy-2-hydroxy-4-methylpentanoate",NA,NA,"null"
"(2S)-2-isopropyl-3-oxosuccinate","used-to-produce","DPN-ox",NA,NA,"null"
"(2S)-2-isopropyl-3-oxosuccinate","used-to-produce","carbon dioxide",NA,NA,"null"
"(2S)-2-isopropyl-3-oxosuccinate","reacts-with","hydrogen ion",NA,NA,"null"
"(2S)-2-isopropyl-3-oxosuccinate","reacts-with","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(2Z)-2-aminobut-2-enoate","used-to-produce","2-iminobutanoate",NA,NA,"null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P05791",NA,"13727223;8325851","null"
"(R)-2,3-dihydroxy-3-methylbutanoate","used-to-produce","2-oxoisovalerate",NA,NA,"null"
"(R)-2,3-dihydroxy-3-methylbutanoate","used-to-produce","H2O",NA,NA,"null"
"(R)-2,3-dihydroxy-3-methylbutanoate","consumption-controlled-by","P05791",NA,"8325851","null"
