"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-glucose 1,6-bisphosphate","chemical-affects","P36938",NA,"14216423;4563765","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P36938",NA,"14216423;4563765","null"
"5-phospho-D-arabinonohydroxamate","chemical-affects","P00946",NA,"21058398;4862193;5335965","null"
"6-p gluconate","chemical-affects","P0A6T1",NA,"1097391;17239859;17307338;368027;5328748;7004378","null"
"8-anilinonaphthalenesulfonate","chemical-affects","P09147",NA,"1100620;11380265;13914787;14235524;1821806;202302;210796;2186813;229891;2659075;3277958;391265;4345584;4346959;4578944;4941982;779771;7989316;8241177","null"
"p-chloromercuriphenyl sulphonate","chemical-affects","P0AC88",NA,"14299611;9257704","null"
"Al+++","chemical-affects","P36938",NA,"14216423;4563765","null"
"Be++","chemical-affects","P36938",NA,"14216423;4563765;4960829","null"
"Ca++","chemical-affects","P0AC88",NA,"9257704","null"
"CoA","chemical-affects","P36938",NA,"14216423;4563765;4568817","null"
"Cu(I)","chemical-affects","P36938",NA,"14216423;4563765","null"
"D-glucopyranose 6-phosphate","used-to-produce","F6P",NA,NA,"null"
"D-glucopyranose 6-phosphate","consumption-controlled-by","P0A6T1",NA,"1097391;17239859;17307338;368027;5328748;7004378","null"
"D-glucopyranose 6-phosphate","consumption-controlled-by","P36938",NA,"14216423;4563765","null"
"D-glucopyranose 6-phosphate","used-to-produce","cori ester",NA,NA,"null"
"D-mannopyranose-6-P","used-to-produce","F6P",NA,NA,"null"
"D-mannopyranose-6-P","consumption-controlled-by","P24175",NA,"12514000","null"
"D-mannopyranose-6-P","used-to-produce","mannose-1-phosphate",NA,NA,"null"
"DPN-ox","reacts-with","H2O",NA,NA,"null"
"DPN-ox","consumption-controlled-by","P76373",NA,"12851388;4568129","null"
"DPN-ox","reacts-with","UDPG",NA,NA,"null"
"DPN-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"DPN-ox","used-to-produce","udp-glcua",NA,NA,"null"
"F6P","used-to-produce","D-glucopyranose 6-phosphate",NA,NA,"null"
"F6P","used-to-produce","D-mannopyranose-6-P",NA,NA,"null"
"F6P","consumption-controlled-by","P00946",NA,"4862193;5335965","null"
"Fe++","chemical-affects","P36938",NA,"14216423;4563765","null"
"GDP-4-keto-6-deoxy-alpha;-D-mannose","used-to-produce","GDP-beta;-L-fucose",NA,NA,"null"
