"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"3-[(3-cholamidopropyl)dimethylammonium]-1-propansulfonate","chemical-affects","P0AC78",NA,"17237164;3034883;9134438","null"
"ditrans,octacis-undecaprenyl phosphate","consumption-controlled-by","P0AC78",NA,"17237164;3034883;9134438","null"
"ditrans,octacis-undecaprenyl phosphate","reacts-with","UDP-GlcNAc",NA,NA,"null"
"ditrans,octacis-undecaprenyl phosphate","used-to-produce","UMP",NA,NA,"null"
"ditrans,octacis-undecaprenyl phosphate","used-to-produce","lipid I",NA,NA,"null"
"DPN-ox","reacts-with","H2O",NA,NA,"null"
"DPN-ox","consumption-controlled-by","P27829",NA,"2166030;381306","null"
"DPN-ox","used-to-produce","UDP-ManNAcA",NA,NA,"null"
"DPN-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"DPN-ox","reacts-with","uridine diphosphate N-acetylmannosamine",NA,NA,"null"
"H2O","consumption-controlled-by","P27829",NA,"2166030;381306","null"
"H2O","used-to-produce","UDP-ManNAcA",NA,NA,"null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"H2O","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"H2O","reacts-with","uridine diphosphate N-acetylmannosamine",NA,NA,"null"
"NH4+","chemical-affects","P27829",NA,"2166030;381306","null"
"P0AC78","catalysis-precedes","P27836",NA,"17237164;2166030;3034883;9134438","null"
"P0AC78","controls-production-of","UMP",NA,"17237164;3034883;9134438","null"
"P0AC78","controls-production-of","lipid I",NA,"17237164;3034883;9134438","null"
"P27828","catalysis-precedes","P27829",NA,"15210128;2166030;381306","null"
"P27828","controls-production-of","uridine diphosphate N-acetylmannosamine",NA,"15210128","null"
"P27829","catalysis-precedes","P27836",NA,"2166030;381306","null"
"P27829","catalysis-precedes","P37744",NA,"11697907;2166030;381306","null"
"P27829","catalysis-precedes","P61887",NA,"2166030;381306;7559340","null"
"P27829","controls-production-of","UDP-ManNAcA",NA,"2166030;381306","null"
"P27829","controls-production-of","hydrogen ion",NA,"2166030;381306","null"
"P27829","controls-production-of","nicotinamide adenine dinucleotide reduced",NA,"2166030;381306","null"
"P27830","controls-production-of","H2O",NA,"11076501","null"
"P27830","catalysis-precedes","P27829",NA,"11076501;2166030;381306","null"
"P27830","catalysis-precedes","P27833",NA,"11076501;15271350;2166030","null"
"P27830","neighbor-of","P37759",NA,NA,"null"
"P27830","controls-production-of","dTDP-6-deoxy-alpha;-D-xylo-4-hexosulose",NA,"11076501","null"
"P27832","controls-production-of","CoA",NA,"11673418;14235522","null"
"P27832","catalysis-precedes","P37744",NA,"11673418;11697907;14235522","null"
"P27832","catalysis-precedes","P56258",NA,"11673418;14235522;2166030","null"
"P27832","catalysis-precedes","P61887",NA,"11673418;14235522;7559340","null"
"P27832","controls-production-of","TDP-4N-acetyl-alpha;-D-fucosamine",NA,"11673418;14235522","null"
"P27832","controls-production-of","hydrogen ion",NA,"11673418;14235522","null"
"P27833","controls-production-of","2-oxopentanedionic acid",NA,"15271350;2166030","null"
"P27833","catalysis-precedes","P27832",NA,"11673418;14235522;15271350;2166030","null"
"P27833","controls-production-of","dTDP-thomosamine",NA,"15271350;2166030","null"
"P27836","catalysis-precedes","P37744",NA,"11697907;2166030","null"
"P27836","catalysis-precedes","P56258",NA,"11673418;2166030","null"
"P27836","catalysis-precedes","P61887",NA,"2166030;7559340","null"
"P27836","controls-production-of","UDP",NA,"2166030","null"
"P27836","controls-production-of","hydrogen ion",NA,"2166030","null"
"P27836","controls-production-of","lipid II",NA,"2166030","null"
"P37744","catalysis-precedes","P27830",NA,"11076501;11697907","null"
"P37744","catalysis-precedes","P37759",NA,"11697907;4307450;4312478;4320607;4869560;7517390","null"
"P37744","neighbor-of","P61887",NA,NA,"null"
"P37744","controls-production-of","PP",NA,"11697907","null"
"P37744","controls-production-of","dTDP-alpha;-D-glucose",NA,"11697907","null"
"P37759","controls-production-of","H2O",NA,"4307450;4312478;4320607;4869560;7517390","null"
"P37759","catalysis-precedes","P27829",NA,"2166030;381306;4307450;4312478;4320607;4869560;7517390","null"
"P37759","catalysis-precedes","P27833",NA,"15271350;2166030;4307450;4312478;4320607;4869560;7517390","null"
"P37759","controls-production-of","dTDP-6-deoxy-alpha;-D-xylo-4-hexosulose",NA,"4307450;4312478;4320607;4869560;7517390","null"
"P56258","catalysis-precedes","P37744",NA,"11673418;11697907;2166030","null"
"P56258","catalysis-precedes","P61887",NA,"11673418;2166030;7559340","null"
