"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"beta;-L-rhamnopyranose","SmallMoleculeReference",NA,"ChEBI:CHEBI:27586;ChemSpider:388792;EcoCyc:CPD0-1112;KEGG LIGAND:C02338;MetaboLights:MTBLC27586;PubChem-compound:439730",NA
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"P0AB87","ProteinReference","FucA","Database of Interacting Proteins:DIP-9710N;EcoCyc:FUCPALDOL-MONOMER;EcoliWiki:b2800;MODBASE:P0AB87;NCBI Reference Sequences Database:NP_417280;Pride:P0AB87;Protein Model Portal:P0AB87;Protein Ontology:PRO_000022727;SWISS-MODEL:P0AB87;UniProt:P0AB87","InterPro:IPR001303;InterPro:IPR004782;Pfam:PF00596;Protein Data Bank:1DZU;Protein Data Bank:1DZV;Protein Data Bank:1DZW;Protein Data Bank:1DZX;Protein Data Bank:1DZY;Protein Data Bank:1DZZ;Protein Data Bank:1E46;Protein Data Bank:1E47;Protein Data Bank:1E48;Protein Data Bank:1E49;Protein Data Bank:1E4A;Protein Data Bank:1E4B;Protein Data Bank:1E4C;Protein Data Bank:1FUA;Protein Data Bank:2FUA;Protein Data Bank:3FUA;Protein Data Bank:4FUA;Smart:SM01007"
"P33232","ProteinReference","LldD","Database of Interacting Proteins:DIP-10108N;EcoCyc:L-LACTDEHYDROGFMN-MONOMER;EcoliWiki:b3605;MODBASE:P33232;Mint:MINT-6478320;NCBI Reference Sequences Database:NP_418062;Pride:P33232;Protein Model Portal:P33232;Protein Ontology:PRO_000023100;SWISS-MODEL:P33232;UniProt:P33232","InterPro:IPR000262;InterPro:IPR008259;InterPro:IPR012133;InterPro:IPR013785;InterPro:IPR020920;Pfam:PF01070;Prosite:PS00557;Prosite:PS51349"
"p-mercuribenzoate","SmallMoleculeReference",NA,"ChEBI:CHEBI:20435;ChemSpider:4574164;EcoCyc:CPD-7388;KEGG LIGAND:C00985;PubChem-compound:5460680",NA
"(S)-1,2-propanediol","SmallMoleculeReference",NA,"CAS:57-55-6;ChEBI:CHEBI:29002;ChemSpider:388890;DrugBank:DB04349;EcoCyc:PROPANE-1-2-DIOL;HMDB:HMDB06213;IAF1260:12ppd__S;KEGG LIGAND:C02917;MetaboLights:MTBLC29002;PubChem-compound:439846;RefMet:Propylene glycol",NA
"fuculose","SmallMoleculeReference",NA,"CAS:13074-08-3;ChEBI:CHEBI:17617;EcoCyc:L-FUCULOSE;HMDB:HMDB60267;IAF1260:fcl__L;KEGG LIGAND:C01721;MetaboLights:MTBLC17617;PubChem-compound:6857362",NA
"8-hydroxyquinoline-5-sulfonic acid","SmallMoleculeReference",NA,"ChemSpider:4425604;EcoCyc:CPD0-1288;PubChem-compound:5260546",NA
"Cadmium","SmallMoleculeReference",NA,"ChEBI:CHEBI:48775;ChemSpider:28935;EcoCyc:CD+2;HMDB:HMDB03638;IAF1260:cd2;KEGG LIGAND:C01413;PubChem-compound:31193",NA
"2-hydroxy-3-butynoic acid ethyl ester","SmallMoleculeReference",NA,"EcoCyc:CPD0-1604;PubChem-compound:44123461",NA
"Hg++","SmallMoleculeReference",NA,"ChEBI:CHEBI:16793;ChemSpider:24800;EcoCyc:HG+2;HMDB:HMDB03625;IAF1260:hg2;KEGG LIGAND:C00703;PubChem-compound:26623",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"a phospholipid","SmallMoleculeReference",NA,"ChEBI:CHEBI:16247;EcoCyc:Phospholipids;KEGG LIGAND:C00865",NA
"DHAP","SmallMoleculeReference","DHAP","CAS:57-04-5;ChEBI:CHEBI:57642;ChemSpider:3833110;EcoCyc:DIHYDROXY-ACETONE-PHOSPHATE;HMDB:HMDB01473;IAF1260:dhap;KEGG LIGAND:C00111;MetaboLights:MTBLC57642;PubChem-compound:4643300;RefMet:Dihydroxyacetone phosphate",NA
"PGH","SmallMoleculeReference",NA,"ChEBI:CHEBI:28475;EcoCyc:CPD0-1102;KEGG LIGAND:C05348;PubChem-compound:24916871",NA
"L(+)-lactate","SmallMoleculeReference",NA,"CAS:79-33-4;ChEBI:CHEBI:16651;ChemSpider:4573803;EcoCyc:L-LACTATE;HMDB:HMDB00190;IAF1260:lac__L;KEGG LIGAND:C00186;MetaboLights:MTBLC16651;PubChem-compound:5460161;RefMet:Lactic acid",NA
"an electron-transfer quinol","SmallMoleculeReference",NA,"EcoCyc:ETR-Quinols",NA
