"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"2-keto-3-deoxy-D-gluconic acid","SmallMoleculeReference",NA,"CAS:17510-99-5;ChEBI:CHEBI:57990;EcoCyc:2-DEHYDRO-3-DEOXY-D-GLUCONATE;HMDB:HMDB01353;IAF1260:2ddglcn;KEGG LIGAND:C00204;PubChem-compound:44229111",NA
"D-galacturonic acid","SmallMoleculeReference",NA,"CAS:685-73-4;ChEBI:CHEBI:75525;EcoCyc:D-GALACTURONATE;HMDB:HMDB02545;IAF1260:34649;IAF1260:galur;KEGG LIGAND:C00333;PubChem-compound:46173511",NA
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"D-altronate","SmallMoleculeReference",NA,"ChEBI:CHEBI:17360;ChemSpider:4573692;EcoCyc:D-ALTRONATE;IAF1260:altrn;KEGG LIGAND:C00817;PubChem-compound:5459986",NA
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"an acceptor beta;-D-glucuronoside","SmallMoleculeReference",NA,"ChEBI:CHEBI:15341;EcoCyc:Beta-D-Glucuronides;KEGG LIGAND:C03033",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"Guronamin","SmallMoleculeReference",NA,"CAS:3789-97-7;ChEBI:CHEBI:32323;ChemSpider:19951913;EcoCyc:CPD0-1656;KEGG LIGAND:D01791;PubChem-compound:636367",NA
"P0A8G3","ProteinReference","UxaC","EcoCyc:UXAC-MONOMER;EcoliWiki:b3092;MODBASE:P0A8G3;NCBI Reference Sequences Database:NP_417563;Pride:P0A8G3;Protein Model Portal:P0A8G3;Protein Ontology:PRO_000024205;SWISS-MODEL:P0A8G3;UniProt:P0A8G3","InterPro:IPR003766;InterPro:IPR032466;Pfam:PF02614"
