"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-D-Gal-1-P","consumption-controlled-by","P09148",NA,"14412847;3022797;4606575;5338129","null"
"alpha;-D-Gal-1-P","used-to-produce","UDP-alpha;-D-galactopyranose",NA,NA,"null"
"alpha;-D-Gal-1-P","reacts-with","UDPG",NA,NA,"null"
"alpha;-D-Gal-1-P","used-to-produce","cori ester",NA,NA,"null"
"alpha;-D-galactopyranose","used-to-produce","alpha;-D-Gal-1-P",NA,NA,"null"
"alpha;-D-galactopyranose","used-to-produce","beta;-D-galactose",NA,NA,"null"
"alpha;-D-galactopyranose","consumption-controlled-by","P0A6T3",NA,"12816414;13390972;13977183;14612558;1821806;4868542;4889465","null"
"alpha;-D-galactopyranose","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"alpha;-D-galactopyranose","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"alpha;-D-galactopyranose","used-to-produce","hydrogen ion",NA,NA,"null"
"beta;-D-galactose","used-to-produce","alpha;-D-galactopyranose",NA,NA,"null"
"beta;-D-galactose","consumption-controlled-by","P0A9C3",NA,"12693937;4290293;4945113;5337146;7966338;9778377","null"
"beta;-mercaptoethanol","chemical-affects","P0A6T3",NA,"12816414;13390972;13977183;14612558;1821806;4868542;4889465","null"
"2-deoxy-D-glucose","chemical-affects","P0A9C3",NA,"12693937;4290293;4945113;5337146;7966338;9778377","null"
"8-anilinonaphthalenesulfonate","chemical-affects","P09147",NA,"1100620;11380265;13914787;14235524;1821806;202302;210796;2186813;229891;2659075;3277958;391265;4345584;4346959;4578944;4941982;779771;7989316;8241177","null"
"D-mannose","chemical-affects","P0A9C3",NA,"12693937;4290293;4945113;5337146;7966338;9778377","null"
"P09147","catalysis-precedes","P09148",NA,"1100620;11380265;13914787;14235524;14412847;1821806;202302;210796;2186813;229891;2659075;3022797;3277958;391265;4345584;4346959;4578944;4606575;4941982;5338129;779771;7989316;8241177","null"
