"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-ketobutyrate","chemical-affects","P06959",NA,"1445221;7005225;7011811","null"
"alpha;-ketobutyrate","chemical-affects","P0A9P0",NA,"1445221;7005225;7011811","null"
"alpha;-ketobutyrate","chemical-affects","P0AFG8",NA,"1445221;7005225;7011811","null"
"beta;-D-fructose 2,6-bisphosphate","chemical-affects","P0A993",NA,"11825604;4302393;6312898;6324777","null"
"beta;-D-glucose 6-phosphate","chemical-affects","P0A993",NA,"11825604;17567577;4302393;6312898;6324777","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","13-DPG",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","DHAP",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","DHAP",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","DPN-ox",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","FBP",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","consumption-controlled-by","P0A9B2",NA,"10190977","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","PO43-",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","hydrogen ion",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(S)-malic acid","reacts-with","DPN-ox",NA,NA,"null"
"(S)-malic acid","used-to-produce","H2O",NA,NA,"null"
"(S)-malic acid","consumption-controlled-by","P33940",NA,"11092847;368072","null"
"(S)-malic acid","consumption-controlled-by","P61889",NA,"2993232","null"
"(S)-malic acid","used-to-produce","an electron-transfer quinol",NA,NA,"null"
"(S)-malic acid","reacts-with","an electron-transfer quinone",NA,NA,"null"
"(S)-malic acid","used-to-produce","fumaric acid",NA,NA,"null"
"(S)-malic acid","used-to-produce","hydrogen ion",NA,NA,"null"
"(S)-malic acid","used-to-produce","keto-oxaloacetate",NA,NA,"null"
