"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Ni++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49786;ChemSpider:909;EcoCyc:NI+2;HMDB:HMDB02457;IAF1260:ni2;KEGG LIGAND:C19609;PubChem-compound:934",NA
"phosphoglycolate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58033;EcoCyc:CPD-67;HMDB:HMDB00816;IAF1260:2pglyc;KEGG LIGAND:C00988;MetaboLights:MTBLC58033;PubChem-compound:24916760",NA
"D-mannopyranose-6-P","SmallMoleculeReference",NA,"ChEBI:CHEBI:48066;EcoCyc:CPD-15979",NA
"ethylenediaminetetraacetate","SmallMoleculeReference",NA,"ChEBI:CHEBI:64755;EcoCyc:EDTA;HMDB:HMDB15109;KEGG LIGAND:C00284;PubChem-compound:5246202;RefMet:Edetic Acid",NA
"P0A9C9","ProteinReference","GlpX","EcoCyc:EG11517-MONOMER;EcoliWiki:B3925;MODBASE:P0A9C9;NCBI Reference Sequences Database:NP_418360;Pride:P0A9C9;Protein Model Portal:P0A9C9;Protein Ontology:PRO_000022800;SWISS-MODEL:P0A9C9;UniProt:P0A9C9","InterPro:IPR004464;Panther:PTHR30447:SF1;Pfam:PF03320;Protein Data Bank:1NI9;Protein Data Bank:2R8T;Protein Data Bank:3BIG;Protein Data Bank:3BIH;Protein Data Bank:3D1R"
"D-glucose-6-P","SmallMoleculeReference",NA,"EcoCyc:Glucose-6-phosphate",NA
"potassium chloride","SmallMoleculeReference",NA,"ChEBI:CHEBI:32588;ChemSpider:4707;DrugBank:DB00761;EcoCyc:KCL;KEGG LIGAND:D02060;PubChem-compound:4873",NA
"keto-D-tagatose 6-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:134283;EcoCyc:CPD-15826;PubChem-compound:23615358",NA
"5-phospho-D-arabinonohydroxamate","SmallMoleculeReference",NA,"EcoCyc:CPD-15157;PubChem-compound:10400331",NA
"D-glycerate-3-P","SmallMoleculeReference",NA,"CAS:820-11-1;ChEBI:CHEBI:58272;EcoCyc:G3P;HMDB:HMDB60180;IAF1260:3pg;KEGG LIGAND:C00197;MetaboLights:MTBLC58272;PubChem-compound:25245548;RefMet:3-Phosphoglyceric acid",NA
"D-Glycerate 2-phosphate","SmallMoleculeReference",NA,"CAS:2553-59-5;ChEBI:CHEBI:58289;EcoCyc:2-PG;HMDB:HMDB03391;IAF1260:2pg;KEGG LIGAND:C00631;MetaboLights:MTBLC58289;PubChem-compound:40467846;RefMet:2-Phosphoglyceric acid",NA
"13-DPG","SmallMoleculeReference","13-DPG","CAS:1981-49-3;ChEBI:CHEBI:57604;ChemSpider:19698372;EcoCyc:DPG;HMDB:HMDB01270;IAF1260:13dpg;KEGG LIGAND:C00236;MetaboLights:MTBLC57604;PubChem-compound:46878409;RefMet:3-phospho-D-glyceroyl dihydrogen phosphate",NA
"GDP","SmallMoleculeReference",NA,"CAS:146-91-8;ChEBI:CHEBI:58189;ChemSpider:10239187;EcoCyc:GDP;HMDB:HMDB01201;IAF1260:gdp;KEGG LIGAND:C00035;MetaboLights:MTBLC58189;PubChem-compound:21604868;RefMet:GDP",NA
"FBP","SmallMoleculeReference",NA,"CAS:488-69-7;ChEBI:CHEBI:32966;ChemSpider:4574223;EcoCyc:FRUCTOSE-16-DIPHOSPHATE;HMDB:HMDB01058;IAF1260:fdp;KEGG LIGAND:C00354;PubChem-compound:5460765;Wikipedia:Fructose_1,6-bisphosphate",NA
"keto-D-fructose 6-phosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:57579;DrugBank:DB04493;EcoCyc:CPD-15709;HMDB:HMDB00124;MetaboLights:MTBLC57579;PubChem-compound:21114947;RefMet:Fructose-6-phosphate",NA
"P0A858","ProteinReference","TpiA","Database of Interacting Proteins:DIP-31849N;EcoCyc:TPI-MONOMER;EcoliWiki:b3919;MODBASE:P0A858;Mint:MINT-1228759;NCBI Reference Sequences Database:NP_418354;Pride:P0A858;Protein Model Portal:P0A858;SWISS-MODEL:P0A858;UniProt:P0A858","InterPro:IPR000652;InterPro:IPR013785;InterPro:IPR020861;InterPro:IPR022896;Panther:PTHR21139;Pfam:PF00121;Prosite:PS00171;Prosite:PS51440;Protein Data Bank:1TMH;Protein Data Bank:1TRE"
"P69828","ProteinReference","GatA","Database of Interacting Proteins:DIP-47900N;EcoCyc:GATA-MONOMER;EcoliWiki:b2094;MODBASE:P69828;Mint:MINT-1300341;NCBI Reference Sequences Database:NP_416597;Pride:P69828;Protein Model Portal:P69828;Protein Ontology:PRO_000022753;SWISS-MODEL:P69828;UniProt:P69828","InterPro:IPR002178;InterPro:IPR016152;Pfam:PF00359;Prosite:PS51094"
"H2SO4","SmallMoleculeReference",NA,"CAS:14808-79-8;ChEBI:CHEBI:16189;ChemSpider:1085;EcoCyc:SULFATE;HMDB:HMDB01448;IAF1260:so4;KEGG LIGAND:C00059;MetaboLights:MTBLC16189;PubChem-compound:1117",NA
"F6P","SmallMoleculeReference","F6P","CAS:643-13-0;ChEBI:CHEBI:57634;ChemSpider:10239172;EcoCyc:FRUCTOSE-6P;IAF1260:f6p;PubChem-compound:21604863",NA
"D-tagatofuranose 1,6-diphosphate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58694;EcoCyc:TAGATOSE-1-6-DIPHOSPHATE;HMDB:HMDB06872;IAF1260:tagdp__D;KEGG LIGAND:C03785;MetaboLights:MTBLC58694;PubChem-compound:15043189",NA
