"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-Kdo-(2rarr;6)-lipid IVA","used-to-produce","alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA",NA,NA,"null"
"alpha;-Kdo-(2rarr;6)-lipid IVA","reacts-with","CMP-Kdo",NA,NA,"null"
"alpha;-Kdo-(2rarr;6)-lipid IVA","consumption-controlled-by","P0AC75",NA,"1577828;2651435","null"
"alpha;-Kdo-(2rarr;6)-lipid IVA","used-to-produce","cytidylate",NA,NA,"null"
"alpha;-Kdo-(2rarr;6)-lipid IVA","used-to-produce","hydrogen ion",NA,NA,"null"
"alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA","used-to-produce","(9Z)-hexadec-9-enoyl-Kdo2-lipid IVA",NA,NA,"null"
"alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA","used-to-produce","(Kdo)2-(lauroyl)-lipid IVA",NA,NA,"null"
"alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA","chemical-affects","P0AC75",NA,"1577828;2651435","null"
"alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA","consumption-controlled-by","P0ACV0",NA,"18656959","null"
"alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA","consumption-controlled-by","P0ACV2",NA,"10092655;11830594","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P45395",NA,"12805358;19664604;20039350;5332197","null"
"(9Z)-hexadec-9-enoyl-Kdo2-lipid IVA","used-to-produce","(Kdo)2-lipid A, cold adapted",NA,NA,"null"
"(9Z)-hexadec-9-enoyl-Kdo2-lipid IVA","consumption-controlled-by","P24205",NA,"9099672","null"
"(Kdo)2-(lauroyl)-lipid IVA","consumption-controlled-by","P24205",NA,"9099672","null"
"(Kdo)2-(lauroyl)-lipid IVA","used-to-produce","Re endotoxin",NA,NA,"null"
"2beta;-deoxy Kdo","chemical-affects","P04951",NA,"19815542;21669179;2989246;2997221;3031027","null"
"aldehydo-D-arabinose 5-phosphate","used-to-produce","D-arabinofuranose 5P",NA,NA,"null"
"aldehydo-D-arabinose 5-phosphate","used-to-produce","D-ribulose-5-P",NA,NA,"null"
"CMP-Kdo","used-to-produce","alpha;-Kdo-(2rarr;6)-lipid IVA",NA,NA,"null"
"CMP-Kdo","used-to-produce","alpha;-Kdo-(2->4)-alpha;-Kdo-(2->6)-lipid IVA",NA,NA,"null"
"CMP-Kdo","consumption-controlled-by","P0AC75",NA,"1577828;2651435","null"
"CMP-Kdo","used-to-produce","cytidylate",NA,NA,"null"
"CMP-Kdo","used-to-produce","hydrogen ion",NA,NA,"null"
"CMP-Kdo","reacts-with","lipid IVA",NA,NA,"null"
"Ca++","chemical-affects","P0ABZ4",NA,"12639950;6246070","null"
"Ca++","chemical-affects","P21645",NA,"18422345;8366125","null"
"Cadmium","chemical-affects","P0A715",NA,"10572007;11904225;12718525;15308670;15882071;15979047;6988389;7775423;8223657;8241128;8688430;9819231","null"
"Cadmium","chemical-affects","P0ABZ4",NA,"12639950;6246070","null"
"Cadmium","chemical-affects","P45395",NA,"12805358;19664604;20039350;5332197","null"
"Co++","chemical-affects","P0ABZ4",NA,"12639950","null"
"Cu++","chemical-affects","P0A715",NA,"10572007;11904225;12718525;15308670;15882071;15979047;6988389;7775423;8223657;8241128;8688430;9819231","null"
"Cu++","chemical-affects","P0ABZ4",NA,"12639950;6246070","null"
"D-arabinofuranose 5P","reacts-with","H2O",NA,NA,"null"
"D-arabinofuranose 5P","used-to-produce","KDO-8P",NA,NA,"null"
"D-arabinofuranose 5P","consumption-controlled-by","P0A715",NA,"10572007;11904225;12718525;15308670;15882071;15979047;7775423;8223657;8241128;8688430;9819231","null"
"D-arabinofuranose 5P","used-to-produce","PO43-",NA,NA,"null"
