"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(R)-2-hydroxypropanate","used-to-produce","BTS",NA,NA,"null"
"(R)-2-hydroxypropanate","consumption-controlled-by","P06149",NA,"3013300;4575624;4582730","null"
"(R)-2-hydroxypropanate","used-to-produce","UQH2",NA,NA,"null"
"(R)-2-hydroxypropanate","reacts-with","UQ",NA,NA,"null"
"(S)-1,2-propanediol","reacts-with","DPN-ox",NA,NA,"null"
"(S)-1,2-propanediol","used-to-produce","hydrogen ion",NA,NA,"null"
"(S)-1,2-propanediol","used-to-produce","hydroxyacetone",NA,NA,"null"
"(S)-1,2-propanediol","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"2-hydroxy-3-butynoic acid ethyl ester","chemical-affects","P06149",NA,"3013300;4565667;4575624;4582730","null"
"2-hydroxy-3-butynoic acid ethyl ester","chemical-affects","P33232",NA,"18473;342518;4565667;4595205;8407843","null"
"Cu++","chemical-affects","P0AC84",NA,"17196158;22173092;25670698","null"
"Cu++","chemical-affects","P25553",NA,"3275622;3308886;4310089;6345530","null"
"Cu++","chemical-affects","P75849",NA,"25670698","null"
"DPN-ox","reacts-with","H2O",NA,NA,"null"
"DPN-ox","used-to-produce","L(+)-lactate",NA,NA,"null"
"DPN-ox","consumption-controlled-by","P25553",NA,"3275622;3308886;4310089;6345530","null"
"DPN-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"DPN-ox","used-to-produce","hydroxyacetone",NA,NA,"null"
"DPN-ox","reacts-with","lactald",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"H2O","used-to-produce","(R)-2-hydroxypropanate",NA,NA,"null"
"H2O","used-to-produce","L(+)-lactate",NA,NA,"null"
"H2O","consumption-controlled-by","P0AC84",NA,"17196158;22173092;25670698","null"
"H2O","consumption-controlled-by","P25553",NA,"3275622;3308886;4310089;6345530","null"
"H2O","consumption-controlled-by","P33018",NA,"16567800","null"
"H2O","consumption-controlled-by","P75849",NA,"25670698","null"
"H2O","reacts-with","S-D-lactoylglutathione",NA,NA,"null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"H2O","reacts-with","lactald",NA,NA,"null"
"H2O","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"H2O","used-to-produce","reduced glutathione",NA,NA,"null"
"L(+)-lactate","used-to-produce","BTS",NA,"15911532","null"
"L(+)-lactate","consumption-controlled-by","P33232",NA,"15911532;18473;342518;4595205;8407843","null"
