"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"beta;-NAD(P)+","used-to-produce","gamma;-glutamyl-gamma;-aminobutyrate",NA,NA,"null"
"beta;-NAD(P)+","reacts-with","4-(gamma;-L-glutamylamino)butanal",NA,NA,"null"
"beta;-NAD(P)+","reacts-with","H2O",NA,NA,"null"
"beta;-NAD(P)+","used-to-produce","NAD(P)H",NA,NA,"null"
"beta;-NAD(P)+","consumption-controlled-by","P23883",NA,"15590624","null"
"beta;-NAD(P)+","used-to-produce","hydrogen ion",NA,NA,"null"
"gamma;-glutamyl-gamma;-aminobutyrate","used-to-produce","gamma;-amino-n-butyric acid",NA,NA,"null"
"gamma;-glutamyl-gamma;-aminobutyrate","reacts-with","H2O",NA,NA,"null"
"gamma;-glutamyl-gamma;-aminobutyrate","consumption-controlled-by","P76038",NA,"15590624","null"
"gamma;-glutamyl-gamma;-aminobutyrate","used-to-produce","glu",NA,NA,"null"
"gamma;-glutamylputrescine","used-to-produce","4-(gamma;-L-glutamylamino)butanal",NA,NA,"null"
"gamma;-glutamylputrescine","reacts-with","H2O",NA,NA,"null"
"gamma;-glutamylputrescine","used-to-produce","NH4+",NA,NA,"null"
"gamma;-glutamylputrescine","reacts-with","O2",NA,NA,"null"
"gamma;-glutamylputrescine","consumption-controlled-by","P37906",NA,"15590624;22636776","null"
"gamma;-glutamylputrescine","used-to-produce","perhydrol",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","ABAL",NA,NA,"null"
"2-oxopentanedionic acid","consumption-controlled-by","P42588",NA,"12617754;22636776;3510672","null"
"2-oxopentanedionic acid","reacts-with","diaminobutane",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","used-to-produce","gamma;-glutamyl-gamma;-aminobutyrate",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","reacts-with","H2O",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","used-to-produce","NAD(P)H",NA,NA,"null"
"4-(gamma;-L-glutamylamino)butanal","consumption-controlled-by","P23883",NA,"15590624","null"
"4-(gamma;-L-glutamylamino)butanal","used-to-produce","hydrogen ion",NA,NA,"null"
"ABAL","used-to-produce","gamma;-amino-n-butyric acid",NA,NA,"null"
"ABAL","used-to-produce","1-pyrroline",NA,NA,"null"
"ABAL","reacts-with","DPN-ox",NA,NA,"null"
"ABAL","reacts-with","H2O",NA,NA,"null"
"ABAL","used-to-produce","H2O",NA,NA,"null"
"ABAL","consumption-controlled-by","P23883",NA,"22636776","null"
