"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-methyl-DL-aspartate","chemical-affects","P00509",NA,"11736651;352693;7798192","null"
"(2R,3R,6S)-3-fluoro-2,6-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2R,3S,6S)-2,6-diamino-3-hydroxy-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2R,3S,6S)-3-fluoro-2,6-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2S,3R,6S)-2,6-diamino-3-hydroxydiaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2S,3R,6S)-3-fluoro-2,6-diaminopimelic acid","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(2S,3S,6S)-3-fluoro-2,6-diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013","null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","used-to-produce","beta;-NAD(P)+",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","used-to-produce","(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","used-to-produce","H2O",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","reacts-with","NAD(P)H",NA,NA,"null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","consumption-controlled-by","P04036",NA,"18710263;20503968;6094578;7893644;8873595","null"
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","reacts-with","hydrogen ion",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","used-to-produce","CoA",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","reacts-with","H2O",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","consumption-controlled-by","P0A9D8",NA,"6365916","null"
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate","reacts-with","succinyl-coenzyme A",NA,NA,"null"
"2,3-dimercaptopropan-1-ol","chemical-affects","P00861",NA,"10625645;11856852;14343156;25986217;26921318","null"
"2-(4-amino-4-carboxybutyl)aziridine-2-carboxylate","chemical-affects","P0A6K1",NA,"2197412;2689171;3031013","null"
"2-aminoheptanedioic acid","chemical-affects","P00861",NA,"10625645;11856852;14343156;25986217;26921318","null"
"2-aminoprop-2-enoate","used-to-produce","2-iminopropanoate",NA,NA,"null"
"2-chloro-L-alanine","chemical-affects","P00547",NA,"11368768;177283;4364023;6097184;8660667;8973190","null"
"2-iminopropanoate","used-to-produce","BTS",NA,NA,"null"
"2-iminopropanoate","reacts-with","H2O",NA,NA,"null"
"2-iminopropanoate","used-to-produce","NH4+",NA,NA,"null"
"2-methylmethionine","chemical-affects","P07623",NA,"10572016","null"
"2-oxoheptanedionic acid","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"2-oxopentanedionic acid","reacts-with","N-succinyl-L-2,6-diaminoheptanedioate",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"2-oxopentanedionic acid","chemical-affects","P18335",NA,"10074354;13734750","null"
"2-oxopentanedionic acid","reacts-with","asp",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"3-bromo-2-oxopropanoic acid","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"3-chlorodiaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013;3056252","null"
"4-methylene diaminopimelate","chemical-affects","P0A6K1",NA,"2689171;3031013;3042781","null"
"4-phospho-L-aspartate","used-to-produce","L-aspartate-4-semialdehyde",NA,NA,"null"
"4-phospho-L-aspartate","used-to-produce","NADP-ox",NA,NA,"null"
"4-phospho-L-aspartate","reacts-with","NADPH",NA,NA,"null"
"4-phospho-L-aspartate","consumption-controlled-by","P0A9Q9",NA,"14726201","null"
"4-phospho-L-aspartate","used-to-produce","PO43-",NA,NA,"null"
"4-phospho-L-aspartate","reacts-with","hydrogen ion",NA,NA,"null"
"4-phosphonooxy-L-threonine","chemical-affects","P00934",NA,"11368768;6150934;6316258;7902068;7907888","null"
"4-thialysine","chemical-affects","P08660",NA,"11368768;14623187;6249791;8290655","null"
"4-thialysine","chemical-affects","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"5,6,7,8-tetrahydrofolic acid","chemical-affects","P13009",NA,"2271698;2668277;9201956","null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P0A9Q9",NA,"14726201","null"
"5-methyl-tetrahydropteroyl-alpha;-glutamylglutamate","chemical-affects","P25665",NA,"4904482","null"
"N-succinyl-L-2,6-diaminoheptanedioate","reacts-with","H2O",NA,NA,"null"
"N-succinyl-L-2,6-diaminoheptanedioate","used-to-produce","L,L-DAP",NA,NA,"null"
"N-succinyl-L-2,6-diaminoheptanedioate","used-to-produce","N-Succinyl-2-L-amino-6-oxoheptanedioate",NA,NA,"null"
"N-succinyl-L-2,6-diaminoheptanedioate","consumption-controlled-by","P0AED7",NA,"3276674","null"
"N-succinyl-L-2,6-diaminoheptanedioate","used-to-produce","glu",NA,NA,"null"
"N-succinyl-L-2,6-diaminoheptanedioate","used-to-produce","suc",NA,NA,"null"
"N5-methyl--H4PteGlu3","consumption-controlled-by","P25665",NA,"4904482","null"
"N5-methyl--H4PteGlu3","reacts-with","homocysteine",NA,NA,"null"
"N5-methyl--H4PteGlu3","used-to-produce","met",NA,NA,"null"
"N5-methyl--H4PteGlu3","used-to-produce","tetrahydropteroyl tri-L-glutamate",NA,NA,"null"
"BTS","used-to-produce","(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate",NA,NA,"null"
"BTS","used-to-produce","H2O",NA,NA,"null"
"BTS","reacts-with","L-aspartate-4-semialdehyde",NA,NA,"null"
"BTS","consumption-controlled-by","P0A6L2",NA,"14580236;1463470;15066435;15194235;15686899;18787203;20025926;20503968;22386717;3514578;7832769;8993314;9048556","null"
"BTS","used-to-produce","hydrogen ion",NA,NA,"null"
"Co++","chemical-affects","P0A9D8",NA,"6365916","null"
"Cu++","chemical-affects","P0A9D8",NA,"6365916","null"
