"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-D-ribose 1,5-bisphosphate","consumption-controlled-by","P16690",NA,"12700258","null"
"alpha;-D-ribose 1,5-bisphosphate","used-to-produce","PRPP",NA,NA,"null"
"alpha;-D-ribose 1,5-bisphosphate","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"alpha;-D-ribose 1,5-bisphosphate","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"alpha;-D-ribose-1P","used-to-produce","alpha;-D-ribose 1,5-bisphosphate",NA,NA,"null"
"alpha;-D-ribose-1P","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"alpha;-D-ribose-1P","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"alpha;-D-ribose-1P","used-to-produce","hydrogen ion",NA,NA,"null"
"alpha;-D-ribose-1P","used-to-produce","ribose-5P",NA,NA,"null"
"alpha;-dinitrophenol","chemical-affects","P60757",NA,"1204631;165751","null"
"beta; gamma;-methylene-ATP","chemical-affects","P15640",NA,"2182115","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P04079",NA,"189701;23841499;24434004;9890911","null"
"(9-D-ribosylxanthine) 5'-phosphate","reacts-with","H2O",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","consumption-controlled-by","P04079",NA,"23841499;24434004;9890911","null"
"(9-D-ribosylxanthine) 5'-phosphate","chemical-affects","P0AG16",NA,"372191","null"
"(9-D-ribosylxanthine) 5'-phosphate","used-to-produce","PP",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","used-to-produce","adenosine-monophosphate",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","reacts-with","gln",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","used-to-produce","glu",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","used-to-produce","guanylic acid",NA,NA,"null"
"(9-D-ribosylxanthine) 5'-phosphate","used-to-produce","hydrogen ion",NA,NA,"null"
"2'-deoxyadenosine triphosphate","chemical-affects","P28903",NA,"7568012;7929317","null"
"2'-deoxyadenosine-5'-diphosphate","used-to-produce","2'-deoxyadenosine triphosphate",NA,NA,"null"
"2'-deoxyadenosine-5'-diphosphate","consumption-controlled-by","P0A763",NA,"4364654","null"
"2'-deoxyadenosine-5'-diphosphate","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"2'-deoxyadenosine-5'-diphosphate","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"2'-deoxyguanosine-5'-triphosphate","chemical-affects","P28903",NA,"7929317","null"
"2'-deoxyguanosine-5'-triphosphate","chemical-affects","P60546",NA,"5333666;8390989","null"
"2-thiouridine 5'-triphosphate","chemical-affects","P0A7E5",NA,"2532543;6751817","null"
"3'-O-(4-benzoyl)-benzoic-adenosine 5'-triphosphate","chemical-affects","P69441",NA,"1748642;19029291;2223775;2223776;2542263;2844237;3016722;3027060;6086608;6259132;6311616;6313692;8955362","null"
"3-azaniumylpropanoate","chemical-affects","P15640",NA,"2182115","null"
"3-bromo-2-oxopropanoic acid","chemical-affects","P04079",NA,"189701;23841499;24434004;9890911","null"
"3-deaza-GMP","chemical-affects","P0ADG7",NA,"1033766;44191","null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P04079",NA,"189701;23841499;24434004;9890911","null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","used-to-produce","AICAR",NA,NA,"null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","consumption-controlled-by","P60595",NA,"8494895","null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","consumption-controlled-by","P60664",NA,"8494895","null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","used-to-produce","erythro-imidazole-glycerol-phosphate",NA,NA,"null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","reacts-with","gln",NA,NA,"null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","used-to-produce","glu",NA,NA,"null"
"5-[(5-phospho-1-deoxy-beta;-D-ribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide","used-to-produce","hydrogen ion",NA,NA,"null"
"5-phosphoribosyl-ATP","reacts-with","H2O",NA,NA,"null"
"5-phosphoribosyl-ATP","used-to-produce","N1-(5-phospho-D-ribosyl)-AMP",NA,NA,"null"
"5-phosphoribosyl-ATP","consumption-controlled-by","P06989",NA,"14342333;7037745","null"
"5-phosphoribosyl-ATP","reacts-with","PP",NA,NA,"null"
"5-phosphoribosyl-ATP","used-to-produce","PP",NA,NA,"null"
"5-phosphoribosyl-ATP","used-to-produce","PRPP",NA,NA,"null"
"5-phosphoribosyl-ATP","used-to-produce","adenosine-5'-triphosphate",NA,NA,"null"
"5-phosphoribosyl-ATP","used-to-produce","hydrogen ion",NA,NA,"null"
"5-phosphoribosylamine","used-to-produce","GAR",NA,NA,"null"
"5-phosphoribosylamine","chemical-affects","P15640",NA,"2182115","null"
"5-phosphoribosylamine","consumption-controlled-by","P15640",NA,"2182115","null"
"5-phosphoribosylamine","used-to-produce","PO43-",NA,NA,"null"
"5-phosphoribosylamine","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
"5-phosphoribosylamine","used-to-produce","adenosine-5-diphosphate",NA,NA,"null"
"5-phosphoribosylamine","reacts-with","gly",NA,NA,"null"
"5-phosphoribosylamine","used-to-produce","hydrogen ion",NA,NA,"null"
"6-diazo-5-oxo-norvaline","chemical-affects","P00968",NA,"1737023","null"
"6-diazo-5-oxo-norvaline","chemical-affects","P0A6F1",NA,"1737023","null"
"6-phosphonouridine 5'-monophosphate","chemical-affects","P08244",NA,"20424759;2956254;6355062","null"
"9-D-psicofuranosyl-6-aminopurine","chemical-affects","P04079",NA,"189701;235520;23841499;24434004;3907701;9890911","null"
"N2-OH-GMP","chemical-affects","P04079",NA,"23841499;24434004;9890911","null"
