"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"dGDP","SmallMoleculeReference",NA,"CAS:102783-74-4;ChEBI:CHEBI:58595;EcoCyc:DGDP;HMDB:HMDB00960;IAF1260:dgdp;KEGG LIGAND:C00361;MetaboLights:MTBLC58595;PubChem-compound:25245673;RefMet:dGDP",NA
"alpha;-dinitrophenol","SmallMoleculeReference",NA,"CAS:51-28-5;ChEBI:CHEBI:84561;ChemSpider:146880;DrugBank:DB04528;EcoCyc:CPD-8179;KEGG LIGAND:C02496;PubChem-compound:167909;RefMet:2,4-dinitrophenol",NA
"carbamoyl-P","SmallMoleculeReference",NA,"CAS:590-55-6;ChEBI:CHEBI:58228;ChemSpider:2666990;EcoCyc:CARBAMOYL-P;HMDB:HMDB01096;IAF1260:cbp;KEGG LIGAND:C00169;MetaboLights:MTBLC58228;PubChem-compound:3423467",NA
"histidinal","SmallMoleculeReference",NA,"ChEBI:CHEBI:64802;EcoCyc:HISTIDINAL;HMDB:HMDB12234;KEGG LIGAND:C01929;PubChem-compound:57339283;RefMet:Histidinal",NA
"L-histidinol","SmallMoleculeReference",NA,"CAS:501-28-0;ChEBI:CHEBI:57699;EcoCyc:HISTIDINOL;HMDB:HMDB03431;IAF1260:histd;KEGG LIGAND:C00860;KNApSAcK:C00007479;PubChem-compound:6950298;RefMet:L-Histidinol",NA
"P15254","ProteinReference","PurL","Database of Interacting Proteins:DIP-10614N;EcoCyc:FGAMSYN-MONOMER;EcoliWiki:b2557;MODBASE:P15254;Mint:MINT-1262623;NCBI Reference Sequences Database:YP_026170;Pride:P15254;Protein Model Portal:P15254;SWISS-MODEL:P15254;Swiss-Model:P15254;UniProt:P15254","InterPro:IPR010073;InterPro:IPR010918;InterPro:IPR016188;InterPro:IPR017926;InterPro:IPR029062;Panther:PTHR10099:SF7;Pfam:PF02769;Prosite:PS51273"
"GDP","SmallMoleculeReference",NA,"CAS:146-91-8;ChEBI:CHEBI:58189;ChemSpider:10239187;EcoCyc:GDP;HMDB:HMDB01201;IAF1260:gdp;KEGG LIGAND:C00035;MetaboLights:MTBLC58189;PubChem-compound:21604868;RefMet:GDP",NA
"CAIR","SmallMoleculeReference","CAIR","ChEBI:CHEBI:58564;EcoCyc:PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE;HMDB:HMDB06273;IAF1260:5aizc;KEGG LIGAND:C04751;MetaboLights:MTBLC58564;PubChem-compound:24916886",NA
"formic acid","SmallMoleculeReference",NA,"CAS:64-18-6;ChEBI:CHEBI:15740;ChemSpider:277;EcoCyc:FORMATE;HMDB:HMDB00142;IAF1260:for;KEGG LIGAND:C00058;MetaboLights:MTBLC15740;PubChem-compound:283;RefMet:Formic acid",NA
"THF(glu)n","SmallMoleculeReference",NA,"EcoCyc:THF-GLU-N;KEGG LIGAND:C03541;PubChem-compound:25202940",NA
"DON","SmallMoleculeReference",NA,"CAS:764-17-0;EcoCyc:CPD0-1627;PubChem-compound:25246179",NA
"N2-OH-GMP","SmallMoleculeReference",NA,"EcoCyc:CPD0-1035;PubChem-compound:44123574",NA
"orotidine 5'-phosphate","SmallMoleculeReference",NA,"CAS:2149-82-8;ChEBI:CHEBI:57538;EcoCyc:OROTIDINE-5-PHOSPHATE;HMDB:HMDB00218;IAF1260:orot5p;KEGG LIGAND:C01103;MetaboLights:MTBLC57538;PubChem-compound:46878393;RefMet:Orotidylic acid",NA
"orotate","SmallMoleculeReference",NA,"CAS:65-86-1;ChEBI:CHEBI:30839;EcoCyc:OROTATE;HMDB:HMDB00226;IAF1260:orot;KEGG LIGAND:C00295;MetaboLights:MTBLC30839;PubChem-compound:1492348;RefMet:Orotic acid",NA
"Ap5A","SmallMoleculeReference","Ap5A","ChEBI:CHEBI:62041;EcoCyc:CPD0-1137;IAF1260:ap5a;KEGG LIGAND:C04058;PubChem-compound:45479437",NA
"ribavirin-5'-monophosphate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1492;PubChem-compound:25245443",NA
"P0A6F1","ProteinReference","CarA","Database of Interacting Proteins:DIP-35412N;EcoCyc:CARBPSYN-SMALL;EcoliWiki:b0032;MODBASE:P0A6F1;NCBI Reference Sequences Database:NP_414573;Pride:P0A6F1;Protein Model Portal:P0A6F1;Protein Ontology:PRO_000022247;SWISS-MODEL:P0A6F1;UniProt:P0A6F1","InterPro:IPR002474;InterPro:IPR006274;InterPro:IPR017926;InterPro:IPR029062;InterPro:IPR035686;Pfam:PF00117;Pfam:PF00988;Prosite:PS51273;Protein Data Bank:1A9X;Protein Data Bank:1BXR;Protein Data Bank:1C30;Protein Data Bank:1C3O;Protein Data Bank:1CE8;Protein Data Bank:1CS0;Protein Data Bank:1JDB;Protein Data Bank:1KEE;Protein Data Bank:1M6V;Protein Data Bank:1T36;Smart:SM01097"
"gln","SmallMoleculeReference","gln","CAS:56-85-9;ChEBI:CHEBI:58359;EcoCyc:GLN;HMDB:HMDB00641;IAF1260:gln__L;KEGG LIGAND:C00064;MetaboLights:MTBLC58359;PubChem-compound:6992086;RefMet:Glutamine",NA
