"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-D-ribose-1P","used-to-produce","PO43-",NA,NA,"null"
"alpha;-D-ribose-1P","reacts-with","hypoxanthine",NA,NA,"null"
"alpha;-D-ribose-1P","used-to-produce","inosine",NA,NA,"null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P22333",NA,"357905","null"
"DPN-ox","used-to-produce","2,6,8-trioxypurine",NA,NA,"null"
"DPN-ox","reacts-with","H2O",NA,NA,"null"
"DPN-ox","consumption-controlled-by","Q46799",NA,"10986234","null"
"DPN-ox","consumption-controlled-by","Q46800",NA,"10986234","null"
"DPN-ox","consumption-controlled-by","Q46801",NA,"10986234","null"
"DPN-ox","used-to-produce","hydrogen ion",NA,NA,"null"
"DPN-ox","reacts-with","hypoxanthine",NA,NA,"null"
"DPN-ox","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"DPN-ox","reacts-with","xanthine",NA,NA,"null"
"DPN-ox","used-to-produce","xanthine",NA,NA,"null"
"H2O","used-to-produce","2,6,8-trioxypurine",NA,NA,"null"
"H2O","used-to-produce","NH4+",NA,NA,"null"
"H2O","consumption-controlled-by","P00634",NA,"13906598","null"
"H2O","consumption-controlled-by","P22333",NA,"357905","null"
"H2O","used-to-produce","PO43-",NA,NA,"null"
"H2O","consumption-controlled-by","Q46799",NA,"10986234","null"
"H2O","consumption-controlled-by","Q46800",NA,"10986234","null"
"H2O","consumption-controlled-by","Q46801",NA,"10986234","null"
"H2O","reacts-with","adenosine-monophosphate",NA,NA,"null"
"H2O","reacts-with","adenosine",NA,NA,"null"
"H2O","used-to-produce","adenosine",NA,NA,"null"
"H2O","reacts-with","hydrogen ion",NA,NA,"null"
"H2O","used-to-produce","hydrogen ion",NA,NA,"null"
"H2O","reacts-with","hypoxanthine",NA,NA,"null"
"H2O","used-to-produce","inosine",NA,NA,"null"
"H2O","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
