"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(S)-malic acid","reacts-with","DPN-ox",NA,NA,"null"
"(S)-malic acid","used-to-produce","H2O",NA,NA,"null"
"(S)-malic acid","consumption-controlled-by","P33940",NA,"11092847;368072","null"
"(S)-malic acid","consumption-controlled-by","P61889",NA,"2993232","null"
"(S)-malic acid","used-to-produce","an electron-transfer quinol",NA,NA,"null"
"(S)-malic acid","reacts-with","an electron-transfer quinone",NA,NA,"null"
"(S)-malic acid","used-to-produce","fumaric acid",NA,NA,"null"
"(S)-malic acid","used-to-produce","hydrogen ion",NA,NA,"null"
"(S)-malic acid","used-to-produce","keto-oxaloacetate",NA,NA,"null"
"(S)-malic acid","used-to-produce","nicotinamide adenine dinucleotide reduced",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","used-to-produce","2-hydroxy-1,2,3-propanetricarboxylic acid",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","reacts-with","H2O",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","used-to-produce","I-CIT",NA,NA,"null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","chemical-affects","P0A9G6",NA,"15470117;3291954","null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"(Z)-prop-1-ene-1,2,3-tricarboxylate","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate","chemical-affects","P33940",NA,"11092847;368072","null"
"1-phosphatidylglycerol","chemical-affects","P33940",NA,"11092847;368072","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","used-to-produce","(Z)-prop-1-ene-1,2,3-tricarboxylate",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","used-to-produce","H2O",NA,NA,"null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","chemical-affects","P05042",NA,"14990798;3282546;8496960;8909293","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","consumption-controlled-by","P25516",NA,"10585860;19116142;7588761","null"
"2-hydroxy-1,2,3-propanetricarboxylic acid","consumption-controlled-by","P36683",NA,"10585860;19116142;8932712","null"
"2-hydroxy-3-nitropropionate","chemical-affects","P0AC33",NA,"1329945;23405168;3282546;8203917;8226748;8422384","null"
"2-oxopentanedionic acid","reacts-with","CoA",NA,NA,"null"
"2-oxopentanedionic acid","reacts-with","DPN-ox",NA,NA,"null"
"2-oxopentanedionic acid","chemical-affects","P0A9G6",NA,"15470117;3281659;3291954","null"
"2-oxopentanedionic acid","consumption-controlled-by","P0A9P0",NA,"4588679","null"
"2-oxopentanedionic acid","chemical-affects","P0ABH7",NA,"3276685;3333000;3889909","null"
