"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","1-deoxy-D-threo-pentulose 5-phosphate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","BTS",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","consumption-controlled-by","P77488",NA,"10648511;11520037;12597635;21878632;23824585;9371765;9482846","null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","carbon dioxide",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","hydrogen ion",NA,NA,"null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P0AGG0",NA,"4567662;6284709","null"
"1-deoxy-D-threo-pentulose 5-phosphate","used-to-produce","2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",NA,NA,"null"
"1-deoxy-D-threo-pentulose 5-phosphate","used-to-produce","H2O",NA,NA,"null"
"1-deoxy-D-threo-pentulose 5-phosphate","consumption-controlled-by","P30139",NA,"14757766;17403671","null"
"1-deoxy-D-threo-pentulose 5-phosphate","reacts-with","iminoacetate",NA,NA,"null"
"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","reacts-with","HMP-PP",NA,NA,"null"
"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","consumption-controlled-by","P30137",NA,NA,"null"
"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","used-to-produce","PP",NA,NA,"null"
"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","used-to-produce","carbon dioxide",NA,NA,"null"
"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","reacts-with","hydrogen ion",NA,NA,"null"
"2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","used-to-produce","thiamin monophosphate",NA,NA,"null"
"2-[1-[(4-amino-2-methylpyrimidin-5-yl)methyl]-2-methylpyridin-1-ium-3-yl]ethyl phosphono hydrogen phosphate","chemical-affects","P0AGG0",NA,"4567662;6284709","null"
"AIR","used-to-produce","CH3Ado",NA,NA,"null"
"AIR","used-to-produce","CO",NA,NA,"null"
"AIR","used-to-produce","HMP-P",NA,NA,"null"
"AIR","consumption-controlled-by","P30136",NA,"15326535","null"
"AIR","reacts-with","SAM",NA,NA,"null"
"AIR","used-to-produce","formic acid",NA,NA,"null"
"AIR","used-to-produce","hydrogen ion",NA,NA,"null"
"AIR","used-to-produce","met",NA,NA,"null"
"BTS","used-to-produce","1-deoxy-D-threo-pentulose 5-phosphate",NA,NA,"null"
"BTS","consumption-controlled-by","P77488",NA,"10648511;11520037;12597635;21878632;23824585;9371765;9482846","null"
"BTS","used-to-produce","carbon dioxide",NA,NA,"null"
"BTS","reacts-with","hydrogen ion",NA,NA,"null"
"HMP-P","used-to-produce","HMP-PP",NA,NA,"null"
"HMP-P","consumption-controlled-by","P76422",NA,"10075431","null"
"HMP-PP","consumption-controlled-by","P30137",NA,NA,"null"
"HMP-PP","used-to-produce","PP",NA,NA,"null"
"HMP-PP","used-to-produce","carbon dioxide",NA,NA,"null"
"HMP-PP","reacts-with","hydrogen ion",NA,NA,"null"
"HMP-PP","used-to-produce","thiamin monophosphate",NA,NA,"null"
"HMP-P","reacts-with","adenosine-5'-triphosphate",NA,NA,"null"
