"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-ketobutyrate","used-to-produce","(S)-2-aceto-2-hydroxy-butyrate",NA,NA,"null"
"alpha;-ketobutyrate","reacts-with","BTS",NA,NA,"null"
"alpha;-ketobutyrate","reacts-with","CoA",NA,NA,"null"
"alpha;-ketobutyrate","consumption-controlled-by","P00893",NA,"2675968","null"
"alpha;-ketobutyrate","consumption-controlled-by","P00894",NA,"2675968","null"
"alpha;-ketobutyrate","consumption-controlled-by","P08142",NA,"370104","null"
"alpha;-ketobutyrate","consumption-controlled-by","P09373",NA,"9484901","null"
"alpha;-ketobutyrate","consumption-controlled-by","P0ADF8",NA,"370104","null"
"alpha;-ketobutyrate","consumption-controlled-by","P0ADG1",NA,"9581571","null"
"alpha;-ketobutyrate","consumption-controlled-by","P0DP89",NA,"9581571","null"
"alpha;-ketobutyrate","consumption-controlled-by","P42632",NA,"9484901;9657990","null"
"alpha;-ketobutyrate","used-to-produce","carbon dioxide",NA,NA,"null"
"alpha;-ketobutyrate","used-to-produce","formic acid",NA,NA,"null"
"alpha;-ketobutyrate","reacts-with","hydrogen ion",NA,NA,"null"
"alpha;-ketobutyrate","used-to-produce","n-propionyl-CoA",NA,NA,"null"
"(2Z)-2-aminobut-2-enoate","used-to-produce","2-iminobutanoate",NA,NA,"null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P05791",NA,"13727223","null"
"(R)-2,3-dihydroxy-3-methylvalerate","used-to-produce","2-oxo-3-methylpentanoate",NA,NA,"null"
"(R)-2,3-dihydroxy-3-methylvalerate","used-to-produce","H2O",NA,NA,"null"
"(R)-2,3-dihydroxy-3-methylvalerate","consumption-controlled-by","P05791",NA,"13727223","null"
"(S)-2-aceto-2-hydroxy-butyrate","used-to-produce","(R)-2,3-dihydroxy-3-methylvalerate",NA,NA,"null"
"(S)-2-aceto-2-hydroxy-butyrate","used-to-produce","NADP-ox",NA,NA,"null"
"(S)-2-aceto-2-hydroxy-butyrate","reacts-with","NADPH",NA,NA,"null"
"(S)-2-aceto-2-hydroxy-butyrate","consumption-controlled-by","P05793",NA,"13759955;2189496;4562389","null"
"(S)-2-aceto-2-hydroxy-butyrate","reacts-with","hydrogen ion",NA,NA,"null"
"1,2-dioxocyclohexane","chemical-affects","P07913",NA,"22411989;2681195;6780553","null"
"1,2-dioxocyclohexane","chemical-affects","P0AB77",NA,"1444446;3117785;8407827","null"
"2,3-pentane-dione","chemical-affects","P07913",NA,"22411989;2681195;6780553","null"
"2-(4-oxaldehydoylphenoxy)acetic acid","chemical-affects","P0AB77",NA,"1444446;3117785;8407827","null"
"2-iminobutanoate","used-to-produce","alpha;-ketobutyrate",NA,NA,"null"
"2-iminobutanoate","reacts-with","H2O",NA,NA,"null"
"2-iminobutanoate","used-to-produce","NH4+",NA,NA,"null"
"2-iminobutanoate","reacts-with","hydrogen ion",NA,NA,"null"
"2-mercaptoethanol","chemical-affects","P07913",NA,"22411989;6780553","null"
"2-oxo-3-methylpentanoate","used-to-produce","2-oxopentanedionic acid",NA,NA,"null"
"2-oxo-3-methylpentanoate","consumption-controlled-by","P0AB80",NA,"378964","null"
"2-oxo-3-methylpentanoate","reacts-with","glu",NA,NA,"null"
"2-oxo-3-methylpentanoate","used-to-produce","ile",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","2-oxo-3-methylpentanoate",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"2-oxopentanedionic acid","reacts-with","ile",NA,NA,"null"
"3-pyridinecarboxaldehyde adenine dinucleotide","chemical-affects","P0A9Q7",NA,"10612730;10922373;6752127;7034777","null"
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","chemical-affects","P07913",NA,"22411989;6780553","null"
"p-mercuribenzoate","chemical-affects","P07913",NA,"22411989;6780553","null"
"ADP-D-ribose","chemical-affects","P0A9Q7",NA,"10612730;10922373;6752127;7034777","null"
"Ag+2","chemical-affects","P07913",NA,"22411989;3518793;6780553","null"
"BTS","used-to-produce","(S)-2-aceto-2-hydroxy-butyrate",NA,NA,"null"
"BTS","consumption-controlled-by","P00893",NA,"2675968","null"
"BTS","consumption-controlled-by","P00894",NA,"2675968","null"
"BTS","consumption-controlled-by","P08142",NA,"370104","null"
"BTS","consumption-controlled-by","P0ADF8",NA,"370104","null"
"BTS","consumption-controlled-by","P0ADG1",NA,"9581571","null"
"BTS","consumption-controlled-by","P0DP89",NA,"9581571","null"
"BTS","used-to-produce","carbon dioxide",NA,NA,"null"
"BTS","reacts-with","hydrogen ion",NA,NA,"null"
"Be++","chemical-affects","P07913",NA,"22411989;3518793;6780553","null"
"Cadmium","chemical-affects","P07913",NA,"22411989;3056527;6780553","null"
"Cadmium","chemical-affects","P0AB77",NA,"3117785;8407827","null"
"CoA","reacts-with","DPN-ox",NA,NA,"null"
"CoA","reacts-with","L-2-amino-acetoacetate",NA,NA,"null"
"CoA","consumption-controlled-by","P09373",NA,"9484901","null"
"CoA","consumption-controlled-by","P0A9Q7",NA,"10612730;10922373;6752127","null"
"CoA","chemical-affects","P0AB77",NA,"3117785;8407827","null"
"CoA","consumption-controlled-by","P0AB77",NA,"3117785;8407827","null"
"CoA","consumption-controlled-by","P42632",NA,"9484901;9657990","null"
"CoA","consumption-controlled-by","P77580",NA,"23237860;9098055","null"
"CoA","reacts-with","acetic aldehyde",NA,NA,"null"
"CoA","used-to-produce","acetyl coenzyme-A",NA,NA,"null"
"CoA","used-to-produce","formic acid",NA,NA,"null"
"CoA","used-to-produce","gly",NA,NA,"null"
"CoA","used-to-produce","hydrogen ion",NA,NA,"null"
