"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","used-to-produce","C1-(3-Indolyl)-glycerol 3-phosphate",NA,NA,"null"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","reacts-with","indole",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","C1-(3-Indolyl)-glycerol 3-phosphate",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","H2O",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","consumption-controlled-by","P00909",NA,"5332729","null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","used-to-produce","carbon dioxide",NA,NA,"null"
"1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate","reacts-with","hydrogen ion",NA,NA,"null"
"2-aminobenzoic acid","used-to-produce","5'-P-ribosyl-anthranilate",NA,NA,"null"
"2-aminobenzoic acid","consumption-controlled-by","P00904",NA,"2428387","null"
"2-aminobenzoic acid","chemical-affects","P00909",NA,"5332729","null"
"2-aminobenzoic acid","used-to-produce","PP",NA,NA,"null"
"2-aminobenzoic acid","reacts-with","PRPP",NA,NA,"null"
"3 -methylanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"4 - methylanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"5 - methylanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"5'-P-ribosyl-anthranilate","used-to-produce","1-(o-carboxyphenylamino)-1'-deoxyribulose 5'-phosphate",NA,NA,"null"
"5'-P-ribosyl-anthranilate","consumption-controlled-by","P00909",NA,"4865047;7727401","null"
"5-fluoroanthranilic acid","chemical-affects","P00909",NA,"5332729","null"
"7-methyl-L-tryptophan","chemical-affects","P00895",NA,"4886289;4904235","null"
"7-methyl-L-tryptophan","chemical-affects","P00904",NA,"4886289;4904235","null"
