"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"2-trans,6-trans-farnesyl diphosphate","reacts-with","IPP",NA,NA,"null"
"2-trans,6-trans-farnesyl diphosphate","consumption-controlled-by","P0AD57",NA,"11825609;3519603","null"
"2-trans,6-trans-farnesyl diphosphate","used-to-produce","PP",NA,NA,"null"
"2-trans,6-trans-farnesyl diphosphate","used-to-produce","octaprenyl diphosphate",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","reacts-with","A(H2)",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","used-to-produce","A",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","used-to-produce","H2O",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","reacts-with","O2",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","used-to-produce","OMHMB",NA,NA,"null"
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol","consumption-controlled-by","P75728",NA,"10802164;4323297","null"
"2-octaprenyl-6-methoxyhydroquinone","used-to-produce","2-octaprenyl-3-methyl-6-methoxy-1,4-benzenediol",NA,NA,"null"
"2-octaprenyl-6-methoxyhydroquinone","consumption-controlled-by","P0A887",NA,"9045837","null"
"2-octaprenyl-6-methoxyhydroquinone","used-to-produce","SAH",NA,NA,"null"
"2-octaprenyl-6-methoxyhydroquinone","reacts-with","SAM",NA,NA,"null"
"2-octaprenyl-6-methoxyhydroquinone","used-to-produce","hydrogen ion",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","used-to-produce","2-octaprenyl-6-methoxyhydroquinone",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","used-to-produce","H2O",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","used-to-produce","NADP-ox",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","reacts-with","NADPH",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","reacts-with","O2",NA,NA,"null"
"2-octaprenyl-6-methoxyphenol","consumption-controlled-by","P25534",NA,"4572721","null"
"2-octaprenyl-6-methoxyphenol","reacts-with","hydrogen ion",NA,NA,"null"
"2-octaprenylphenol","used-to-produce","3-(all-trans-octaprenyl)benzene-1,2-diol",NA,NA,"null"
"2-octaprenylphenol","used-to-produce","H2O",NA,NA,"null"
"2-octaprenylphenol","used-to-produce","NADP-ox",NA,NA,"null"
"2-octaprenylphenol","reacts-with","NADPH",NA,NA,"null"
"2-octaprenylphenol","reacts-with","O2",NA,NA,"null"
"2-octaprenylphenol","consumption-controlled-by","P25535",NA,"23709220","null"
"2-octaprenylphenol","reacts-with","hydrogen ion",NA,NA,"null"
