"PARTICIPANT_A","INTERACTION_TYPE","PARTICIPANT_B","INTERACTION_DATA_SOURCE","INTERACTION_PUBMED_ID","PATHWAY_NAMES"
"alpha;-acetolactate","used-to-produce","(2R)-2,3-dihydroxy-3-methylbutanoate",NA,NA,"null"
"alpha;-acetolactate","used-to-produce","NADP-ox",NA,NA,"null"
"alpha;-acetolactate","reacts-with","NADPH",NA,NA,"null"
"alpha;-acetolactate","consumption-controlled-by","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"alpha;-acetolactate","reacts-with","hydrogen ion",NA,NA,"null"
"alpha;-ketobutyrate","chemical-affects","P08142",NA,"16326011","null"
"alpha;-ketobutyrate","chemical-affects","P0ADF8",NA,"16326011","null"
"(2R)-2,3-dihydroxy-3-methylbutanoate","used-to-produce","3-methyl-2-oxobutanoate",NA,NA,"null"
"(2R)-2,3-dihydroxy-3-methylbutanoate","used-to-produce","H2O",NA,NA,"null"
"(2R)-2,3-dihydroxy-3-methylbutanoate","consumption-controlled-by","P05791",NA,"8325851","null"
"(4-carboxyphenyl)-chloro-mercury","chemical-affects","P05791",NA,"13727223;8325851","null"
"2,3-dihydroxy-isovalerate","chemical-affects","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"2-oxopentanedionic acid","used-to-produce","3-methyl-2-oxobutanoate",NA,NA,"null"
"2-oxopentanedionic acid","used-to-produce","glu",NA,NA,"null"
"2-oxopentanedionic acid","reacts-with","val",NA,NA,"null"
"3-methyl-2-oxobutanoate","used-to-produce","2-oxopentanedionic acid",NA,NA,"null"
"3-methyl-2-oxobutanoate","consumption-controlled-by","P0AB80",NA,"378964","null"
"3-methyl-2-oxobutanoate","reacts-with","glu",NA,NA,"null"
"3-methyl-2-oxobutanoate","used-to-produce","val",NA,NA,"null"
"BTS","used-to-produce","alpha;-acetolactate",NA,NA,"null"
"BTS","consumption-controlled-by","P00893",NA,"2675968","null"
"BTS","consumption-controlled-by","P00894",NA,"2675968","null"
"BTS","consumption-controlled-by","P08142",NA,"16326011","null"
"BTS","consumption-controlled-by","P0ADF8",NA,"16326011","null"
"BTS","consumption-controlled-by","P0ADG1",NA,"9581571","null"
"BTS","consumption-controlled-by","P0DP89",NA,"9581571","null"
"BTS","used-to-produce","carbon dioxide",NA,NA,"null"
"BTS","reacts-with","hydrogen ion",NA,NA,"null"
"Hoe 704","chemical-affects","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"N-hydroxy-N-isopropyloxamate","chemical-affects","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"NADP-ox","chemical-affects","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"NADPH","used-to-produce","(2R)-2,3-dihydroxy-3-methylbutanoate",NA,NA,"null"
"NADPH","used-to-produce","NADP-ox",NA,NA,"null"
"NADPH","consumption-controlled-by","P05793",NA,"10024470;13840343;15654896;2189496;23776225;2653423;27136273;3049163;9015391","null"
"NADPH","reacts-with","hydrogen ion",NA,NA,"null"
"NaF","chemical-affects","P05791",NA,"13727223;8325851","null"
"P00893","controls-production-of","alpha;-acetolactate",NA,"2675968","null"
