"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"PP","SmallMoleculeReference",NA,"CAS:2466-09-3;ChEBI:CHEBI:29888;ChemSpider:996;DrugBank:DB04160;EcoCyc:PPI;HMDB:HMDB00250;IAF1260:ppi;KEGG LIGAND:C00013;MetaboLights:MTBLC33019;PubChem-compound:1023",NA
"uridine-triphosphate","SmallMoleculeReference",NA,"CAS:63-39-8;ChEBI:CHEBI:46398;ChemSpider:5414500;EcoCyc:UTP;HMDB:HMDB00285;IAF1260:utp;KEGG LIGAND:C00075;MetaboLights:MTBLC46398;PubChem-compound:7058168;RefMet:UTP",NA
"2-hydroxy-1,2,3-propanetricarboxylic acid","SmallMoleculeReference",NA,"CAS:77-92-9;ChEBI:CHEBI:16947;ChemSpider:29081;EcoCyc:CIT;HMDB:HMDB00094;IAF1260:cit;KEGG LIGAND:C00158;KNApSAcK:C00007619;MetaboLights:MTBLC16947;PubChem-compound:31348;RefMet:Citric acid",NA
"2-oxopentanedionic acid","SmallMoleculeReference",NA,"CAS:328-50-7;ChEBI:CHEBI:16810;ChemSpider:144236;EcoCyc:2-KETOGLUTARATE;HMDB:HMDB00208;IAF1260:akg;KEGG LIGAND:C00026;KNApSAcK:C00000769;MetaboLights:MTBLC16810;PubChem-compound:164533;RefMet:Oxoglutaric acid",NA
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"carbamoyl-P","SmallMoleculeReference",NA,"CAS:590-55-6;ChEBI:CHEBI:58228;ChemSpider:2666990;EcoCyc:CARBAMOYL-P;HMDB:HMDB01096;IAF1260:cbp;KEGG LIGAND:C00169;MetaboLights:MTBLC58228;PubChem-compound:3423467",NA
"P0A9Z1","ProteinReference",NA,"Database of Interacting Proteins:DIP-35005N;EcoCyc:PROTEIN-PII;EcoliWiki:b2553;MODBASE:P0A9Z1;Mint:MINT-1235669;Pride:P0A9Z1;Protein Model Portal:P0A9Z1;Protein Ontology:PRO_000022783;SWISS-MODEL:P0A9Z1;UniProt:P0A9Z1","InterPro:IPR002187;InterPro:IPR002332;InterPro:IPR011322;InterPro:IPR015867;InterPro:IPR017918;Pfam:PF00543;Prints:PR00340;Prosite:PS00496;Prosite:PS00638;Prosite:PS51343;Protein Data Bank:1PIL;Protein Data Bank:2PII;Protein Data Bank:5L9N;Smart:SM00938"
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
"P0A9C5","ProteinReference",NA,"Database of Interacting Proteins:DIP-9777N;EcoCyc:GLUTAMINESYN-MONOMER;EcoliWiki:b3870;Pride:P0A9C5;Protein Model Portal:P0A9C5;SWISS-MODEL:P0A9C5;Swiss-Model:P0A9C5;UniProt:P0A9C5","InterPro:IPR001637;InterPro:IPR004809;InterPro:IPR008146;InterPro:IPR008147;InterPro:IPR014746;InterPro:IPR027302;InterPro:IPR027303;Pfam:PF00120;Pfam:PF03951;Prosite:PS00180;Prosite:PS00181;Prosite:PS00182;Smart:SM01230"
"(S)-malic acid","SmallMoleculeReference",NA,"CAS:6915-15-7;CAS:97-67-6;ChEBI:CHEBI:15589;ChemSpider:4573566;EcoCyc:MAL;HMDB:HMDB00156;IAF1260:mal__L;KEGG LIGAND:C00149;MetaboLights:MTBLC15589;PubChem-compound:5459792;RefMet:Malic acid",NA
