"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"peroxide radical","SmallMoleculeReference",NA,"ChEBI:CHEBI:18421;EcoCyc:SUPER-OXIDE;HMDB:HMDB02168;IAF1260:o2s;KEGG LIGAND:C00704;MetaboLights:MTBLC18421;PubChem-compound:5359597",NA
"CN-","SmallMoleculeReference",NA,"ChEBI:CHEBI:17514;EcoCyc:CPD-13584;HMDB:HMDB02084;KEGG LIGAND:C00177;PubChem-compound:5975",NA
"perhydrol","SmallMoleculeReference",NA,"CAS:7722-84-1;ChEBI:CHEBI:16240;ChemSpider:763;EcoCyc:HYDROGEN-PEROXIDE;HMDB:HMDB03125;IAF1260:h2o2;KEGG LIGAND:C00027;MetaboLights:MTBLC16240;PubChem-compound:784",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"O2","SmallMoleculeReference","O2","CAS:7782-44-7;ChEBI:CHEBI:15379;ChemSpider:952;EcoCyc:OXYGEN-MOLECULE;HMDB:HMDB01377;IAF1260:o2;KEGG LIGAND:C00007;MetaboLights:MTBLC15379;PubChem-compound:977",NA
"P31441","ProteinReference","AdeD","Database of Interacting Proteins:DIP-12439N;EcoCyc:EG11692-MONOMER;EcoliWiki:b3665;MODBASE:P31441;Mint:MINT-1285289;NCBI Reference Sequences Database:NP_418121;Pride:P31441;Protein Model Portal:P31441;Protein Ontology:PRO_000022055;SWISS-MODEL:P31441;UniProt:P31441","InterPro:IPR006679;InterPro:IPR006680;InterPro:IPR011059;InterPro:IPR026912;InterPro:IPR032466;Pfam:PF01979;Pfam:PF13382"
"P13029","ProteinReference","KatG","Database of Interacting Proteins:DIP-10053N;EcoCyc:HYDROPEROXIDI-MONOMER;EcoliWiki:b3942;MODBASE:P13029;Mint:MINT-1304887;NCBI Reference Sequences Database:NP_418377;Pride:P13029;Protein Model Portal:P13029;Protein Ontology:PRO_000023043;SWISS-MODEL:P13029;Swiss-Model:P13029;UniProt:P13029","InterPro:IPR000763;InterPro:IPR002016;InterPro:IPR010255;InterPro:IPR019793;InterPro:IPR019794;Panther:PTHR30555;Pfam:PF00141;Prints:PR00458;Prints:PR00460;Prosite:PS00435;Prosite:PS00436;Prosite:PS50873;Protein Data Bank:1U2J;Protein Data Bank:1U2K;Protein Data Bank:1U2L"
"Ditiocarb","SmallMoleculeReference",NA,"ChemSpider:26368;EcoCyc:DIETHYLDITHIOCARBAMATE;PubChem-compound:28343",NA
"P0AGD3","ProteinReference","SodB","EcoCyc:SUPEROX-DISMUTFE-MONOMER;EcoliWiki:b1656;NCBI Reference Sequences Database:NP_416173;Pride:P0AGD3;Protein Model Portal:P0AGD3;Protein Ontology:PRO_000023965;SWISS-MODEL:P0AGD3;Swiss-Model:P0AGD3;UniProt:P0AGD3","InterPro:IPR001189;InterPro:IPR019831;InterPro:IPR019832;InterPro:IPR019833;Panther:PTHR11404;Pfam:PF00081;Pfam:PF02777;Prints:PR01703;Prosite:PS00088;Protein Data Bank:1ISA;Protein Data Bank:1ISB;Protein Data Bank:1ISC;Protein Data Bank:1ZA5;Protein Data Bank:2BKB;Protein Data Bank:2NYB"
