"Strain","Assembly Status","Replicon","Locus Tag","RefSeq Accession","GI Number","UniProtKB Accession","UniProtKB ID","Uniparc","UniRef100 ID","UniRef90 ID","UniRef50 ID","NCBI Locus Tag","NCBI Old Locus Tag","Affymetrix","Feature Type","Coordinates","Gene Length","Gene Name","Product Description","Product Name Confidence","Estimated MW (kDa)","Estimated Isoelectric Point (pI)","Estimated Charge (ph7)",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_41090","YP_791431.1","116049762","Q02KV5","Q02KV5_PSEAB","UPI00000C54AB","UniRef100_W0YN28","UniRef90_B7VB65","UniRef50_Q4KBH8","PA14_41090","","","CDS","3663439..3665043(+)","1605","mltD","membrane-bound lytic murein transglycosylase D","","59.7","10.28","22.89",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_00130","YP_788167.1","116053732","Q02V69","Q02V69_PSEAB","UPI00000C4EE7","UniRef100_Q9I7B4","UniRef90_Q9I7B4","UniRef50_F2MV00","PA14_00130","","","CDS","15208..15474(+)","267","","hypothetical protein","","9.8","5.64","-1.57",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_46660","YP_791882.1","116049315","Q02JK4","Q02JK4_PSEAB","UPI0000E44B2F","UniRef100_Q02JK4","UniRef90_Q02JK4","UniRef50_Q02JK4","PA14_46660","","","CDS","4159147..4159887(-)","741","","RNA polymerase ECF-subfamily sigma-70 factor","","27.2","8.78","8.16",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_05130","YP_788566.1","116054123","Q02U20","Q02U20_PSEAB","UPI000013972F","UniRef100_P25254","UniRef90_P25254","UniRef50_P25254","PA14_05130","","","CDS","448962..449555(-)","594","","hypothetical protein","","21.7","10.07","4.95",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_51490","YP_792281.1","116048918","Q02IF5","Q02IF5_PSEAB","UPI0000E44B77","UniRef100_Q02IF5","UniRef90_Q9I4X9","UniRef50_Q9I4X9","PA14_51490","","","CDS","4578053..4578691(+)","639","","hypothetical protein","","23.7","6.03","-4.90",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_10090","YP_788955.1","116052201","Q02SY1","Q02SY1_PSEAB","UPI00003962C7","UniRef100_Q02SY1","UniRef90_Q02SY1","UniRef50_A6UZT3","PA14_10090","","","CDS","866440..867351(+)","912","","LysR family transcriptional regulator","","33.8","6.92","-0.44",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_56190","YP_792670.1","116052359","Q02HB6","Q02HB6_PSEAB","UPI00000C5CBD","UniRef100_W0YZ48","UniRef90_B7UZA2","UniRef50_W9T7D6","PA14_56190","","","CDS","5017512..5017934(-)","423","","hypothetical protein","","16.0","8.87","3.14",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_15200","YP_789354.1","116051804","Q02RT2","Q02RT2_PSEAB","UPI00003961A6","UniRef100_A0A077JN11","UniRef90_Q9HXL6","UniRef50_Q9HXL6","PA14_15200","","","CDS","1287746..1288786(-)","1041","","hypothetical protein","","37.6","5.73","-3.79",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_60950","YP_793065.1","116052748","Q02G71","Q02G71_PSEAB","UPI0000396428","UniRef100_Q02G71","UniRef90_Q02G71","UniRef50_Q4K5R3","PA14_60950","","","CDS","5436245..5438311(-)","2067","","hypothetical protein","","73.5","7.70","2.31",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_20170","YP_789754.1","116051413","Q02QN2","Q02QN2_PSEAB","UPI000039608C","UniRef100_Q02QN2","UniRef90_Q9HYK9","UniRef50_Q9HYK9","PA14_20170","","","CDS","1737342..1738169(-)","828","nosY","NosY protein","","28.7","8.48","1.68",""
