"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0001","NP_064721.1","chromosomal replication initiator protein DnaA","515","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0002","NP_064722.1","DNA polymerase III, beta chain","368","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0003","NP_064723.1","RecF protein","370","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0004","NP_064724.1","DNA gyrase subunit B","807","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0005","NP_064725.1","lysophosphatidic acid acyltransferase, LptA","258","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0006","NP_064726.1","conserved hypothetical protein","179","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0007","NP_064727.1","hypothetical protein","569","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0007","NP_064727.1","hypothetical protein","569","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0008","NP_064728.1","glycyl-tRNA synthetase beta chain","685","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0009","NP_064729.1","glycyl-tRNA synthetase alpha chain","316","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0009","NP_064729.1","glycyl-tRNA synthetase alpha chain","316","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0010","NP_248700.1","DNA-3-methyladenine glycosidase I","184","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0011","NP_248701.1","acyltransferase HtrB1","296","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0011","NP_248701.1","acyltransferase HtrB1","296","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0012","NP_248702.1","hypothetical protein","89","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0013","NP_248703.1","conserved hypothetical protein","218","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0014","NP_248704.1","hypothetical protein","91","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0015","NP_248705.1","hypothetical protein","106","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0016","NP_248706.1","potassium uptake protein TrkA","458","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0017","NP_248707.1","conserved hypothetical protein","435","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0018","NP_248708.1","methionyl-tRNA formyltransferase","315","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0019","NP_248709.1","polypeptide deformylase","169","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0020","NP_248710.1","T4P secretin-associated protein TsaP","342","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0021","NP_248711.1","conserved hypothetical protein","363","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0021","NP_248711.1","conserved hypothetical protein","363","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0022","NP_248712.1","conserved hypothetical protein","186","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0023","NP_248713.1","quinone oxidoreductase","326","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0024","NP_248714.1","coproporphyrinogen III oxidase, aerobic","306","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0025","NP_248715.1","shikimate dehydrogenase","275","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0026","NP_248716.1","phospholipase C, PlcB","329","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0026","NP_248716.1","phospholipase C, PlcB","329","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0027","NP_248717.1","hypothetical protein","429","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0027","NP_248717.1","hypothetical protein","429","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0028","NP_248718.1","hypothetical protein","201","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0029","NP_248719.1","probable sulfate transporter","518","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0030","NP_248720.1","CosX","308","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0031","NP_248721.1","choline sulfatase","504","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0032","NP_248722.1","probable transcriptional regulator","305","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0033","NP_248723.1","Histidine phosphotransfer protein HptC","122","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0034","NP_248724.1","probable two-component response regulator","208","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0035","NP_248725.1","tryptophan synthase alpha chain","269","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0036","NP_248726.1","tryptophan synthase beta chain","403","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0036","NP_248726.1","tryptophan synthase beta chain","403","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0037","NP_248727.1","transcriptional regulator TrpI","296","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0037","NP_248727.1","transcriptional regulator TrpI","296","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0038","NP_248728.1","hypothetical protein","72","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0039","NP_248729.1","hypothetical protein","76","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0040","NP_248730.1","conserved hypothetical protein","563","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0041","NP_248731.1","probable hemagglutinin","3536","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0041","NP_248731.1","probable hemagglutinin","3536","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0042","NP_248732.1","hypothetical protein","132","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0043","NP_248733.1","hypothetical protein","461","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0044","NP_248734.1","exoenzyme T","458","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0044","NP_248734.1","exoenzyme T","458","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0044","NP_248734.1","exoenzyme T","458","Host Associated","Class 3","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0045","NP_248735.1","hypothetical protein","229","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0045","NP_248735.1","hypothetical protein","229","Outer Membrane Vesicle","Class 1","Secondary"
