"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698292","b2344","NP_416846.2","long-chain fatty acid outer membrane transporter","57945","Pseudomonas aeruginosa PAO1","15596485","PA1288","NP_249979.1","outer membrane protein precursor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128864","b0897","NP_415417.1","predicted hydrolase, isochorismatase family","57945","Pseudomonas aeruginosa PAO1","15596399","PA1202","NP_249893.1","hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131879","b4053","NP_418477.1","alanine racemase 1, PLP-binding, biosynthetic","57945","Pseudomonas aeruginosa PAO1","15600123","PA4930","NP_253617.1","biosynthetic alanine racemase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111197","b0969","NP_415489.4","sulfurtransferase required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis","57945","Pseudomonas aeruginosa PAO1","15597804","PA2608","NP_251298.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111377","b2060","NP_416564.4","protein-tyrosine kinase","57945","Pseudomonas aeruginosa PAO1","15600756","PA5563","NP_254250.1","chromosome partitioning protein Soj","1","b0981[cryptic autophosphorylating protein tyrosine kinase Etk]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128947","b0981","NP_415501.1","cryptic autophosphorylating protein tyrosine kinase Etk","57945","Pseudomonas aeruginosa PAO1","15600756","PA5563","NP_254250.1","chromosome partitioning protein Soj","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698233","b0768","NP_415289.4","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15597194","PA1998","NP_250688.1","DhcR, transcriptional regulator","1","b2409[predicted DNA-binding transcriptional regulator]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130335","b2409","NP_416904.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15597194","PA1998","NP_250688.1","DhcR, transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176336","b4473","YP_026211.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595219","PA0021","NP_248711.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129410","b1451","NP_415968.1","predicted iron outer membrane transporter","57945","Pseudomonas aeruginosa PAO1","15597485","PA2289","NP_250979.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130592","b2678","NP_417164.1","glycine betaine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600288","PA5095","NP_253782.1","ABC transporter permease","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130646","b2739","NP_417219.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595747","PA0550","NP_249241.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130301","b2369","NP_416870.1","DNA-binding response regulator in two-component regulatory system with EvgS","57945","Pseudomonas aeruginosa PAO1","15598241","PA3045","NP_251735.1","two-component response regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130581","b2667","NP_417153.1","tributyltin-inducible repressor of ygaVP","57945","Pseudomonas aeruginosa PAO1","15599550","PA4354","NP_253044.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131364","b3492","NP_417949.1","predicted oxidoreductase with FAD/NAD(P)-binding domain","57945","Pseudomonas aeruginosa PAO1","15595756","PA0559","NP_249250.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129393","b1434","NP_415951.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15597508","PA2312","NP_251002.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111517","b2950","NP_417425.2","predicted pilus retraction ATPase","57945","Pseudomonas aeruginosa PAO1","15595592","PA0395","NP_249086.1","twitching motility protein PilT","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132042","b4220","NP_418641.1","predicted outer membrane protein and surface antigen","57945","Pseudomonas aeruginosa PAO1","15597739","PA2543","NP_251233.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130799","b2897","NP_417373.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595957","PA0760","NP_249451.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128415","b0430","NP_414964.1","cytochrome o ubiquinol oxidase subunit III","57945","Pseudomonas aeruginosa PAO1","15596516","PA1319","NP_250010.1","cytochrome o ubiquinol oxidase subunit III","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129516","b1557","NP_416075.1","Qin prophage; cold shock protein","57945","Pseudomonas aeruginosa PAO1","15598462","PA3266","NP_251956.1","cold acclimation protein B","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129511","b1552","NP_416070.1","Qin prophage; cold shock protein","57945","Pseudomonas aeruginosa PAO1","15598462","PA3266","NP_251956.1","cold acclimation protein B","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131427","b3556","NP_418012.1","RNA chaperone and anti-terminator, cold-inducible","57945","Pseudomonas aeruginosa PAO1","15598462","PA3266","NP_251956.1","cold acclimation protein B","2","b1557[Qin prophage; cold shock protein];b1552[Qin prophage; cold shock protein]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131961","b4136","NP_418559.1","fused thiol:disulfide interchange protein: activator of DsbC/conserved protein","57945","Pseudomonas aeruginosa PAO1","15597674","PA2478","NP_251168.1","thiol:disulfide interchange protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128073","b0080","NP_414622.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15598759","PA3563","NP_252253.1","FruR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130715","b2808","NP_417288.1","DNA-binding transcriptional dual regulator","57945","Pseudomonas aeruginosa PAO1","15596381","PA1184","NP_249875.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131663","b3811","NP_418256.1","site-specific tyrosine recombinase","57945","Pseudomonas aeruginosa PAO1","15600473","PA5280","NP_253967.1","site-specific tyrosine recombinase XerC","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130190","b2255","NP_416758.1","fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase","57945","Pseudomonas aeruginosa PAO1","15598750","PA3554","NP_252244.1","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase","","","",""
