#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0ACD4	uniprotkb:P0A6B7	-	-	uniprotkb:iscU(gene name)|uniprotkb:Iron-sulfur cluster assembly scaffold protein IscU(recommended name)|uniprotkb:iscU(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Urbina et al. (2001)	pubmed:11577100	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P27838	uniprotkb:P0A6B7	-	-	uniprotkb:cyaY(gene name)|uniprotkb:Iron-sulfur cluster assembly protein CyaY(recommended name)|uniprotkb:cyaY(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Layer et al. (2006)	pubmed:16603772	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P27838	uniprotkb:P0A6B7	-	-	uniprotkb:cyaY(gene name)|uniprotkb:Iron-sulfur cluster assembly protein CyaY(recommended name)|uniprotkb:cyaY(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Adinolfi et al. (2009)	pubmed:19305405	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A9R4	uniprotkb:P0A6B7	-	-	uniprotkb:fdx(gene name)|uniprotkb:2Fe-2S ferredoxin(recommended name)|uniprotkb:fdx(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Kim et al. (2013)	pubmed:23682711	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P32177	uniprotkb:P0A6B7	-	-	uniprotkb:fdhD(gene name)|uniprotkb:Sulfur carrier protein FdhD(recommended name)|uniprotkb:fdhD(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Thome et al. (2011)	pubmed:22194618	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A890	uniprotkb:P0A6B7	-	-	uniprotkb:tusA(gene name)|uniprotkb:Sulfur carrier protein TusA(recommended name)|uniprotkb:tusA(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Ikeuchi et al. (2006)	pubmed:16387657	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0C0L9	uniprotkb:P0A6B7	-	-	uniprotkb:iscX(gene name)|uniprotkb:Protein IscX(recommended name)|uniprotkb:iscX(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Tokumoto et al. (2002)	pubmed:11983079	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0C0L9	uniprotkb:P0A6B7	-	-	uniprotkb:iscX(gene name)|uniprotkb:Protein IscX(recommended name)|uniprotkb:iscX(display_short)	uniprotkb:iscS(gene name)|uniprotkb:Cysteine desulfurase IscS(recommended name)|uniprotkb:iscS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Pastore et al. (2006)	pubmed:16698547	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AEI1	uniprotkb:P63020	-	-	uniprotkb:miaB(gene name)|uniprotkb:"tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase"(recommended name)|uniprotkb:miaB(display_short)	uniprotkb:nfuA(gene name)|uniprotkb:Fe/S biogenesis protein NfuA(recommended name)|uniprotkb:nfuA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Boutigny et al. (2013)	pubmed:23543739	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AC30	uniprotkb:P0A9R7	-	-	uniprotkb:ftsX(gene name)|uniprotkb:Cell division protein FtsX(recommended name)|uniprotkb:ftsX(display_short)	uniprotkb:ftsE(gene name)|uniprotkb:Cell division ATP-binding protein FtsE(recommended name)|uniprotkb:ftsE(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	de et al. (1999)	pubmed:10048040	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:1097"(uniprot)	-	-
