"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"beta;-glucose","SmallMoleculeReference",NA,"CAS:50-99-7;ChEBI:CHEBI:15903;ChemSpider:18802415;DrugBank:DB02379;EcoCyc:GLC;HMDB:HMDB00516;IAF1260:glc__D;KEGG LIGAND:C00221;MetaboLights:MTBLC15903;PubChem-compound:64689",NA
"Ni++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49786;ChemSpider:909;EcoCyc:NI+2;HMDB:HMDB02457;IAF1260:ni2;KEGG LIGAND:C19609;PubChem-compound:934",NA
"ADP-D-glucose","SmallMoleculeReference",NA,"CAS:2140-58-1;ChEBI:CHEBI:57498;EcoCyc:ADP-D-GLUCOSE;HMDB:HMDB06557;IAF1260:adpglc;KEGG LIGAND:C00498;MetaboLights:MTBLC57498;PubChem-compound:42609821;RefMet:ADP-glucose",NA
"copper sulfate","SmallMoleculeReference",NA,"ChEBI:CHEBI:23414;ChemSpider:22870;EcoCyc:CUSO4;KEGG LIGAND:C18713;PubChem-compound:24462",NA
"2-amino-2-deoxyglucose","SmallMoleculeReference",NA,"CAS:3416-24-8;ChEBI:CHEBI:407165;EcoCyc:GLUCOSAMINE;HMDB:HMDB01514;IAF1260:34633;KEGG LIGAND:C00329;PubChem-compound:739",NA
"dTDP-alpha;-D-glucose","SmallMoleculeReference",NA,"CAS:2009-24-7;ChEBI:CHEBI:57477;EcoCyc:DTDP-D-GLUCOSE;HMDB:HMDB01328;IAF1260:dtdpglu;KEGG LIGAND:C00842;MetaboLights:MTBLC57477;PubChem-compound:25202390;RefMet:dTDP-glucose",NA
"P0A6V8","ProteinReference","Glk","EcoCyc:GLUCOKIN-MONOMER;EcoliWiki:b2388;MODBASE:P0A6V8;NCBI Reference Sequences Database:NP_416889;Pride:P0A6V8;Protein Model Portal:P0A6V8;SWISS-MODEL:P0A6V8;UniProt:P0A6V8","InterPro:IPR003836;Pfam:PF02685;Protein Data Bank:1Q18;Protein Data Bank:1SZ2"
"P36938","ProteinReference","Pgm","Database of Interacting Proteins:DIP-10472N;EcoCyc:PHOSPHOGLUCMUT-MONOMER;EcoliWiki:b0688;MODBASE:P36938;Mint:MINT-1240111;NCBI Reference Sequences Database:NP_415214;Pride:P36938;Protein Model Portal:P36938;Protein Ontology:PRO_000023524;SWISS-MODEL:P36938;Swiss-Model:P36938;UniProt:P36938","InterPro:IPR005843;InterPro:IPR005844;InterPro:IPR005845;InterPro:IPR005846;InterPro:IPR005852;InterPro:IPR016055;InterPro:IPR016066;Pfam:PF00408;Pfam:PF02878;Pfam:PF02879;Pfam:PF02880;Prosite:PS00710"
"methyl-D-glucoside","SmallMoleculeReference",NA,"CAS:97-30-3;ChEBI:CHEBI:320061;ChemSpider:58473;EcoCyc:CPD-3582;PubChem-compound:64947",NA
"phenyl-beta;-D-glucoside","SmallMoleculeReference",NA,"ChEBI:CHEBI:8083;ChemSpider:58590;EcoCyc:CPD0-1667;PubChem-compound:65080",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"Hg++","SmallMoleculeReference",NA,"ChEBI:CHEBI:16793;ChemSpider:24800;EcoCyc:HG+2;HMDB:HMDB03625;IAF1260:hg2;KEGG LIGAND:C00703;PubChem-compound:26623",NA
"Al+++","SmallMoleculeReference",NA,"ChEBI:CHEBI:49470;ChemSpider:94544;EcoCyc:CPD-1484;HMDB:HMDB01247;PubChem-compound:104727",NA
"P15977","ProteinReference","MalQ","Database of Interacting Proteins:DIP-10147N;EcoCyc:AMYLOMALT-MONOMER;EcoliWiki:b3416;MODBASE:P15977;Mint:MINT-1275716;NCBI Reference Sequences Database:NP_417875;Pride:P15977;Protein Model Portal:P15977;Protein Ontology:PRO_000023153;SWISS-MODEL:P15977;UniProt:P15977","CAZy:GH77;InterPro:IPR003385;InterPro:IPR017853;Panther:PTHR32438;Pfam:PF02446;Protein Data Bank:4S3P;Protein Data Bank:4S3Q;Protein Data Bank:4S3R"
"a glycogen","SmallMoleculeReference",NA,"CAS:9005-79-2;ChEBI:CHEBI:24384;EcoCyc:Glycogens;IAF1260:glycogen;KEGG LIGAND:C00182;Wikipedia:Glycogen",NA
