"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"Zn(II)","SmallMoleculeReference",NA,"CAS:7440-66-6;ChEBI:CHEBI:29105;ChemSpider:29723;EcoCyc:ZN+2;HMDB:HMDB01303;IAF1260:zn2;KEGG LIGAND:C00038;MetaboLights:MTBLC29105;PubChem-compound:32051",NA
"4-phospho-L-aspartate","SmallMoleculeReference",NA,"CAS:22138-53-0;ChEBI:CHEBI:57535;ChemSpider:10123241;EcoCyc:L-BETA-ASPARTYL-P;HMDB:HMDB12250;IAF1260:4pasp;KEGG LIGAND:C03082;PubChem-compound:11948925",NA
"NADP-ox","SmallMoleculeReference",NA,"CAS:53-59-8;ChEBI:CHEBI:58349;ChemSpider:10239198;EcoCyc:NADP;HMDB:HMDB00217;IAF1260:nadp;KEGG LIGAND:C00006;MetaboLights:MTBLC58349;PubChem-compound:15938972;RefMet:NADP+",NA
"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate","SmallMoleculeReference",NA,"ChEBI:CHEBI:67139;EcoCyc:CPD-14443;PubChem-compound:70678847",NA
"lys","SmallMoleculeReference","lys","CAS:56-87-1;ChEBI:CHEBI:32551;ChemSpider:5747;EcoCyc:LYS;HMDB:HMDB00182;IAF1260:33655;IAF1260:lys__L;KEGG LIGAND:C00047;MetaboLights:MTBLC32551;PubChem-compound:5460926;RefMet:Lysine",NA
"(2R,3R,6S)-3-fluoro-2,6-diaminopimelate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1530;PubChem-compound:46926253",NA
"(2R,3S,6S)-3-fluoro-2,6-diaminopimelate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1533;PubChem-compound:46926096",NA
"3-bromo-2-oxopropanoic acid","SmallMoleculeReference",NA,"ChEBI:CHEBI:131592;ChemSpider:5362762;EcoCyc:3-BROMOPYRUVATE;PubChem-compound:6994776;RefMet:Bromopyruvicacid",NA
"OH-pyruvate","SmallMoleculeReference",NA,"CAS:1113-60-6;ChEBI:CHEBI:17180;ChemSpider:3397158;EcoCyc:OH-PYR;HMDB:HMDB01352;IAF1260:hpyr;KEGG LIGAND:C00168;MetaboLights:MTBLC17180;PubChem-compound:4186339;RefMet:Hydroxypyruvic acid",NA
"P00861","ProteinReference","LysA","Database of Interacting Proteins:DIP-10132N;EcoCyc:DIAMINOPIMDECARB-MONOMER;EcoliWiki:b2838;MODBASE:P00861;Mint:MINT-1292495;NCBI Reference Sequences Database:NP_417315;Pride:P00861;Protein Model Portal:P00861;Protein Ontology:PRO_000023137;SWISS-MODEL:P00861;UniProt:P00861","InterPro:IPR000183;InterPro:IPR002986;InterPro:IPR009006;InterPro:IPR022643;InterPro:IPR022644;InterPro:IPR022653;InterPro:IPR022657;InterPro:IPR029066;Panther:PTHR43727:SF3;Pfam:PF00278;Pfam:PF02784;Prints:PR01179;Prints:PR01181;Prosite:PS00878;Prosite:PS00879;Protein Data Bank:1KNW;Protein Data Bank:1KO0"
"(2R,3S,6S)-2,6-diamino-3-hydroxy-diaminopimelate","SmallMoleculeReference",NA,"ChemSpider:10387312;EcoCyc:CPD0-1536;PubChem-compound:90658480",NA
"leu","SmallMoleculeReference","leu","CAS:61-90-5;ChEBI:CHEBI:57427;EcoCyc:LEU;HMDB:HMDB00687;IAF1260:leu__L;KEGG LIGAND:C00123;MetaboLights:MTBLC57427;NCI Open DB:46709;PubChem-compound:7045798;RefMet:Leucine",NA
"meso-2,6-diaminoheptanedioate","SmallMoleculeReference",NA,"CAS:922-54-3;ChEBI:CHEBI:57791;EcoCyc:MESO-DIAMINOPIMELATE;IAF1260:26dap__M;KEGG LIGAND:C00680;MetaboLights:MTBLC57791;PubChem-compound:1549101;RefMet:2,6-diaminopimelic acid",NA
"L,L-DAP","SmallMoleculeReference",NA,"CAS:14289-34-0;CAS:583-93-7;ChEBI:CHEBI:57609;EcoCyc:LL-DIAMINOPIMELATE;HMDB:HMDB01370;IAF1260:26dap_LL;KEGG LIGAND:C00666;MetaboLights:MTBLC57609;PubChem-compound:1549100",NA
"borate","SmallMoleculeReference",NA,"ChEBI:CHEBI:33118;ChemSpider:7346;EcoCyc:BORATE;HMDB:HMDB35731;KEGG LIGAND:C12486;PubChem-compound:7628",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"4-methylene diaminopimelate","SmallMoleculeReference",NA,"EcoCyc:CPD0-1500;PubChem-compound:25202310",NA
"PHMB","SmallMoleculeReference",NA,"ChemSpider:15605527;EcoCyc:PHMB;PubChem-compound:3647458",NA
