"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"maleic acid N-ethylimide","SmallMoleculeReference",NA,"ChEBI:CHEBI:44485;ChemSpider:4209;DrugBank:DB02967;EcoCyc:N-ETHYLMALEIMIDE;KEGG LIGAND:C02441;PubChem-compound:4362;RefMet:N-ethylmaleimide",NA
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"(+)-thiolactomycin","SmallMoleculeReference",NA,"ChEBI:CHEBI:398495;ChemSpider:16744232;DrugBank:DB04302;EcoCyc:CPD0-1242;KEGG LIGAND:C11165;PubChem-compound:445629;RefMet:Thiolactomycin",NA
"carbon dioxide","SmallMoleculeReference",NA,"CAS:124-38-9;ChEBI:CHEBI:16526;ChemSpider:274;EcoCyc:CARBON-DIOXIDE;HMDB:HMDB01967;IAF1260:co2;KEGG LIGAND:C00011;MetaboLights:MTBLC16526;PubChem-compound:280;UMBBD Compound:c0131",NA
"a [BCCP dimer]-N6-biotinyl-L-lysine","SmallMoleculeReference",NA,"EcoCyc:biotin-L-lysine-in-BCCP-dimers",NA
"(2S,3R)-2,3-epoxy-4-oxy-7,10-dodecadienoylamide","SmallMoleculeReference",NA,"ChemSpider:4508994;EcoCyc:CPD-6901;PubChem-compound:5352018",NA
"pantotheine","SmallMoleculeReference",NA,"CAS:496-65-1;ChEBI:CHEBI:16753;ChemSpider:388453;EcoCyc:CPD-511;HMDB:HMDB03426;KEGG LIGAND:C00831;MetaboLights:MTBLC16753;PubChem-compound:439322;RefMet:Pantetheine",NA
"P0AAI5","ProteinReference","FabF","Database of Interacting Proteins:DIP-29377N;EcoCyc:3-OXOACYL-ACP-SYNTHII-MONOMER;EcoliWiki:b1095;Mint:MINT-1231688;NCBI Reference Sequences Database:NP_415613;Pride:P0AAI5;Protein Model Portal:P0AAI5;Protein Ontology:PRO_000022562;SWISS-MODEL:P0AAI5;UniProt:P0AAI5","InterPro:IPR014030;InterPro:IPR014031;InterPro:IPR016039;InterPro:IPR017568;InterPro:IPR018201;InterPro:IPR020841;Pfam:PF00109;Pfam:PF02801;Prosite:PS00606;Protein Data Bank:1B3N;Protein Data Bank:1KAS;Protein Data Bank:2GFV;Protein Data Bank:2GFW;Protein Data Bank:2GFX;Protein Data Bank:2GFY;Protein Data Bank:3G0Y;Protein Data Bank:3G11;Protein Data Bank:3HNZ;Protein Data Bank:3HO2;Protein Data Bank:3HO9;Protein Data Bank:3I8P;Smart:SM00825"
"P0A953","ProteinReference","FabB","Database of Interacting Proteins:DIP-29379N;EcoCyc:FABB-MONOMER;EcoliWiki:b2323;MODBASE:P0A953;Mint:MINT-1235843;NCBI Reference Sequences Database:NP_416826;Pride:P0A953;Protein Model Portal:P0A953;Protein Ontology:PRO_000022560;SWISS-MODEL:P0A953;UniProt:P0A953","InterPro:IPR014030;InterPro:IPR014031;InterPro:IPR016039;InterPro:IPR018201;InterPro:IPR020841;Pfam:PF00109;Pfam:PF02801;Prosite:PS00606;Protein Data Bank:1DD8;Protein Data Bank:1EK4;Protein Data Bank:1F91;Protein Data Bank:1FJ4;Protein Data Bank:1FJ8;Protein Data Bank:1G5X;Protein Data Bank:1H4F;Protein Data Bank:2AQ7;Protein Data Bank:2AQB;Protein Data Bank:2BUH;Protein Data Bank:2BUI;Protein Data Bank:2BYW;Protein Data Bank:2BYX;Protein Data Bank:2BYY;Protein Data Bank:2BYZ;Protein Data Bank:2BZ3;Protein Data Bank:2BZ4;Protein Data Bank:2CDH;Protein Data Bank:2CF2;Protein Data Bank:2VB7;Protein Data Bank:2VB8;Protein Data Bank:2VB9;Protein Data Bank:2VBA;Smart:SM00825"
"(4-carboxyphenyl)-chloro-mercury","SmallMoleculeReference",NA,"ChEBI:CHEBI:28420;ChemSpider:10606363;EcoCyc:CPD-29;KEGG LIGAND:C03444;PubChem-compound:21226146",NA
"acetyl coenzyme-A","SmallMoleculeReference",NA,"CAS:72-89-9;ChEBI:CHEBI:57288;EcoCyc:ACETYL-COA;HMDB:HMDB01206;IAF1260:accoa;KEGG LIGAND:C00024;KNApSAcK:C00007259;MetaboLights:MTBLC57288;PubChem-compound:45266541;RefMet:Acetyl-CoA;UMBBD Compound:c0031",NA
"monoiodoacetamide","SmallMoleculeReference",NA,"ChEBI:CHEBI:103838;ChemSpider:3596;EcoCyc:IODOACETAMIDE;PubChem-compound:3727",NA
"DTB","SmallMoleculeReference",NA,"CAS:533-48-2;ChEBI:CHEBI:57861;EcoCyc:DETHIOBIOTIN;HMDB:HMDB03581;IAF1260:dtbt;KEGG LIGAND:C01909;PubChem-compound:25244917",NA
"CoA","SmallMoleculeReference",NA,"CAS:85-61-0;ChEBI:CHEBI:57287;EcoCyc:CO-A;HMDB:HMDB01423;IAF1260:coa;KEGG LIGAND:C00010;KNApSAcK:C00007258;MetaboLights:MTBLC57287;PubChem-compound:25113190;RefMet:Coenzyme A;Wikipedia:Coenzyme_a",NA
"P0ABD5","ProteinReference","AccA","Database of Interacting Proteins:DIP-35897N;EcoCyc:CARBOXYL-TRANSFERASE-ALPHA-MONOMER;EcoliWiki:b0185;Mint:MINT-1228651;NCBI Reference Sequences Database:NP_414727;Pride:P0ABD5;Protein Model Portal:P0ABD5;Protein Ontology:PRO_000022032;SWISS-MODEL:P0ABD5;UniProt:P0ABD5","InterPro:IPR001095;InterPro:IPR011763;InterPro:IPR029045;Panther:PTHR42853;Pfam:PF03255;Prints:PR01069;Prosite:PS50989;Protein Data Bank:2F9Y"
