"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"suc","SmallMoleculeReference",NA,"CAS:110-15-6;ChEBI:CHEBI:30031;ChemSpider:140973;EcoCyc:SUC;HMDB:HMDB00254;IAF1260:succ;KEGG LIGAND:C00042;KNApSAcK:C00001205;MetaboLights:MTBLC30031;PubChem-compound:160419;RefMet:Succinic acid",NA
"BTS","SmallMoleculeReference",NA,"CAS:127-17-3;ChEBI:CHEBI:15361;ChemSpider:96901;EcoCyc:PYRUVATE;HMDB:HMDB00243;IAF1260:pyr;KEGG LIGAND:C00022;KNApSAcK:C00001200;MetaboLights:MTBLC15361;PubChem-compound:107735;RefMet:Pyruvic acid;UMBBD Compound:c0159",NA
"3-phenylpropionic acid","SmallMoleculeReference",NA,"ChEBI:CHEBI:51057;ChemSpider:3927902;EcoCyc:3-PHENYLPROPIONATE;HMDB:HMDB00764;IAF1260:pppn;KEGG LIGAND:C05629;PubChem-compound:4740700;RefMet:Hydrocinnamic acid",NA
"a hydroxlyated aryl lignin fragment","SmallMoleculeReference",NA,"CAS:90-05-1;ChEBI:CHEBI:28591;ChemSpider:447;EcoCyc:CPD-400;HMDB:HMDB01398;KEGG LIGAND:C01502;MetaboLights:MTBLC28591;PubChem-compound:460",NA
"DPN-ox","SmallMoleculeReference",NA,"CAS:53-84-9;ChEBI:CHEBI:57540;ChemSpider:10239196;EcoCyc:NAD;HMDB:HMDB00902;IAF1260:nad;KEGG LIGAND:C00003;MetaboLights:MTBLC57540;PubChem-compound:15938971;RefMet:NAD+",NA
"P77650","ProteinReference","HcaD","EcoCyc:HCAD-MONOMER;EcoliWiki:b2542;MODBASE:P77650;NCBI Reference Sequences Database:NP_417037;Pride:P77650;Protein Model Portal:P77650;Protein Ontology:PRO_000022860;SWISS-MODEL:P77650;UniProt:P77650","InterPro:IPR016156;InterPro:IPR023744;InterPro:IPR023753;InterPro:IPR028202;Pfam:PF07992;Pfam:PF14759;Prints:PR00368"
"P77397","ProteinReference","MhpA","EcoCyc:MHPHYDROXY-MONOMER;EcoliWiki:b0347;MODBASE:P77397;NCBI Reference Sequences Database:NP_414881;Pride:P77397;Protein Model Portal:P77397;Protein Ontology:PRO_000023228;SWISS-MODEL:P77397;UniProt:P77397","InterPro:IPR002938;InterPro:IPR023753;InterPro:IPR023786;Pfam:PF01494;Prints:PR00420"
"P51020","ProteinReference","MhpE","Database of Interacting Proteins:DIP-10209N;EcoCyc:MHPELY-MONOMER;EcoliWiki:b0352;MODBASE:P51020;NCBI Reference Sequences Database:NP_414886;Pride:P51020;Protein Model Portal:P51020;Protein Ontology:PRO_000023232;SWISS-MODEL:P51020;Swiss-Model:P51020;UniProt:P51020","InterPro:IPR000891;InterPro:IPR012425;InterPro:IPR013785;InterPro:IPR017629;InterPro:IPR035685;Panther:PTHR10277:SF3;Pfam:PF00682;Pfam:PF07836;ProDom; a protein domain database:PD005364;Prosite:PS50991"
"2,3-DHP","SmallMoleculeReference","2,3-DHP","ChEBI:CHEBI:46951;ChemSpider:7822096;EcoCyc:2-3-DIHYDROXYPHENYL-PROPIONATE;IAF1260:dhpppn;KEGG LIGAND:C04044;PubChem-compound:9543123",NA
"(2Z)-2-hydroxypenta-2,4-dienoate","SmallMoleculeReference",NA,"ChEBI:CHEBI:67152;EcoCyc:CPD-14447;PubChem-compound:54713710",NA
"5-(3-carboxy-4-nitro-phenyl)disulfanyl-2-nitro-benzoic acid","SmallMoleculeReference",NA,"ChemSpider:5367523;EcoCyc:DITHIO-NITROBENZOATE;PubChem-compound:7000011",NA
"(2Z,4E)-2-hydroxy-6-ketonona-2,4-dienedioate","SmallMoleculeReference",NA,"ChEBI:CHEBI:61449;ChemSpider:7822105;EcoCyc:CPD-157;IAF1260:hkndd;KEGG LIGAND:C04479;PubChem-compound:54689772",NA
"dihydro-3-coumarate","SmallMoleculeReference",NA,"ChEBI:CHEBI:57277;ChemSpider:5305660;EcoCyc:3-HYDROXYPHENYL-PROPIONATE;HMDB:HMDB00375;IAF1260:3hpppn;KEGG LIGAND:C11457;PubChem-compound:6931501;RefMet:3-(3-Hydroxyphenyl)propanoic acid",NA
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate","SmallMoleculeReference",NA,"ChEBI:CHEBI:60088;ChemSpider:7822100;EcoCyc:CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL;IAF1260:cechddd;KEGG LIGAND:C11588;PubChem-compound:9543127",NA
"P77580","ProteinReference","MhpF","Database of Interacting Proteins:DIP-10210N;EcoCyc:MHPF-MONOMER;EcoliWiki:b0351;MODBASE:P77580;NCBI Reference Sequences Database:NP_414885;Pride:P77580;Protein Model Portal:P77580;Protein Ontology:PRO_000023233;SWISS-MODEL:P77580;Swiss-Model:P77580;UniProt:P77580","InterPro:IPR000534;InterPro:IPR003361;InterPro:IPR015426;InterPro:IPR016040;Panther:PTHR21123;Pfam:PF01118;Pfam:PF09290;Smart:SM00859"
